Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 0.00 degrees [A] RIGHT WP at 0.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95865,921439,878273,53948,0,0,0,0,402,20991,1125,0,0,0,0,215815,11279,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,229,1123,0,0,0,0,680,491,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,143,15,0,0,0,0,1024,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44070,417741,264837,22577,0,0,0,0,0
94472,919922,878706,53560,0,0,0,0,378,20709,1143,0,0,0,0,215325,11321,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,234,1115,0,0,0,0,681,490,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,136,18,0,0,0,0,1005,91,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43113,417324,263984,22749,0,0,0,0,0
98350,918135,874726,53654,0,0,0,0,397,21333,1175,0,0,0,0,214914,11250,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,233,1107,0,0,0,0,679,486,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,143,23,0,0,0,0,1115,85,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44666,415712,264600,22687,0,0,0,0,0
106194,905702,874403,53324,0,0,0,0,469,22825,1214,0,0,0,0,211411,10903,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,233,1098,0,0,0,0,674,497,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,145,25,0,0,0,0,1008,102,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47671,408745,262170,22379,0,0,0,0,0
118319,892666,870354,53054,0,0,0,0,460,24824,1445,0,0,0,0,208703,10823,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,232,1105,0,0,0,0,668,505,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,164,24,0,0,0,0,1033,93,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52154,402655,261909,22489,0,0,0,0,0
134154,876066,867206,52594,0,0,0,0,515,28347,1552,0,0,0,0,202841,10369,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,234,1084,0,0,0,0,658,508,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,203,26,0,0,0,0,969,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58312,391177,260078,21812,0,0,0,0,0
154454,861643,868914,52987,0,0,0,0,547,32659,1758,0,0,0,0,200684,10475,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,232,1081,0,0,0,0,648,515,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,271,24,0,0,0,0,964,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66951,386087,263549,22215,0,0,0,0,0
177388,839842,870207,52861,0,0,0,0,652,37369,2021,0,0,0,0,196231,10209,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,234,1088,0,0,0,0,634,523,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,226,30,0,0,0,0,1016,87,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76244,376505,265115,21975,0,0,0,0,0
203907,820709,873875,53335,0,0,0,0,713,42800,2334,0,0,0,0,192047,10039,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,231,1066,0,0,0,0,622,541,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,256,31,0,0,0,0,991,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87139,367708,267333,22031,0,0,0,0,0
232521,799109,878257,53484,0,0,0,0,828,49241,2641,0,0,0,0,188117,9953,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,231,1062,0,0,0,0,607,555,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,311,27,0,0,0,0,941,79,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99103,359467,271347,22806,0,0,0,0,0
