Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 4.00 degrees [A] RIGHT WP at 4.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96213,921172,859047,71330,0,0,0,0,374,20872,1458,0,0,0,0,212507,15011,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,230,1131,0,0,0,0,697,503,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,18,0,0,0,0,1043,111,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43859,414572,262980,29911,0,0,0,0,0
95293,921584,860587,71356,0,0,0,0,421,20383,1546,0,0,0,0,212731,15046,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,228,1122,0,0,0,0,697,499,0,0,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,127,24,0,0,0,0,970,111,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43177,414906,262890,30059,0,0,0,0,0
98480,919094,860636,71023,0,0,0,0,402,20947,1533,0,0,0,0,211659,15085,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,231,1116,0,0,0,0,696,496,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,21,0,0,0,0,1026,113,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44370,412919,262278,29978,0,0,0,0,0
107107,909362,858436,71073,0,0,0,0,416,22656,1647,0,0,0,0,208863,14857,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,229,1121,0,0,0,0,693,505,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,142,26,0,0,0,0,965,92,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48078,406623,261550,29772,0,0,0,0,0
118269,899120,857957,70644,0,0,0,0,469,24371,1817,0,0,0,0,207479,14680,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,233,1098,0,0,0,0,687,505,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,173,26,0,0,0,0,992,121,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51406,403669,262231,29875,0,0,0,0,0
134215,885793,857131,70576,0,0,0,0,511,28115,1993,0,0,0,0,204919,14659,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,228,1097,0,0,0,0,681,518,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,186,26,0,0,0,0,987,121,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58652,398997,263836,29772,0,0,0,0,0
153650,865508,855215,71404,0,0,0,0,652,33450,2423,0,0,0,0,196608,13984,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,231,1090,0,0,0,0,663,531,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,218,35,0,0,0,0,974,96,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69320,381426,261532,29651,0,0,0,0,0
172128,845805,851736,70516,0,0,0,0,663,38423,2777,0,0,0,0,191125,13750,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,227,1086,0,0,0,0,650,545,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,199,32,0,0,0,0,899,87,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79272,370401,261533,29550,0,0,0,0,0
195944,821993,850311,70282,0,0,0,0,795,44044,3228,0,0,0,0,185547,13172,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,229,1071,0,0,0,0,633,554,0,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,288,36,0,0,0,0,909,108,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90298,358718,262710,29199,0,0,0,0,0
233189,790378,850189,70638,0,0,0,0,844,49728,3640,0,0,0,0,179913,12968,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,228,1048,0,0,0,0,619,571,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,306,43,0,0,0,0,840,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101911,346757,263589,29575,0,0,0,0,0
262438,764544,852349,70272,0,0,0,0,856,55896,4134,0,0,0,0,175349,12416,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,229,1044,0,0,0,0,603,584,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,341,46,0,0,0,0,839,84,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113508,337455,266297,29284,0,0,0,0,0
293583,738419,851573,70502,0,0,0,0,943,63171,4602,0,0,0,0,168618,12146,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,234,1022,0,0,0,0,583,603,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,334,41,0,0,0,0,809,89,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126612,324821,267955,29526,0,0,0,0,0
326203,711579,856146,70493,0,0,0,0,1025,69536,5116,0,0,0,0,163404,11423,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,234,1006,0,0,0,0,567,621,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,416,54,0,0,0,0,821,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139288,313730,269918,29129,0,0,0,0,0
358629,684061,858245,70833,0,0,0,0,1078,77067,5655,0,0,0,0,157961,11419,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,236,986,0,0,0,0,549,643,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,419,50,0,0,0,0,755,90,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153393,303128,273721,29774,0,0,0,0,0
389854,657146,860649,71092,0,0,0,0,1159,83685,6130,0,0,0,0,152324,10972,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,238,976,0,0,0,0,534,658,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,442,64,0,0,0,0,735,76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165028,292469,275726,30030,0,0,0,0,0
418442,629851,862027,71523,0,0,0,0,1195,89635,6555,0,0,0,0,146691,10662,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,242,960,0,0,0,0,517,665,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,514,64,0,0,0,0,743,78,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176952,281117,276698,29884,0,0,0,0,0
