Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 6.00 degrees [A] RIGHT WP at 6.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95846,919002,843025,86915,0,0,0,0,392,20369,1893,0,0,0,0,207371,18691,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,227,1127,0,0,0,0,707,512,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,133,26,0,0,0,0,969,140,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43227,407705,259208,36821,0,0,0,0,0
94196,917629,843310,86171,0,0,0,0,368,19851,1885,0,0,0,0,207550,18420,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,225,1122,0,0,0,0,706,514,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,121,28,0,0,0,0,986,131,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42505,407463,258414,36632,0,0,0,0,0
98251,915411,840741,86950,0,0,0,0,430,20681,1914,0,0,0,0,206428,18539,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,227,1122,0,0,0,0,708,515,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,145,28,0,0,0,0,1004,129,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44295,404974,258569,36911,0,0,0,0,0
105898,904735,838115,86522,0,0,0,0,386,22032,2019,0,0,0,0,204289,18019,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,226,1111,0,0,0,0,702,520,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,137,34,0,0,0,0,991,126,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47273,400068,257582,36216,0,0,0,0,0
118101,892993,836181,86407,0,0,0,0,449,24460,2192,0,0,0,0,200321,17961,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,228,1133,0,0,0,0,698,524,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,176,30,0,0,0,0,1009,108,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51843,392522,256149,36478,0,0,0,0,0
135082,875278,832301,86070,0,0,0,0,491,27790,2492,0,0,0,0,195039,17565,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,231,1108,0,0,0,0,687,533,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,28,0,0,0,0,1020,125,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58657,381951,254543,35796,0,0,0,0,0
155267,858304,833789,86480,0,0,0,0,571,32125,2969,0,0,0,0,192888,17380,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,225,1096,0,0,0,0,676,549,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,205,32,0,0,0,0,998,123,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67350,377462,257490,36229,0,0,0,0,0
178272,838562,835787,86277,0,0,0,0,677,36619,3318,0,0,0,0,188727,16788,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,228,1093,0,0,0,0,662,563,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,239,41,0,0,0,0,957,121,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76447,368524,258389,35735,0,0,0,0,0
204303,816926,836116,86364,0,0,0,0,716,42473,3813,0,0,0,0,184332,16408,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,228,1077,0,0,0,0,648,568,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,301,40,0,0,0,0,905,123,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87963,359532,260577,35893,0,0,0,0,0
231681,793648,836718,85981,0,0,0,0,797,47707,4268,0,0,0,0,179702,15957,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,231,1074,0,0,0,0,634,581,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,303,43,0,0,0,0,962,117,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98678,349086,262395,35814,0,0,0,0,0
