Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 10.00 degrees [A] RIGHT WP at 10.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95830,917361,798130,131499,0,0,0,0,414,19297,2768,0,0,0,0,196982,27415,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,225,1168,0,0,0,0,736,553,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,32,0,0,0,0,941,195,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42591,393648,251733,53825,0,0,0,0,0
94806,918993,798247,132508,0,0,0,0,385,18900,2851,0,0,0,0,196880,28879,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,226,1178,0,0,0,0,740,552,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,122,33,0,0,0,0,984,197,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42147,394545,252077,56231,0,0,0,0,0
98254,918079,800669,132570,0,0,0,0,388,19493,2832,0,0,0,0,196690,29020,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,226,1181,0,0,0,0,740,552,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,149,34,0,0,0,0,967,167,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43234,394098,252633,56583,0,0,0,0,0
106665,912543,800050,132590,0,0,0,0,433,20938,3195,0,0,0,0,196207,28373,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,222,1178,0,0,0,0,735,554,0,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,149,36,0,0,0,0,950,195,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46556,392818,253465,55825,0,0,0,0,0
119847,900814,801688,133051,0,0,0,0,449,23595,3511,0,0,0,0,194583,28453,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,222,1171,0,0,0,0,727,561,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,164,36,0,0,0,0,980,178,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51989,389457,255220,56408,0,0,0,0,0
136003,888440,802484,132085,0,0,0,0,567,26645,3936,0,0,0,0,191841,27581,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,224,1173,0,0,0,0,717,567,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,183,41,0,0,0,0,916,177,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58645,383277,255446,55562,0,0,0,0,0
156581,871246,801151,133419,0,0,0,0,587,30513,4656,0,0,0,0,187547,27053,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,227,1152,0,0,0,0,708,582,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,195,48,0,0,0,0,910,179,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66726,374711,255071,55836,0,0,0,0,0
179477,849371,800133,132570,0,0,0,0,672,35088,5201,0,0,0,0,183530,26343,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,227,1150,0,0,0,0,695,589,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,248,50,0,0,0,0,936,160,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76100,366123,256125,55363,0,0,0,0,0
204856,826973,800793,132396,0,0,0,0,721,40193,5798,0,0,0,0,179513,25670,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,226,1127,0,0,0,0,682,603,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,274,51,0,0,0,0,838,170,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86414,357853,257548,55017,0,0,0,0,0
232706,801614,798790,132977,0,0,0,0,817,48080,7195,0,0,0,0,171664,24872,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,233,1116,0,0,0,0,660,633,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,286,67,0,0,0,0,852,189,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102525,342552,258467,55416,0,0,0,0,0
256640,778554,798794,132615,0,0,0,0,865,53638,8039,0,0,0,0,165643,24050,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,235,1097,0,0,0,0,641,647,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,301,68,0,0,0,0,813,157,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113815,330367,258106,55633,0,0,0,0,0
