Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 12.00 degrees [A] RIGHT WP at 12.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95021,911379,767611,157192,0,0,0,0,417,18682,3355,0,0,0,0,189674,32500,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,222,1191,0,0,0,0,751,572,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,127,46,0,0,0,0,964,248,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42140,384098,245850,63190,0,0,0,0,0
93812,911872,764688,158729,0,0,0,0,383,18332,3375,0,0,0,0,187912,34121,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,225,1204,0,0,0,0,756,581,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125,43,0,0,0,0,914,196,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41551,381736,244529,65910,0,0,0,0,0
97551,908963,762183,158073,0,0,0,0,383,18680,3385,0,0,0,0,186821,34022,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,225,1203,0,0,0,0,755,580,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137,39,0,0,0,0,866,231,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42278,379299,243717,66087,0,0,0,0,0
104846,903375,762824,158702,0,0,0,0,423,19821,3762,0,0,0,0,185860,33932,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,227,1206,0,0,0,0,753,584,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,135,50,0,0,0,0,913,218,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45321,377106,244069,66299,0,0,0,0,0
117158,890728,762444,158221,0,0,0,0,451,21810,4154,0,0,0,0,183754,33442,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,224,1196,0,0,0,0,746,587,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,155,49,0,0,0,0,875,223,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49535,372833,243690,66118,0,0,0,0,0
132893,878879,763383,158722,0,0,0,0,521,26304,4912,0,0,0,0,179583,32740,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,228,1179,0,0,0,0,734,601,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,193,52,0,0,0,0,846,208,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58912,364801,244260,65612,0,0,0,0,0
151707,862947,763904,159007,0,0,0,0,580,30276,5734,0,0,0,0,177434,32227,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,228,1172,0,0,0,0,722,612,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,201,53,0,0,0,0,877,239,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67547,359724,246484,66402,0,0,0,0,0
173218,842981,763840,159278,0,0,0,0,650,34867,6468,0,0,0,0,172178,31599,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,229,1167,0,0,0,0,707,624,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,202,63,0,0,0,0,812,193,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77019,349547,246316,65715,0,0,0,0,0
198634,823272,765971,158960,0,0,0,0,696,40020,7441,0,0,0,0,169098,31112,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,232,1154,0,0,0,0,690,637,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,240,69,0,0,0,0,797,189,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88201,342859,248849,66690,0,0,0,0,0
226122,800842,767914,159183,0,0,0,0,847,45148,8599,0,0,0,0,163913,29767,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,233,1144,0,0,0,0,673,657,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,266,82,0,0,0,0,816,191,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99084,332072,249006,65953,0,0,0,0,0
254973,774841,767334,159612,0,0,0,0,926,52088,9539,0,0,0,0,159057,28998,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,235,1123,0,0,0,0,658,670,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,283,76,0,0,0,0,766,188,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113214,323022,251229,65700,0,0,0,0,0
285274,749690,768974,159459,0,0,0,0,976,57742,10642,0,0,0,0,152563,27859,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,241,1109,0,0,0,0,637,688,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,316,84,0,0,0,0,760,167,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124490,309728,250712,65697,0,0,0,0,0
315926,721814,767994,159223,0,0,0,0,1055,64136,12031,0,0,0,0,147308,27105,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,246,1086,0,0,0,0,620,706,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,334,86,0,0,0,0,689,138,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137958,299423,252580,66246,0,0,0,0,0
345822,694741,769243,159444,0,0,0,0,1128,70342,13284,0,0,0,0,141785,25919,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,249,1072,0,0,0,0,603,730,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,410,109,0,0,0,0,716,186,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150410,288403,253596,66248,0,0,0,0,0
390344,655986,771377,160761,0,0,0,0,1145,76359,14206,0,0,0,0,135953,24724,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,256,1054,0,0,0,0,581,752,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,446,110,0,0,0,0,659,159,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162410,276065,254008,65876,0,0,0,0,0
420697,628200,770999,160205,0,0,0,0,1200,82499,15601,0,0,0,0,130864,23797,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,262,1038,0,0,0,0,566,765,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,406,126,0,0,0,0,637,159,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174385,266508,255389,66721,0,0,0,0,0
445905,601510,772739,159933,0,0,0,0,1173,86984,16305,0,0,0,0,125748,22656,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,266,1025,0,0,0,0,547,786,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,477,126,0,0,0,0,641,137,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183479,255356,255102,66001,0,0,0,0,0
470456,581193,772517,161241,0,0,0,0,1236,91743,17441,0,0,0,0,121165,22483,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,270,1011,0,0,0,0,536,801,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,432,127,0,0,0,0,599,149,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193098,247573,255750,67011,0,0,0,0,0
492275,561394,773777,160639,0,0,0,0,1224,96324,18032,0,0,0,0,116697,21149,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,275,999,0,0,0,0,522,818,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,505,138,0,0,0,0,579,140,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201508,238253,255545,66151,0,0,0,0,0
510544,544060,771468,160341,0,0,0,0,1260,99532,18866,0,0,0,0,113585,20892,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,281,994,0,0,0,0,512,824,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,524,122,0,0,0,0,550,149,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208290,231750,256342,67284,0,0,0,0,0
525932,531672,772976,160840,0,0,0,0,1248,103016,19441,0,0,0,0,111197,20494,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,283,978,0,0,0,0,504,840,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,506,127,0,0,0,0,607,128,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215154,227502,257993,66954,0,0,0,0,0
