Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 14.00 degrees [A] RIGHT WP at 14.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94985,916759,748262,179123,0,0,0,0,404,17712,4176,0,0,0,0,181430,41416,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,228,1233,0,0,0,0,775,604,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124,39,0,0,0,0,930,255,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41647,375484,240534,79448,0,0,0,0,0
94418,916927,740437,190193,0,0,0,0,356,17493,4076,0,0,0,0,183589,41174,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,227,1220,0,0,0,0,776,603,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,46,0,0,0,0,889,263,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41248,378401,242527,79533,0,0,0,0,0
97461,915282,739979,190283,0,0,0,0,401,18132,4255,0,0,0,0,182669,41409,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,220,1227,0,0,0,0,775,604,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,142,35,0,0,0,0,873,266,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42851,377283,242528,79605,0,0,0,0,0
103490,911658,740026,190680,0,0,0,0,418,19958,4647,0,0,0,0,181884,41159,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,221,1241,0,0,0,0,769,610,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,142,47,0,0,0,0,895,248,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46715,375674,243627,79894,0,0,0,0,0
118958,899505,741396,190912,0,0,0,0,480,22358,5231,0,0,0,0,180017,40929,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,227,1222,0,0,0,0,762,617,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,158,51,0,0,0,0,874,235,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52179,371895,244417,80227,0,0,0,0,0
136169,884855,741986,191231,0,0,0,0,554,25279,6071,0,0,0,0,176947,40152,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,227,1224,0,0,0,0,752,622,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,146,51,0,0,0,0,933,225,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58994,365161,244404,80219,0,0,0,0,0
157312,866701,742084,190123,0,0,0,0,641,29550,6789,0,0,0,0,173129,39359,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,226,1210,0,0,0,0,741,634,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,60,0,0,0,0,829,255,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67862,357745,244822,79616,0,0,0,0,0
181365,847525,742891,191285,0,0,0,0,667,34116,7888,0,0,0,0,169861,38632,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,229,1195,0,0,0,0,724,646,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,202,57,0,0,0,0,800,217,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77906,350874,246461,80047,0,0,0,0,0
207589,824494,743802,191695,0,0,0,0,729,39174,8928,0,0,0,0,165287,37577,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,230,1182,0,0,0,0,710,660,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,219,68,0,0,0,0,751,216,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88399,341590,246793,79937,0,0,0,0,0
236225,799630,743406,190860,0,0,0,0,805,44433,10287,0,0,0,0,160561,36263,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,235,1163,0,0,0,0,694,677,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,253,81,0,0,0,0,770,210,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99891,331888,247372,79553,0,0,0,0,0
