Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 16.00 degrees [A] RIGHT WP at 16.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95352,915030,719426,209042,0,0,0,0,402,17196,4769,0,0,0,0,174559,48475,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,229,1261,0,0,0,0,794,630,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,127,46,0,0,0,0,877,259,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41598,367821,236011,92746,0,0,0,0,0
94949,916793,708105,221986,0,0,0,0,402,16967,4746,0,0,0,0,176007,48345,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,225,1262,0,0,0,0,795,633,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125,47,0,0,0,0,843,265,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41123,370042,237301,92966,0,0,0,0,0
96852,918950,708622,222493,0,0,0,0,422,17702,4992,0,0,0,0,175067,48711,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,228,1261,0,0,0,0,794,629,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,126,50,0,0,0,0,816,285,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42708,368818,237533,93511,0,0,0,0,0
106781,909059,708923,223480,0,0,0,0,414,19110,5300,0,0,0,0,174002,48363,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,227,1255,0,0,0,0,791,634,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,153,45,0,0,0,0,856,286,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45943,366642,237874,93040,0,0,0,0,0
119541,899531,709196,223459,0,0,0,0,479,21542,5983,0,0,0,0,171521,47727,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,229,1248,0,0,0,0,783,642,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,142,56,0,0,0,0,889,313,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51644,361326,237565,93155,0,0,0,0,0
136498,885547,709750,223094,0,0,0,0,548,24618,6895,0,0,0,0,169501,47506,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,225,1246,0,0,0,0,775,649,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,168,61,0,0,0,0,854,273,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58728,357852,239012,93451,0,0,0,0,0
157645,867940,709034,222994,0,0,0,0,577,28263,7911,0,0,0,0,165191,46272,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,229,1233,0,0,0,0,761,664,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,160,60,0,0,0,0,835,267,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66979,348878,237622,93019,0,0,0,0,0
181373,848035,711716,223409,0,0,0,0,636,32360,9218,0,0,0,0,162203,45370,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,232,1223,0,0,0,0,747,675,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,202,82,0,0,0,0,802,282,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76123,342857,239024,93214,0,0,0,0,0
207196,822673,711123,223712,0,0,0,0,757,37435,10573,0,0,0,0,159088,43969,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,235,1209,0,0,0,0,732,691,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,233,79,0,0,0,0,833,251,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87404,335798,241295,92930,0,0,0,0,0
235554,800065,711429,223815,0,0,0,0,811,42289,11828,0,0,0,0,153823,42648,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,238,1195,0,0,0,0,715,706,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,236,97,0,0,0,0,680,238,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98045,325475,240125,92432,0,0,0,0,0
