Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 20.00 degrees [A] RIGHT WP at 20.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96075,923043,648068,288900,0,0,0,0,412,16092,6125,0,0,0,0,162668,62604,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,230,1308,0,0,0,0,835,677,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,109,59,0,0,0,0,819,388,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41406,357445,228117,119011,0,0,0,0,0
95278,923207,645941,291901,0,0,0,0,413,15504,6332,0,0,0,0,160530,64221,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,230,1315,0,0,0,0,837,682,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,117,49,0,0,0,0,779,361,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40768,355166,225621,121622,0,0,0,0,0
98956,920661,645898,291484,0,0,0,0,381,15912,6510,0,0,0,0,160487,64387,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,230,1326,0,0,0,0,837,686,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,123,65,0,0,0,0,797,348,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41831,355238,226200,122134,0,0,0,0,0
106054,913376,645581,291263,0,0,0,0,415,17085,7047,0,0,0,0,159171,63929,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,231,1319,0,0,0,0,836,687,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,139,65,0,0,0,0,820,334,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44854,352781,226216,121723,0,0,0,0,0
118870,903479,646336,290314,0,0,0,0,491,18851,7719,0,0,0,0,157567,63615,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,231,1311,0,0,0,0,826,694,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,131,69,0,0,0,0,813,359,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49212,349247,226129,122299,0,0,0,0,0
135686,886319,645068,291018,0,0,0,0,482,21518,8949,0,0,0,0,154748,61616,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,234,1309,0,0,0,0,815,707,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,182,81,0,0,0,0,792,319,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55836,342555,224868,120955,0,0,0,0,0
154912,869450,644560,289985,0,0,0,0,616,25890,10505,0,0,0,0,151668,60628,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,238,1290,0,0,0,0,801,718,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,158,91,0,0,0,0,737,332,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66629,336681,225903,121052,0,0,0,0,0
175351,852959,644185,291076,0,0,0,0,686,29708,12065,0,0,0,0,147709,58798,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,242,1282,0,0,0,0,786,735,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,168,85,0,0,0,0,717,328,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75640,327942,225486,120181,0,0,0,0,0
200128,831095,646871,290299,0,0,0,0,781,34453,13729,0,0,0,0,143653,57560,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,246,1274,0,0,0,0,772,750,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,205,104,0,0,0,0,683,329,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86524,320094,226060,120216,0,0,0,0,0
226479,807174,644471,290653,0,0,0,0,849,39000,15818,0,0,0,0,139047,55222,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,252,1257,0,0,0,0,753,768,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,256,119,0,0,0,0,723,311,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97925,309843,224954,119391,0,0,0,0,0
255119,781634,644592,290091,0,0,0,0,908,44026,17539,0,0,0,0,135015,53501,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,255,1238,0,0,0,0,737,782,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,258,117,0,0,0,0,651,299,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108901,301631,225683,119074,0,0,0,0,0
284252,755341,644977,290283,0,0,0,0,1011,48755,19633,0,0,0,0,130574,52087,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,262,1227,0,0,0,0,714,808,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,287,132,0,0,0,0,668,308,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120530,292441,226063,119183,0,0,0,0,0
328969,714324,645549,290906,0,0,0,0,1009,54185,21962,0,0,0,0,124401,49529,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,271,1207,0,0,0,0,692,829,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,301,130,0,0,0,0,637,305,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132460,279690,224660,118615,0,0,0,0,0
