Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 22.00 degrees [A] RIGHT WP at 22.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95695,911859,608260,318159,0,0,0,0,405,14820,6803,0,0,0,0,151229,68252,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,232,1345,0,0,0,0,848,709,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,104,64,0,0,0,0,876,403,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40320,341262,216345,129072,0,0,0,0,0
94976,913654,605992,320520,0,0,0,0,386,14533,6829,0,0,0,0,149410,70466,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,242,1347,0,0,0,0,856,716,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,117,68,0,0,0,0,740,381,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39642,340205,214595,132896,0,0,0,0,0
97273,911710,606114,320380,0,0,0,0,368,14825,7060,0,0,0,0,149514,70015,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,235,1343,0,0,0,0,855,714,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,68,0,0,0,0,749,401,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40549,339735,214558,132921,0,0,0,0,0
104460,905632,606536,321117,0,0,0,0,451,16598,7785,0,0,0,0,147786,69591,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,236,1348,0,0,0,0,852,722,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,112,68,0,0,0,0,718,385,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44829,336432,214500,133273,0,0,0,0,0
114652,896205,607206,320840,0,0,0,0,447,18315,8787,0,0,0,0,146554,68304,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,243,1333,0,0,0,0,843,730,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,130,75,0,0,0,0,733,367,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49609,333266,214631,132114,0,0,0,0,0
130787,884385,608294,321217,0,0,0,0,543,21193,10015,0,0,0,0,144018,68021,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,240,1328,0,0,0,0,832,738,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,131,76,0,0,0,0,721,375,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56846,329122,215133,132787,0,0,0,0,0
148720,868928,606801,321108,0,0,0,0,642,24235,11403,0,0,0,0,141831,66385,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,243,1321,0,0,0,0,819,754,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,152,85,0,0,0,0,698,364,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64746,323870,215049,132260,0,0,0,0,0
169543,849938,606837,320724,0,0,0,0,643,28041,13232,0,0,0,0,138636,65238,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,246,1309,0,0,0,0,806,762,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,178,100,0,0,0,0,655,331,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74047,317603,215650,132592,0,0,0,0,0
194845,827805,607938,321135,0,0,0,0,731,32045,15246,0,0,0,0,134830,63304,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,253,1301,0,0,0,0,791,783,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,191,104,0,0,0,0,676,350,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84739,309068,215072,132092,0,0,0,0,0
234941,795296,608039,321297,0,0,0,0,871,36734,17479,0,0,0,0,130950,61474,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,259,1284,0,0,0,0,773,801,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,231,125,0,0,0,0,696,343,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96068,301454,215274,132156,0,0,0,0,0
264325,768586,608961,322496,0,0,0,0,936,40930,19590,0,0,0,0,126599,59563,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,267,1272,0,0,0,0,756,816,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,252,131,0,0,0,0,686,381,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106106,292499,215003,131422,0,0,0,0,0
295753,738630,608933,322312,0,0,0,0,920,45513,21668,0,0,0,0,121642,57851,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,271,1254,0,0,0,0,735,838,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,257,128,0,0,0,0,609,306,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117073,282585,214538,131097,0,0,0,0,0
326249,710901,609164,322599,0,0,0,0,1015,50769,24468,0,0,0,0,118078,55203,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,277,1235,0,0,0,0,715,855,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,256,136,0,0,0,0,563,271,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129954,274015,216017,131133,0,0,0,0,0
356318,685650,609287,321220,0,0,0,0,1044,54662,25952,0,0,0,0,113997,53520,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,285,1220,0,0,0,0,701,871,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,358,181,0,0,0,0,647,328,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138479,265727,215089,130516,0,0,0,0,0
386098,657804,608721,322469,0,0,0,0,1150,59184,28324,0,0,0,0,109140,51511,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,294,1204,0,0,0,0,683,891,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,350,199,0,0,0,0,551,299,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149128,255861,214672,130713,0,0,0,0,0
415358,630037,609162,321731,0,0,0,0,1157,65824,31419,0,0,0,0,103336,48460,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,303,1180,0,0,0,0,655,919,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,358,204,0,0,0,0,546,279,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164137,243042,215119,130543,0,0,0,0,0
437217,609794,610418,322118,0,0,0,0,1193,69180,33395,0,0,0,0,100052,46861,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,311,1162,0,0,0,0,642,938,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,365,218,0,0,0,0,510,263,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172768,235740,215277,130699,0,0,0,0,0
462622,587552,611506,323878,0,0,0,0,1277,73532,35278,0,0,0,0,96015,44947,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,317,1150,0,0,0,0,623,954,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,413,224,0,0,0,0,455,274,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182313,226851,215598,130554,0,0,0,0,0
483163,566301,609573,321799,0,0,0,0,1219,76463,36671,0,0,0,0,92925,42987,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,326,1138,0,0,0,0,611,968,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,407,197,0,0,0,0,494,250,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188402,219953,215081,129692,0,0,0,0,0
