Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 24.00 degrees [A] RIGHT WP at 24.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96030,923110,580983,355731,0,0,0,0,360,14292,7788,0,0,0,0,145080,78231,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,238,1375,0,0,0,0,877,739,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,102,60,0,0,0,0,746,451,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40769,338862,212288,148047,0,0,0,0,0
94993,922583,581470,356708,0,0,0,0,390,14319,7695,0,0,0,0,144067,78877,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,243,1380,0,0,0,0,879,743,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,109,74,0,0,0,0,701,456,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40263,337819,211169,149461,0,0,0,0,0
98877,918095,578558,355170,0,0,0,0,409,14460,7970,0,0,0,0,143544,78554,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,239,1374,0,0,0,0,878,741,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112,73,0,0,0,0,750,420,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41497,336655,210709,148656,0,0,0,0,0
106579,911668,579623,356161,0,0,0,0,429,15401,8623,0,0,0,0,143451,78191,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,240,1370,0,0,0,0,872,748,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,116,66,0,0,0,0,695,419,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44308,335837,211720,149006,0,0,0,0,0
119356,901323,579941,355335,0,0,0,0,479,17272,9317,0,0,0,0,141440,77592,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,244,1360,0,0,0,0,868,748,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,123,78,0,0,0,0,720,449,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48981,332264,210885,148688,0,0,0,0,0
135295,887849,578928,355695,0,0,0,0,518,19553,10807,0,0,0,0,139316,75945,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,245,1366,0,0,0,0,859,760,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,147,98,0,0,0,0,702,409,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55181,327635,210759,147502,0,0,0,0,0
155870,869207,579742,355813,0,0,0,0,599,22227,12305,0,0,0,0,136082,74776,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,249,1351,0,0,0,0,846,771,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,171,85,0,0,0,0,696,404,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62805,321150,209246,147303,0,0,0,0,0
177982,849320,580859,355772,0,0,0,0,633,25592,14133,0,0,0,0,133654,73334,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,249,1347,0,0,0,0,832,783,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,178,112,0,0,0,0,695,416,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71361,315744,210190,147169,0,0,0,0,0
203894,827030,578646,354717,0,0,0,0,700,29071,16103,0,0,0,0,130088,71191,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,257,1326,0,0,0,0,817,801,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,186,114,0,0,0,0,653,413,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80613,308085,209396,146016,0,0,0,0,0
231303,803281,580268,356862,0,0,0,0,870,33392,18582,0,0,0,0,126657,69777,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,265,1316,0,0,0,0,800,819,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,214,125,0,0,0,0,610,365,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91704,301718,209792,146880,0,0,0,0,0
