Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 28.00 degrees [A] RIGHT WP at 28.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95678,916647,519824,412205,0,0,0,0,428,12801,8896,0,0,0,0,129556,90751,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,251,1417,0,0,0,0,911,790,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,94,86,0,0,0,0,668,514,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40008,322458,196155,171434,0,0,0,0,0
95229,919214,519345,413509,0,0,0,0,409,12357,8886,0,0,0,0,129175,91606,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,252,1426,0,0,0,0,915,790,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95,64,0,0,0,0,677,504,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39389,321914,195628,173103,0,0,0,0,0
98801,915216,519012,412939,0,0,0,0,410,13116,9126,0,0,0,0,128973,91224,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,252,1425,0,0,0,0,911,792,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,105,72,0,0,0,0,665,457,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40894,321370,195804,173311,0,0,0,0,0
106795,909780,519504,413824,0,0,0,0,438,13968,9895,0,0,0,0,127741,90632,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,253,1416,0,0,0,0,910,797,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,99,70,0,0,0,0,646,449,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43673,319300,195351,172527,0,0,0,0,0
119218,899056,519932,413393,0,0,0,0,461,15479,11118,0,0,0,0,126299,90209,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,256,1419,0,0,0,0,900,805,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,102,0,0,0,0,633,441,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48297,316888,195058,173198,0,0,0,0,0
136142,884707,519015,413581,0,0,0,0,544,17610,12680,0,0,0,0,125054,89449,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,255,1406,0,0,0,0,893,813,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,138,102,0,0,0,0,661,448,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54932,314632,195894,173398,0,0,0,0,0
156267,867528,520768,414073,0,0,0,0,590,20553,14402,0,0,0,0,122311,86582,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,261,1402,0,0,0,0,881,827,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,148,108,0,0,0,0,655,470,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62704,307572,194647,170930,0,0,0,0,0
177417,848614,519463,413611,0,0,0,0,619,22733,16416,0,0,0,0,120400,85605,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,264,1391,0,0,0,0,871,836,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,145,121,0,0,0,0,591,440,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70010,303695,194687,171690,0,0,0,0,0
203094,827826,521098,414390,0,0,0,0,755,26210,18608,0,0,0,0,117578,83919,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,272,1383,0,0,0,0,855,849,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,180,132,0,0,0,0,609,458,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79349,298321,194962,171152,0,0,0,0,0
229597,803026,519640,413874,0,0,0,0,860,31491,22608,0,0,0,0,111995,79846,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,281,1356,0,0,0,0,829,877,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,174,126,0,0,0,0,527,396,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94550,285732,193250,169582,0,0,0,0,0
