Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 32.00 degrees [A] RIGHT WP at 32.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95875,920760,473323,462502,0,0,0,0,398,11806,9878,0,0,0,0,119443,102724,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,262,1461,0,0,0,0,942,830,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,104,70,0,0,0,0,687,547,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39942,315513,185916,194078,0,0,0,0,0
94818,923200,472244,460104,0,0,0,0,356,11559,9986,0,0,0,0,118097,103107,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,260,1467,0,0,0,0,948,829,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,72,0,0,0,0,624,534,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39595,313471,184166,194987,0,0,0,0,0
98738,919855,472794,460941,0,0,0,0,422,11733,10514,0,0,0,0,118351,103358,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,263,1461,0,0,0,0,946,831,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,90,74,0,0,0,0,603,540,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40968,314397,184604,195834,0,0,0,0,0
106805,913199,473337,461683,0,0,0,0,449,12701,11088,0,0,0,0,117644,102641,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,263,1462,0,0,0,0,942,838,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,77,0,0,0,0,588,547,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43787,312487,184442,195612,0,0,0,0,0
118535,901890,473408,460541,0,0,0,0,487,14009,12424,0,0,0,0,116473,101907,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,264,1457,0,0,0,0,936,841,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,106,97,0,0,0,0,609,537,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48004,310880,184564,195157,0,0,0,0,0
133767,889301,471863,459617,0,0,0,0,463,15679,13653,0,0,0,0,114002,100325,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,269,1454,0,0,0,0,927,851,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,135,120,0,0,0,0,631,524,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53451,305230,182733,193676,0,0,0,0,0
153101,870314,471486,461483,0,0,0,0,570,19241,16852,0,0,0,0,111004,97363,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,273,1440,0,0,0,0,906,868,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,132,113,0,0,0,0,561,562,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64276,298535,182659,192643,0,0,0,0,0
175298,850671,470682,460041,0,0,0,0,668,21975,19421,0,0,0,0,107962,94741,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,281,1421,0,0,0,0,892,882,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,131,119,0,0,0,0,585,504,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72965,291693,180998,191369,0,0,0,0,0
200673,828257,470575,459786,0,0,0,0,806,25387,22089,0,0,0,0,105619,92163,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,285,1414,0,0,0,0,875,900,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,156,153,0,0,0,0,532,475,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83288,285941,181649,190119,0,0,0,0,0
234794,795338,470000,457336,0,0,0,0,845,28765,24826,0,0,0,0,101696,88397,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,295,1397,0,0,0,0,859,915,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,166,167,0,0,0,0,526,477,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92994,276399,179416,187160,0,0,0,0,0
