Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 36.00 degrees [A] RIGHT WP at 36.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95325,916751,439527,489300,0,0,0,0,386,10827,10639,0,0,0,0,109996,108966,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,274,1482,0,0,0,0,962,861,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,80,0,0,0,0,585,599,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39548,304684,174423,206564,0,0,0,0,0
94994,918182,438361,489228,0,0,0,0,375,10596,10523,0,0,0,0,109211,109179,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,272,1489,0,0,0,0,963,859,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,96,79,0,0,0,0,583,581,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38948,303364,173049,207016,0,0,0,0,0
98391,914268,436965,489368,0,0,0,0,425,10934,10951,0,0,0,0,108667,109005,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,269,1487,0,0,0,0,962,863,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,92,89,0,0,0,0,590,626,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40344,302599,173085,206602,0,0,0,0,0
106179,910134,438424,489160,0,0,0,0,426,11762,11773,0,0,0,0,108461,107779,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,272,1484,0,0,0,0,956,867,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,81,0,0,0,0,589,553,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43137,301397,173248,205468,0,0,0,0,0
116459,899826,438356,488613,0,0,0,0,481,12744,12720,0,0,0,0,107266,107312,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,275,1480,0,0,0,0,953,870,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,98,115,0,0,0,0,536,550,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46479,299570,172680,205386,0,0,0,0,0
132047,886875,437407,488577,0,0,0,0,533,15398,15254,0,0,0,0,104623,104768,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,285,1472,0,0,0,0,937,881,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,121,107,0,0,0,0,546,563,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55421,293265,171575,203972,0,0,0,0,0
151197,868913,437703,490123,0,0,0,0,593,17490,17688,0,0,0,0,103183,102610,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,283,1463,0,0,0,0,928,899,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,123,120,0,0,0,0,504,540,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63149,289617,171873,202856,0,0,0,0,0
172916,848798,437624,490058,0,0,0,0,679,20462,20421,0,0,0,0,100455,99901,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,291,1454,0,0,0,0,910,910,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,149,154,0,0,0,0,514,507,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71931,283607,170718,202036,0,0,0,0,0
199044,829132,437455,488894,0,0,0,0,744,23248,23419,0,0,0,0,97829,98075,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,297,1438,0,0,0,0,896,927,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,154,153,0,0,0,0,485,486,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,278613,170811,201323,0,0,0,0,0
224343,805354,438007,490401,0,0,0,0,862,26691,26496,0,0,0,0,95353,94700,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,301,1427,0,0,0,0,877,946,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,154,0,0,0,0,498,508,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92229,271723,170508,200521,0,0,0,0,0
