Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 38.00 degrees [A] RIGHT WP at 38.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95643,917991,428084,498994,0,0,0,0,405,10323,11060,0,0,0,0,107270,111814,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,270,1492,0,0,0,0,970,868,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,73,88,0,0,0,0,557,580,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39495,302953,170756,212051,0,0,0,0,0
94608,918248,428247,498061,0,0,0,0,373,10481,10874,0,0,0,0,107038,111830,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,275,1494,0,0,0,0,970,865,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,79,96,0,0,0,0,556,562,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39188,302749,171067,211560,0,0,0,0,0
97812,914852,428003,497653,0,0,0,0,396,10760,11170,0,0,0,0,106816,110699,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,279,1499,0,0,0,0,969,867,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99,89,0,0,0,0,505,562,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40359,301169,170751,210049,0,0,0,0,0
106608,908749,428657,497562,0,0,0,0,437,11585,12214,0,0,0,0,106353,110537,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,274,1497,0,0,0,0,965,869,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89,82,0,0,0,0,535,569,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43711,300277,171157,210945,0,0,0,0,0
119659,897963,428779,498365,0,0,0,0,438,13242,13582,0,0,0,0,104738,108926,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,277,1485,0,0,0,0,956,882,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,102,102,0,0,0,0,553,556,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48464,296912,170268,209922,0,0,0,0,0
136387,881985,428763,499100,0,0,0,0,537,14933,15351,0,0,0,0,102880,107964,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,281,1477,0,0,0,0,948,890,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,114,0,0,0,0,521,586,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54520,293730,169558,209937,0,0,0,0,0
156641,865226,428039,498932,0,0,0,0,607,17215,18163,0,0,0,0,101370,105489,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,288,1473,0,0,0,0,934,905,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,126,136,0,0,0,0,626,563,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63019,289686,169536,209038,0,0,0,0,0
180599,844251,427568,499310,0,0,0,0,615,19768,20570,0,0,0,0,98992,102963,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,290,1461,0,0,0,0,921,918,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,139,162,0,0,0,0,540,531,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71336,283946,168806,207363,0,0,0,0,0
206045,821775,427921,497472,0,0,0,0,784,22702,23000,0,0,0,0,95926,99777,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,300,1451,0,0,0,0,905,933,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,151,170,0,0,0,0,488,502,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80162,276749,167794,204455,0,0,0,0,0
233841,797616,428937,497242,0,0,0,0,819,25472,26621,0,0,0,0,94020,97111,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,306,1428,0,0,0,0,889,950,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,181,171,0,0,0,0,564,527,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90241,271897,168101,204520,0,0,0,0,0
