Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 40.00 degrees [A] RIGHT WP at 40.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94943,909203,418916,496402,0,0,0,0,381,10157,10782,0,0,0,0,104418,109795,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,278,1494,0,0,0,0,969,873,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,80,97,0,0,0,0,560,567,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38457,295694,166568,208329,0,0,0,0,0
93593,913025,419856,498065,0,0,0,0,349,10046,10711,0,0,0,0,103968,110650,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,279,1495,0,0,0,0,971,871,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78,78,0,0,0,0,543,606,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38258,295724,166081,209842,0,0,0,0,0
96746,910473,419776,497684,0,0,0,0,429,10497,11060,0,0,0,0,104079,110828,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,278,1497,0,0,0,0,969,873,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81,90,0,0,0,0,551,562,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39350,297016,166941,209974,0,0,0,0,0
103868,904074,420037,497503,0,0,0,0,432,11508,11994,0,0,0,0,103108,108969,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,277,1494,0,0,0,0,963,877,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82,100,0,0,0,0,541,558,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42918,293623,166404,207756,0,0,0,0,0
115281,892344,418184,497745,0,0,0,0,476,13017,13412,0,0,0,0,101495,108858,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,281,1493,0,0,0,0,958,885,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,110,0,0,0,0,505,577,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48047,291188,165940,209289,0,0,0,0,0
128614,883036,420465,496660,0,0,0,0,500,14949,15618,0,0,0,0,100335,106808,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,283,1482,0,0,0,0,945,895,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,114,109,0,0,0,0,531,556,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54647,288002,166222,208308,0,0,0,0,0
155810,858141,420124,496815,0,0,0,0,571,17079,17765,0,0,0,0,98238,104394,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,290,1473,0,0,0,0,931,910,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,117,129,0,0,0,0,496,556,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61671,283163,165574,206536,0,0,0,0,0
180025,838136,419821,497144,0,0,0,0,672,19680,20584,0,0,0,0,96157,101744,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,298,1461,0,0,0,0,918,923,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,131,134,0,0,0,0,487,507,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71323,277805,164941,204945,0,0,0,0,0
205181,814802,419231,497650,0,0,0,0,767,22367,23759,0,0,0,0,92933,98912,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,301,1445,0,0,0,0,902,941,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,152,0,0,0,0,527,511,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80630,271134,163225,203665,0,0,0,0,0
234490,789935,419392,496926,0,0,0,0,896,25482,27217,0,0,0,0,90831,95985,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,311,1432,0,0,0,0,880,959,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,168,178,0,0,0,0,437,491,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90954,265802,163962,202998,0,0,0,0,0
