Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 42.00 degrees [A] RIGHT WP at 42.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95389,914801,421849,500524,0,0,0,0,373,10355,10928,0,0,0,0,105076,112016,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,277,1495,0,0,0,0,973,873,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,101,0,0,0,0,526,562,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39194,298987,168345,212405,0,0,0,0,0
94860,917306,421182,499057,0,0,0,0,369,10425,10902,0,0,0,0,105594,112502,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,277,1498,0,0,0,0,976,867,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92,92,0,0,0,0,550,563,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39513,300606,169228,212751,0,0,0,0,0
98507,915102,422185,499613,0,0,0,0,408,10462,11328,0,0,0,0,105010,112209,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,281,1495,0,0,0,0,972,871,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,85,0,0,0,0,534,602,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40250,299500,168199,213095,0,0,0,0,0
105267,908930,424236,500974,0,0,0,0,431,11346,11868,0,0,0,0,104857,111628,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,274,1494,0,0,0,0,971,874,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,91,89,0,0,0,0,553,594,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42658,298659,169226,212356,0,0,0,0,0
116426,900224,422411,500035,0,0,0,0,472,13004,13784,0,0,0,0,103253,109515,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,283,1489,0,0,0,0,961,886,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,88,104,0,0,0,0,531,590,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48955,294923,168215,210768,0,0,0,0,0
132142,887438,422585,500371,0,0,0,0,575,14652,15804,0,0,0,0,102025,108165,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,285,1485,0,0,0,0,948,894,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,110,0,0,0,0,490,545,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55213,292614,168195,210191,0,0,0,0,0
150690,870155,423061,499771,0,0,0,0,582,17314,18297,0,0,0,0,99626,105505,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,290,1471,0,0,0,0,936,906,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,148,0,0,0,0,540,532,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63539,286601,167720,208861,0,0,0,0,0
173085,850617,423234,499587,0,0,0,0,669,19772,20865,0,0,0,0,97542,103118,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,295,1459,0,0,0,0,920,921,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,140,150,0,0,0,0,539,529,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71819,281892,166918,207978,0,0,0,0,0
197570,828956,421782,500452,0,0,0,0,783,22411,23960,0,0,0,0,94172,100192,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,301,1446,0,0,0,0,909,935,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,162,149,0,0,0,0,472,556,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81333,274337,165590,206058,0,0,0,0,0
234734,794580,422662,501304,0,0,0,0,843,25862,27431,0,0,0,0,91859,97197,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,313,1435,0,0,0,0,886,959,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,154,174,0,0,0,0,471,490,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92301,268403,165782,205809,0,0,0,0,0
265113,766027,422296,499674,0,0,0,0,922,29028,30853,0,0,0,0,88687,93232,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,324,1417,0,0,0,0,867,977,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,177,194,0,0,0,0,428,457,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102066,260692,164595,203452,0,0,0,0,0
295491,741314,422975,501642,0,0,0,0,1008,32557,34776,0,0,0,0,86366,91266,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,327,1403,0,0,0,0,850,997,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,201,250,0,0,0,0,470,470,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113526,256272,165787,205014,0,0,0,0,0
328396,711488,422970,501151,0,0,0,0,1016,36082,38294,0,0,0,0,82814,87413,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,338,1381,0,0,0,0,828,1017,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,206,221,0,0,0,0,445,454,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123998,247374,165046,203183,0,0,0,0,0
359388,684158,422112,501498,0,0,0,0,1078,39162,41979,0,0,0,0,79622,84067,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,356,1363,0,0,0,0,815,1034,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,236,241,0,0,0,0,418,459,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133778,239687,164123,202712,0,0,0,0,0
388155,654997,423047,498777,0,0,0,0,1107,42458,45113,0,0,0,0,76850,80172,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,357,1351,0,0,0,0,790,1057,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,264,278,0,0,0,0,432,475,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143080,231352,164334,200905,0,0,0,0,0
418100,627756,422444,500822,0,0,0,0,1108,45926,49056,0,0,0,0,73579,77750,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,371,1335,0,0,0,0,771,1077,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,262,310,0,0,0,0,388,411,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153598,224507,164785,202075,0,0,0,0,0
444100,604706,422593,499101,0,0,0,0,1217,48546,52143,0,0,0,0,70830,73430,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,379,1316,0,0,0,0,754,1094,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,278,258,0,0,0,0,344,379,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160714,216155,163821,200530,0,0,0,0,0
467492,580259,423333,499763,0,0,0,0,1217,50693,55189,0,0,0,0,67863,71220,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,389,1303,0,0,0,0,735,1110,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,299,312,0,0,0,0,368,406,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168253,209202,163181,200527,0,0,0,0,0
