Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 44.00 degrees [A] RIGHT WP at 44.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95598,916688,425641,498180,0,0,0,0,407,10680,10997,0,0,0,0,107041,111550,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,277,1492,0,0,0,0,973,866,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,86,81,0,0,0,0,544,579,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39853,302394,171396,211049,0,0,0,0,0
94830,918429,428394,495470,0,0,0,0,341,10542,10765,0,0,0,0,106965,111602,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,276,1494,0,0,0,0,975,862,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,94,79,0,0,0,0,550,625,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39174,302358,171062,210813,0,0,0,0,0
97120,915794,428327,496012,0,0,0,0,363,10781,11249,0,0,0,0,107441,111368,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,272,1487,0,0,0,0,969,864,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82,102,0,0,0,0,532,602,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40676,302583,171570,211359,0,0,0,0,0
103287,911191,427452,495245,0,0,0,0,396,11734,12159,0,0,0,0,105966,111033,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,276,1488,0,0,0,0,965,871,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,103,0,0,0,0,516,568,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43829,300362,170842,211469,0,0,0,0,0
114191,902455,427031,495861,0,0,0,0,492,13128,13737,0,0,0,0,105099,108738,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,279,1480,0,0,0,0,959,876,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,99,0,0,0,0,526,559,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48809,297738,170556,209244,0,0,0,0,0
136521,882308,427350,494067,0,0,0,0,518,15076,15891,0,0,0,0,103237,107506,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,287,1479,0,0,0,0,948,888,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,93,116,0,0,0,0,537,577,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55960,293923,170332,209323,0,0,0,0,0
156835,865553,426047,495210,0,0,0,0,561,17466,18040,0,0,0,0,101007,105387,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,287,1466,0,0,0,0,935,902,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,135,127,0,0,0,0,526,569,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63436,288815,169698,208206,0,0,0,0,0
180193,843054,425857,496703,0,0,0,0,656,20138,20711,0,0,0,0,98167,102259,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,298,1456,0,0,0,0,920,918,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,154,133,0,0,0,0,505,547,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71709,282230,168180,206395,0,0,0,0,0
206113,822129,427779,494521,0,0,0,0,755,23235,23719,0,0,0,0,96646,100292,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,302,1434,0,0,0,0,904,931,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,141,143,0,0,0,0,481,482,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82347,278865,169381,205749,0,0,0,0,0
235665,794547,427498,494678,0,0,0,0,818,26401,27095,0,0,0,0,93675,96284,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,311,1423,0,0,0,0,886,952,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,197,191,0,0,0,0,479,490,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92588,270796,168214,203868,0,0,0,0,0
