Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 46.00 degrees [A] RIGHT WP at 46.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95647,918443,434998,487127,0,0,0,0,390,10607,10885,0,0,0,0,108739,110776,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,278,1477,0,0,0,0,970,860,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,86,0,0,0,0,619,603,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39445,304797,173191,209571,0,0,0,0,0
94756,918257,435885,485923,0,0,0,0,385,10832,10546,0,0,0,0,109465,109777,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,273,1476,0,0,0,0,967,854,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92,80,0,0,0,0,550,587,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39331,304916,173893,207643,0,0,0,0,0
97627,916278,436164,486355,0,0,0,0,406,10856,11073,0,0,0,0,109197,109748,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,276,1482,0,0,0,0,967,857,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,88,0,0,0,0,553,563,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40430,304788,173718,207514,0,0,0,0,0
104659,911368,436250,485968,0,0,0,0,421,11683,11497,0,0,0,0,108660,108805,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,276,1474,0,0,0,0,963,860,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,104,85,0,0,0,0,600,564,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42294,302927,173994,206696,0,0,0,0,0
116579,902050,436134,487118,0,0,0,0,487,13527,13568,0,0,0,0,107631,107263,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,279,1474,0,0,0,0,955,867,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99,89,0,0,0,0,588,547,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49338,300793,173678,206341,0,0,0,0,0
131617,888055,436441,485499,0,0,0,0,558,15559,15292,0,0,0,0,105729,105539,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,284,1458,0,0,0,0,946,876,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,125,116,0,0,0,0,505,563,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55831,296711,173478,204631,0,0,0,0,0
150154,871641,437035,485919,0,0,0,0,596,17589,17883,0,0,0,0,104021,103464,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,284,1454,0,0,0,0,928,892,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115,119,0,0,0,0,595,565,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63642,292235,172979,204338,0,0,0,0,0
172110,852537,437229,485724,0,0,0,0,677,20569,20704,0,0,0,0,100887,101260,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,290,1445,0,0,0,0,915,905,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,135,137,0,0,0,0,518,539,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72886,286285,172318,203431,0,0,0,0,0
197471,830083,436595,486104,0,0,0,0,776,23494,23613,0,0,0,0,97962,97770,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,300,1431,0,0,0,0,898,922,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,140,148,0,0,0,0,513,478,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82288,278590,171020,201631,0,0,0,0,0
235669,796797,438019,485047,0,0,0,0,803,26973,27022,0,0,0,0,95982,94914,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,311,1416,0,0,0,0,879,941,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,163,169,0,0,0,0,483,485,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93219,273629,171972,200940,0,0,0,0,0
