Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 48.00 degrees [A] RIGHT WP at 48.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96437,921074,448972,476758,0,0,0,0,429,11268,10697,0,0,0,0,112619,108828,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,273,1467,0,0,0,0,964,846,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,87,94,0,0,0,0,609,596,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40227,310281,178273,205451,0,0,0,0,0
95591,922844,452749,474128,0,0,0,0,390,11326,10340,0,0,0,0,114537,107409,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,270,1471,0,0,0,0,960,839,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,81,0,0,0,0,583,552,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39901,311918,180496,202553,0,0,0,0,0
98611,920253,452493,472448,0,0,0,0,401,11548,10684,0,0,0,0,113719,107936,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,274,1469,0,0,0,0,958,841,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,103,77,0,0,0,0,577,568,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41122,311149,180069,203247,0,0,0,0,0
107101,911798,452218,472377,0,0,0,0,427,12662,11752,0,0,0,0,113119,106227,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,273,1468,0,0,0,0,952,846,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,84,0,0,0,0,592,544,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44490,309044,179813,202155,0,0,0,0,0
120502,900279,452636,472721,0,0,0,0,488,14155,13155,0,0,0,0,111539,104912,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,272,1455,0,0,0,0,947,854,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,110,91,0,0,0,0,573,521,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49758,305568,179130,201046,0,0,0,0,0
136985,887397,453152,471631,0,0,0,0,560,16121,15124,0,0,0,0,110463,103449,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,276,1446,0,0,0,0,937,864,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,121,97,0,0,0,0,591,512,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56591,302749,179527,201113,0,0,0,0,0
157441,869768,453078,473722,0,0,0,0,627,18314,17348,0,0,0,0,108557,101364,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,283,1446,0,0,0,0,925,878,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,133,0,0,0,0,560,514,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64069,297867,179044,200440,0,0,0,0,0
180192,849183,451789,472859,0,0,0,0,652,20764,19531,0,0,0,0,105879,99177,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,287,1432,0,0,0,0,912,889,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,148,141,0,0,0,0,599,520,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71510,292160,178013,198920,0,0,0,0,0
206414,825995,452581,473759,0,0,0,0,772,24078,22498,0,0,0,0,103036,96475,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,297,1417,0,0,0,0,895,903,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,164,197,0,0,0,0,557,505,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81761,286227,177643,197572,0,0,0,0,0
234279,801968,453569,473205,0,0,0,0,807,27132,25566,0,0,0,0,100150,93869,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,301,1406,0,0,0,0,877,923,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,189,184,0,0,0,0,525,487,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91587,279403,177210,197075,0,0,0,0,0
