Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 54.00 degrees [A] RIGHT WP at 54.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95364,914462,504136,406532,0,0,0,0,399,12506,9251,0,0,0,0,125686,92980,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,257,1415,0,0,0,0,923,796,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,96,72,0,0,0,0,673,555,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40171,317964,192139,174856,0,0,0,0,0
94487,913602,509849,400605,0,0,0,0,381,12552,8956,0,0,0,0,128250,90906,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,258,1409,0,0,0,0,919,787,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,62,0,0,0,0,646,497,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39473,320733,194676,170767,0,0,0,0,0
96974,911620,509899,400681,0,0,0,0,404,12960,9118,0,0,0,0,127949,90737,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,258,1414,0,0,0,0,917,790,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,88,0,0,0,0,665,508,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40644,320424,194352,170714,0,0,0,0,0
103829,906055,510266,401634,0,0,0,0,437,14152,9817,0,0,0,0,126442,89870,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,255,1413,0,0,0,0,911,796,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,104,79,0,0,0,0,673,495,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44109,316876,193490,170081,0,0,0,0,0
115883,897818,510591,401802,0,0,0,0,441,15830,11498,0,0,0,0,125422,88811,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,258,1404,0,0,0,0,903,800,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,86,0,0,0,0,657,496,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49965,314796,194011,169732,0,0,0,0,0
127382,885387,509444,400548,0,0,0,0,559,18276,13102,0,0,0,0,123276,87724,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,265,1402,0,0,0,0,895,812,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,128,105,0,0,0,0,653,493,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56885,310560,193965,170017,0,0,0,0,0
156590,862540,510467,401648,0,0,0,0,634,20871,14825,0,0,0,0,120987,85745,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,268,1386,0,0,0,0,880,823,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,130,121,0,0,0,0,658,508,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64123,304967,193683,168970,0,0,0,0,0
180203,841559,511033,402709,0,0,0,0,735,24140,17085,0,0,0,0,118553,83501,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,271,1373,0,0,0,0,867,840,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,138,112,0,0,0,0,620,455,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73620,299756,193293,167892,0,0,0,0,0
206253,817443,510617,401867,0,0,0,0,758,27724,19837,0,0,0,0,115496,81054,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,278,1363,0,0,0,0,850,853,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,172,134,0,0,0,0,597,408,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83646,293056,193365,167219,0,0,0,0,0
234144,792738,511833,402205,0,0,0,0,828,31506,22399,0,0,0,0,112252,79672,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,285,1348,0,0,0,0,831,872,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,193,133,0,0,0,0,549,422,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94226,286516,193534,168189,0,0,0,0,0
262447,767680,510849,401995,0,0,0,0,880,34815,24644,0,0,0,0,109304,76239,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,292,1329,0,0,0,0,813,890,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,214,169,0,0,0,0,591,420,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103384,278277,192646,165840,0,0,0,0,0
292394,741481,511451,402231,0,0,0,0,959,38832,27662,0,0,0,0,105381,73700,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,301,1316,0,0,0,0,797,907,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,251,180,0,0,0,0,548,432,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114385,270370,192245,165184,0,0,0,0,0
324724,712430,512096,402455,0,0,0,0,1076,43363,30964,0,0,0,0,101863,71575,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,309,1296,0,0,0,0,778,930,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,268,191,0,0,0,0,555,395,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126147,263138,193082,166607,0,0,0,0,0
355658,686116,511519,402502,0,0,0,0,1056,47378,33644,0,0,0,0,98023,68585,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,319,1284,0,0,0,0,760,949,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,270,188,0,0,0,0,543,355,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136694,254375,192282,165282,0,0,0,0,0
387062,656577,511305,401952,0,0,0,0,1187,51384,37088,0,0,0,0,93709,65620,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,329,1261,0,0,0,0,739,969,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,311,211,0,0,0,0,513,346,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147617,244982,191898,164881,0,0,0,0,0
413945,627660,510187,403533,0,0,0,0,1126,55167,39648,0,0,0,0,89486,63285,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,342,1251,0,0,0,0,720,990,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,317,230,0,0,0,0,456,351,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156707,235462,191080,165160,0,0,0,0,0
440620,604293,511673,402969,0,0,0,0,1156,58774,42075,0,0,0,0,85881,60404,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,349,1231,0,0,0,0,701,1008,0,0,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,308,253,0,0,0,0,441,328,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165482,227027,190903,163880,0,0,0,0,0
464904,582834,511915,402341,0,0,0,0,1231,61847,44905,0,0,0,0,83251,58384,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,358,1216,0,0,0,0,687,1023,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,318,289,0,0,0,0,448,342,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174011,221069,191360,164834,0,0,0,0,0
485322,562180,511261,402486,0,0,0,0,1279,65971,47298,0,0,0,0,78963,55096,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,368,1196,0,0,0,0,666,1046,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,367,269,0,0,0,0,426,323,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183501,210388,190747,163517,0,0,0,0,0
