Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 56.00 degrees [A] RIGHT WP at 56.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96008,919109,538739,378114,0,0,0,0,358,13138,8778,0,0,0,0,136470,86806,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,253,1392,0,0,0,0,904,770,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,98,66,0,0,0,0,688,468,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40621,331656,203763,163239,0,0,0,0,0
95541,919874,541000,376904,0,0,0,0,388,13644,8420,0,0,0,0,137060,85954,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,246,1396,0,0,0,0,904,763,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,68,0,0,0,0,710,470,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40640,332389,204371,161676,0,0,0,0,0
99470,917633,540822,376437,0,0,0,0,378,14019,8798,0,0,0,0,137120,85830,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,247,1398,0,0,0,0,900,762,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,111,73,0,0,0,0,710,463,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41926,332355,205322,161464,0,0,0,0,0
106641,909055,541214,377011,0,0,0,0,397,14949,9415,0,0,0,0,135971,85652,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,253,1386,0,0,0,0,897,769,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,111,78,0,0,0,0,671,434,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44698,330254,204598,162108,0,0,0,0,0
119167,900538,540258,375959,0,0,0,0,468,16751,10349,0,0,0,0,135006,84641,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,254,1379,0,0,0,0,891,772,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,127,77,0,0,0,0,686,446,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49516,328493,204951,161276,0,0,0,0,0
135471,885777,540764,376084,0,0,0,0,534,18822,11945,0,0,0,0,132749,82768,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,257,1373,0,0,0,0,880,783,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,128,99,0,0,0,0,700,451,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55912,322752,204422,159982,0,0,0,0,0
155232,868826,541319,376682,0,0,0,0,623,21386,13633,0,0,0,0,129887,82098,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,260,1359,0,0,0,0,870,797,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,147,102,0,0,0,0,660,402,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63495,318005,203561,160244,0,0,0,0,0
178858,849073,539609,377038,0,0,0,0,690,24621,15750,0,0,0,0,126770,79653,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,264,1356,0,0,0,0,854,806,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,170,109,0,0,0,0,672,406,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72540,310669,202804,159000,0,0,0,0,0
203567,826353,539969,377550,0,0,0,0,746,28547,18035,0,0,0,0,124375,77540,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,269,1342,0,0,0,0,843,823,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,187,130,0,0,0,0,630,429,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82379,305143,203562,159055,0,0,0,0,0
231695,800848,539972,377343,0,0,0,0,796,32043,20458,0,0,0,0,120610,75384,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,273,1329,0,0,0,0,824,843,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,225,165,0,0,0,0,640,422,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92777,296755,202543,158345,0,0,0,0,0
