Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 58.00 degrees [A] RIGHT WP at 58.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96128,922390,570011,348396,0,0,0,0,459,14187,7955,0,0,0,0,144307,80210,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,244,1377,0,0,0,0,887,741,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,106,75,0,0,0,0,762,472,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41185,340080,212006,150498,0,0,0,0,0
95267,923039,571447,348684,0,0,0,0,404,14391,7797,0,0,0,0,145265,80337,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,242,1369,0,0,0,0,886,737,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,108,73,0,0,0,0,716,468,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41116,341962,213151,150770,0,0,0,0,0
99062,919656,571055,348243,0,0,0,0,420,14606,8277,0,0,0,0,145438,79304,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,247,1366,0,0,0,0,883,739,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,74,0,0,0,0,756,416,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42346,341404,213195,149735,0,0,0,0,0
107379,912699,570267,346667,0,0,0,0,429,15718,8839,0,0,0,0,143433,78834,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,246,1363,0,0,0,0,881,742,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,95,80,0,0,0,0,670,433,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45338,337832,212115,148941,0,0,0,0,0
119458,902335,568734,347017,0,0,0,0,482,17559,9693,0,0,0,0,142166,77838,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,245,1355,0,0,0,0,872,749,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,142,92,0,0,0,0,697,410,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50043,334718,212208,148548,0,0,0,0,0
136642,888564,571285,346778,0,0,0,0,547,20064,11221,0,0,0,0,139939,76348,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,251,1349,0,0,0,0,861,758,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,137,106,0,0,0,0,718,405,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56845,330188,212071,147661,0,0,0,0,0
156298,871223,571067,347632,0,0,0,0,564,23128,12700,0,0,0,0,138478,75879,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,252,1341,0,0,0,0,851,773,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,175,123,0,0,0,0,670,395,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65254,327510,213372,148575,0,0,0,0,0
180501,850250,571238,347611,0,0,0,0,697,26682,14710,0,0,0,0,134803,73548,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,256,1329,0,0,0,0,837,786,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,180,116,0,0,0,0,665,400,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74206,319417,212348,147792,0,0,0,0,0
204902,828576,570652,347624,0,0,0,0,769,30128,16782,0,0,0,0,131455,72450,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,263,1317,0,0,0,0,820,798,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,219,143,0,0,0,0,674,401,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83989,313163,212202,147766,0,0,0,0,0
233434,804804,571201,348349,0,0,0,0,911,35443,19613,0,0,0,0,127374,69378,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,272,1299,0,0,0,0,800,822,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,213,146,0,0,0,0,631,345,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97434,303865,212543,146906,0,0,0,0,0
257819,780326,571098,347721,0,0,0,0,913,40366,22083,0,0,0,0,122555,67223,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,278,1282,0,0,0,0,781,839,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,258,150,0,0,0,0,623,371,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109288,294056,211926,146473,0,0,0,0,0
286346,754787,570992,346770,0,0,0,0,983,44653,24907,0,0,0,0,118062,63906,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,288,1262,0,0,0,0,756,864,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,284,184,0,0,0,0,591,356,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120547,283273,210969,145046,0,0,0,0,0
330127,716596,570706,347239,0,0,0,0,1020,50122,27629,0,0,0,0,113487,61454,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,295,1241,0,0,0,0,740,880,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,256,191,0,0,0,0,560,334,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133543,273526,211498,145059,0,0,0,0,0
361524,686351,571269,347993,0,0,0,0,1132,53940,30117,0,0,0,0,109319,59023,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,302,1229,0,0,0,0,720,904,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,300,185,0,0,0,0,578,340,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143508,264150,210649,144585,0,0,0,0,0
391915,657271,570687,346790,0,0,0,0,1171,59337,32536,0,0,0,0,103917,56798,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,314,1207,0,0,0,0,702,919,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,331,205,0,0,0,0,529,361,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155224,253958,210253,144197,0,0,0,0,0
422186,631350,569805,347297,0,0,0,0,1187,62973,35147,0,0,0,0,99970,54268,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,324,1195,0,0,0,0,684,941,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,358,206,0,0,0,0,462,266,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165199,244377,209732,143745,0,0,0,0,0
448969,605900,571958,347454,0,0,0,0,1260,67486,37395,0,0,0,0,96329,52056,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,332,1179,0,0,0,0,666,959,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,384,200,0,0,0,0,525,302,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175396,236315,210545,143536,0,0,0,0,0
471727,581974,571491,347394,0,0,0,0,1267,70792,39811,0,0,0,0,92718,50501,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,337,1163,0,0,0,0,650,977,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,357,233,0,0,0,0,475,287,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183170,228826,210569,144858,0,0,0,0,0
494162,561961,569817,347172,0,0,0,0,1260,74356,41643,0,0,0,0,89680,48554,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,346,1154,0,0,0,0,636,992,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,382,261,0,0,0,0,447,252,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191289,222316,210646,144442,0,0,0,0,0
511865,545682,569451,346688,0,0,0,0,1283,76733,42784,0,0,0,0,87184,47086,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,353,1144,0,0,0,0,625,1002,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,413,262,0,0,0,0,456,253,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196843,215752,210600,144496,0,0,0,0,0
