Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 60.00 degrees [A] RIGHT WP at 60.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96089,921715,600623,315186,0,0,0,0,395,15023,7310,0,0,0,0,152885,72403,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,239,1342,0,0,0,0,865,712,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,97,61,0,0,0,0,753,406,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41422,349100,219979,135945,0,0,0,0,0
95456,922888,599868,314926,0,0,0,0,382,15185,7100,0,0,0,0,153513,72218,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,238,1344,0,0,0,0,867,711,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,114,66,0,0,0,0,768,391,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41360,350289,220976,134963,0,0,0,0,0
99057,920106,599810,314539,0,0,0,0,418,15744,7388,0,0,0,0,152979,72315,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,237,1333,0,0,0,0,865,711,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,121,69,0,0,0,0,738,365,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42980,349504,220729,135622,0,0,0,0,0
107588,912602,600166,314481,0,0,0,0,413,16908,8102,0,0,0,0,151569,71326,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,243,1336,0,0,0,0,859,716,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,71,0,0,0,0,743,395,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46203,346516,219763,134805,0,0,0,0,0
119747,901658,598978,315316,0,0,0,0,494,18908,9056,0,0,0,0,149722,70682,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,240,1328,0,0,0,0,853,722,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,131,78,0,0,0,0,726,399,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51276,342808,219877,134862,0,0,0,0,0
136311,886974,600934,314214,0,0,0,0,505,21159,10126,0,0,0,0,147607,69435,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,248,1317,0,0,0,0,842,731,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,132,74,0,0,0,0,766,375,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57678,337248,219472,134465,0,0,0,0,0
156468,869389,599460,315257,0,0,0,0,609,24559,11680,0,0,0,0,144694,68006,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,248,1309,0,0,0,0,831,745,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,142,91,0,0,0,0,674,382,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66200,331482,219270,133986,0,0,0,0,0
181201,849378,599145,315388,0,0,0,0,660,28217,13565,0,0,0,0,141999,66807,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,251,1297,0,0,0,0,818,758,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,174,107,0,0,0,0,705,370,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75431,326349,220078,134293,0,0,0,0,0
206123,824883,600310,313999,0,0,0,0,757,32243,15239,0,0,0,0,137601,64149,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,259,1289,0,0,0,0,799,772,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,219,104,0,0,0,0,685,339,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84976,316291,218648,132414,0,0,0,0,0
235174,802196,599914,315987,0,0,0,0,823,36634,17515,0,0,0,0,134081,63120,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,264,1269,0,0,0,0,784,790,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,245,134,0,0,0,0,688,377,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96589,309397,219360,133487,0,0,0,0,0
