Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 64.00 degrees [A] RIGHT WP at 64.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95762,917014,654670,250297,0,0,0,0,393,16529,5820,0,0,0,0,165395,58230,0,0,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,230,1285,0,0,0,0,832,662,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,114,58,0,0,0,0,819,413,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41830,360484,229682,109259,0,0,0,0,0
94708,917742,657700,247618,0,0,0,0,378,16355,5574,0,0,0,0,166912,56789,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,236,1281,0,0,0,0,829,654,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,125,47,0,0,0,0,853,337,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41198,361879,230538,106313,0,0,0,0,0
97363,913699,656100,246789,0,0,0,0,389,16723,5636,0,0,0,0,167164,56390,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,232,1283,0,0,0,0,829,657,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124,51,0,0,0,0,913,333,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42093,361916,231005,106048,0,0,0,0,0
105383,909664,657556,245675,0,0,0,0,395,17969,6204,0,0,0,0,165965,56014,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,235,1274,0,0,0,0,825,659,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,125,56,0,0,0,0,812,350,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45229,359708,230821,105872,0,0,0,0,0
115764,900558,656527,246741,0,0,0,0,489,20644,7170,0,0,0,0,163873,55404,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,234,1271,0,0,0,0,817,670,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,149,76,0,0,0,0,828,318,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51728,355661,231268,106083,0,0,0,0,0
130057,886909,657504,246853,0,0,0,0,562,23527,7922,0,0,0,0,160464,54427,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,238,1262,0,0,0,0,806,677,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,166,67,0,0,0,0,826,312,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58441,348612,230191,105534,0,0,0,0,0
148471,870493,655617,247240,0,0,0,0,607,27165,9280,0,0,0,0,157864,53103,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,241,1248,0,0,0,0,792,687,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,166,75,0,0,0,0,758,304,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66859,342424,231219,105440,0,0,0,0,0
170966,850589,657320,247423,0,0,0,0,732,31533,10698,0,0,0,0,153596,51802,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,248,1242,0,0,0,0,776,703,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,201,88,0,0,0,0,706,272,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77072,334391,230763,104668,0,0,0,0,0
195659,829889,656637,247115,0,0,0,0,722,36055,12402,0,0,0,0,150147,50582,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,247,1224,0,0,0,0,760,717,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,227,94,0,0,0,0,715,322,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87699,327052,231898,105061,0,0,0,0,0
235143,794737,657534,247296,0,0,0,0,815,40802,14012,0,0,0,0,145139,48891,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,255,1215,0,0,0,0,745,735,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,242,97,0,0,0,0,700,308,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98967,316871,230834,104141,0,0,0,0,0
