Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 68.00 degrees [A] RIGHT WP at 68.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95322,911303,710923,181925,0,0,0,0,382,18028,4195,0,0,0,0,180455,41409,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,229,1222,0,0,0,0,792,604,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,130,41,0,0,0,0,904,242,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41899,374900,239692,78330,0,0,0,0,0
94385,912185,709678,182599,0,0,0,0,368,17519,4171,0,0,0,0,180266,41278,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,228,1216,0,0,0,0,795,601,0,0,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,129,46,0,0,0,0,870,260,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41210,374317,238654,78150,0,0,0,0,0
97824,910673,710664,181732,0,0,0,0,374,18312,4149,0,0,0,0,180008,41372,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,226,1209,0,0,0,0,792,606,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125,40,0,0,0,0,922,245,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42719,374116,239396,78002,0,0,0,0,0
106446,901089,709103,182074,0,0,0,0,406,19803,4642,0,0,0,0,177977,40943,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,230,1207,0,0,0,0,787,610,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,131,52,0,0,0,0,875,263,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46684,369674,238575,78098,0,0,0,0,0
118615,891790,709983,182056,0,0,0,0,501,22022,5217,0,0,0,0,177248,40794,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,235,1208,0,0,0,0,780,617,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,151,59,0,0,0,0,923,238,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51715,368034,240708,78427,0,0,0,0,0
135307,879341,710740,182228,0,0,0,0,516,25182,5939,0,0,0,0,174200,40217,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,231,1195,0,0,0,0,770,621,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,156,47,0,0,0,0,888,261,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58566,361931,240626,78490,0,0,0,0,0
156804,861408,709189,181935,0,0,0,0,629,29172,6831,0,0,0,0,170232,39272,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,235,1191,0,0,0,0,759,632,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,197,66,0,0,0,0,848,242,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67558,353680,240529,78019,0,0,0,0,0
179107,840000,708736,182130,0,0,0,0,619,33534,7837,0,0,0,0,167257,38284,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,234,1181,0,0,0,0,748,646,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,225,66,0,0,0,0,876,229,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77085,347714,241526,77910,0,0,0,0,0
204960,816265,711012,181411,0,0,0,0,758,38306,9086,0,0,0,0,162775,37075,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,240,1160,0,0,0,0,729,658,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,247,80,0,0,0,0,868,241,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87448,338707,241901,77412,0,0,0,0,0
232370,791719,708996,182249,0,0,0,0,792,43623,10177,0,0,0,0,156108,35978,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,244,1154,0,0,0,0,713,678,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,266,85,0,0,0,0,795,212,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98409,325480,240107,77532,0,0,0,0,0
258752,767865,710433,181537,0,0,0,0,885,48155,11323,0,0,0,0,154046,35524,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,248,1135,0,0,0,0,700,693,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,358,78,0,0,0,0,752,215,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109078,321220,243044,77966,0,0,0,0,0
288706,740820,708321,182232,0,0,0,0,900,53778,12646,0,0,0,0,147993,33787,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,255,1121,0,0,0,0,680,708,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,311,93,0,0,0,0,748,205,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120408,308435,242621,77283,0,0,0,0,0
318651,713242,710448,181563,0,0,0,0,1010,59854,13899,0,0,0,0,142459,32249,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,260,1104,0,0,0,0,661,730,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,366,125,0,0,0,0,781,212,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132879,297080,242917,76916,0,0,0,0,0
349407,684211,709668,181338,0,0,0,0,1078,65617,15046,0,0,0,0,137243,31105,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,265,1082,0,0,0,0,641,752,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,382,126,0,0,0,0,732,179,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144452,286771,243758,76731,0,0,0,0,0
