Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 70.00 degrees [A] RIGHT WP at 70.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94859,913201,733028,158591,0,0,0,0,363,18202,3785,0,0,0,0,186089,36868,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,227,1181,0,0,0,0,782,587,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,127,40,0,0,0,0,966,254,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41835,381796,243701,70101,0,0,0,0,0
94081,912203,737672,153614,0,0,0,0,355,18471,3471,0,0,0,0,187786,35031,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,225,1191,0,0,0,0,776,573,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134,41,0,0,0,0,905,226,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42109,383579,244549,66481,0,0,0,0,0
97291,911736,736499,153323,0,0,0,0,405,18921,3484,0,0,0,0,187668,34864,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,230,1193,0,0,0,0,778,577,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,32,0,0,0,0,869,208,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42908,383550,244734,66221,0,0,0,0,0
103865,905741,736555,153385,0,0,0,0,427,20726,3938,0,0,0,0,185796,34307,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,228,1186,0,0,0,0,773,581,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,159,53,0,0,0,0,1054,200,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47081,379345,244787,65778,0,0,0,0,0
119214,893473,737880,153071,0,0,0,0,483,23078,4339,0,0,0,0,184254,34125,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,230,1178,0,0,0,0,765,590,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,41,0,0,0,0,894,224,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52394,376013,245807,65902,0,0,0,0,0
135993,880607,739094,153609,0,0,0,0,558,26591,5044,0,0,0,0,181827,33762,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,228,1176,0,0,0,0,755,594,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,165,48,0,0,0,0,911,202,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60037,371308,247118,66230,0,0,0,0,0
156082,862292,737625,153555,0,0,0,0,576,30713,5889,0,0,0,0,177695,33129,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,235,1161,0,0,0,0,744,609,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,172,61,0,0,0,0,875,207,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68750,363064,247038,66580,0,0,0,0,0
180671,840379,738621,153381,0,0,0,0,654,35335,6650,0,0,0,0,174028,32260,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,235,1148,0,0,0,0,729,619,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,205,55,0,0,0,0,842,214,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78842,355033,247916,66297,0,0,0,0,0
205725,818220,738701,152930,0,0,0,0,726,40389,7630,0,0,0,0,168780,31259,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,238,1131,0,0,0,0,716,638,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,240,63,0,0,0,0,828,208,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89698,344590,247859,65519,0,0,0,0,0
234000,793291,736691,153394,0,0,0,0,794,46060,8746,0,0,0,0,163932,30348,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,241,1119,0,0,0,0,696,651,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,277,60,0,0,0,0,834,199,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101129,334787,249172,65861,0,0,0,0,0
