Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 72.00 degrees [A] RIGHT WP at 72.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95630,917935,764004,127360,0,0,0,0,363,19016,2980,0,0,0,0,195301,28855,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,226,1157,0,0,0,0,765,549,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,132,33,0,0,0,0,923,186,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42547,393528,249551,54982,0,0,0,0,0
95137,917686,763451,127370,0,0,0,0,399,19119,2856,0,0,0,0,195593,29189,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,226,1162,0,0,0,0,767,552,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,136,40,0,0,0,0,965,199,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42427,394481,250252,55489,0,0,0,0,0
98332,913784,763912,126991,0,0,0,0,404,19599,2937,0,0,0,0,195379,28943,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,228,1153,0,0,0,0,764,547,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,31,0,0,0,0,952,190,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44034,393357,250320,55179,0,0,0,0,0
106304,908599,764624,127649,0,0,0,0,445,21424,3261,0,0,0,0,193931,28893,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,229,1143,0,0,0,0,758,555,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,154,37,0,0,0,0,915,189,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47696,390777,251142,55355,0,0,0,0,0
119296,897040,764989,128104,0,0,0,0,501,23758,3586,0,0,0,0,192386,28599,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,225,1156,0,0,0,0,754,563,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,169,47,0,0,0,0,984,178,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52728,387019,252127,55768,0,0,0,0,0
135662,880305,763713,127745,0,0,0,0,536,26997,4213,0,0,0,0,188977,28116,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,230,1146,0,0,0,0,743,573,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,169,50,0,0,0,0,901,177,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59984,380194,251639,55594,0,0,0,0,0
155530,865474,764928,127613,0,0,0,0,595,31116,4744,0,0,0,0,186364,27879,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,231,1130,0,0,0,0,730,580,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,206,46,0,0,0,0,896,179,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68622,375184,253905,55457,0,0,0,0,0
178177,845806,765445,127104,0,0,0,0,638,35994,5422,0,0,0,0,181601,26876,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,232,1115,0,0,0,0,719,590,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,233,53,0,0,0,0,866,190,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78110,365264,254165,55244,0,0,0,0,0
206391,822445,764300,127075,0,0,0,0,758,41408,6158,0,0,0,0,176601,25934,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,235,1112,0,0,0,0,703,607,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,280,57,0,0,0,0,875,176,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89651,354849,254415,54682,0,0,0,0,0
233206,797888,764904,127408,0,0,0,0,858,46852,7013,0,0,0,0,171773,25574,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,240,1094,0,0,0,0,687,629,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,330,59,0,0,0,0,819,178,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077,345161,255760,55311,0,0,0,0,0
