Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 74.00 degrees [A] RIGHT WP at 74.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95172,918098,785061,103942,0,0,0,0,401,19893,2373,0,0,0,0,202295,23761,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,227,1140,0,0,0,0,753,528,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,39,0,0,0,0,991,174,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43450,403266,254811,45571,0,0,0,0,0
94787,918175,786189,104238,0,0,0,0,394,19567,2358,0,0,0,0,201799,23808,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,227,1119,0,0,0,0,754,529,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,131,25,0,0,0,0,986,166,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42660,402555,253861,45687,0,0,0,0,0
98526,915804,785372,103725,0,0,0,0,389,20529,2478,0,0,0,0,201586,23592,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,226,1133,0,0,0,0,751,526,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,143,28,0,0,0,0,987,168,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44595,401858,254763,45446,0,0,0,0,0
107028,909552,785346,103696,0,0,0,0,449,22193,2737,0,0,0,0,200373,23479,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,226,1119,0,0,0,0,749,534,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,158,30,0,0,0,0,1018,155,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48101,399323,255753,45393,0,0,0,0,0
120075,896248,785907,103549,0,0,0,0,480,24845,3048,0,0,0,0,197225,23182,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,227,1117,0,0,0,0,740,540,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,190,35,0,0,0,0,1014,168,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53936,392592,255444,45327,0,0,0,0,0
136350,883680,786525,103466,0,0,0,0,532,28448,3346,0,0,0,0,195293,22954,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,228,1107,0,0,0,0,731,547,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,164,42,0,0,0,0,965,163,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60934,388839,257331,45450,0,0,0,0,0
156807,866007,787894,104129,0,0,0,0,532,32632,3949,0,0,0,0,191243,22680,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,229,1109,0,0,0,0,720,556,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,224,38,0,0,0,0,933,147,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69823,380562,257988,45585,0,0,0,0,0
180122,843909,787457,103673,0,0,0,0,713,37311,4540,0,0,0,0,186393,21870,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,230,1094,0,0,0,0,703,566,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,230,45,0,0,0,0,926,136,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79846,370521,257713,45175,0,0,0,0,0
205900,820856,786159,103718,0,0,0,0,757,43055,5203,0,0,0,0,180923,21257,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,235,1073,0,0,0,0,687,585,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,257,55,0,0,0,0,882,129,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90909,359478,258958,45134,0,0,0,0,0
235452,798867,787070,104127,0,0,0,0,801,48755,5923,0,0,0,0,176174,20672,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,236,1067,0,0,0,0,674,598,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,306,54,0,0,0,0,910,138,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102927,349609,259925,45380,0,0,0,0,0
