Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 78.00 degrees [A] RIGHT WP at 78.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94748,914573,812648,67602,0,0,0,0,379,20485,1508,0,0,0,0,208879,15339,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,229,1080,0,0,0,0,736,492,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,136,21,0,0,0,0,1031,111,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43110,410400,257131,29631,0,0,0,0,0
94468,915247,815147,66938,0,0,0,0,357,20374,1439,0,0,0,0,209415,15273,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,227,1082,0,0,0,0,734,488,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,135,22,0,0,0,0,1009,111,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43248,410965,257698,29268,0,0,0,0,0
97850,914324,813599,66835,0,0,0,0,394,21153,1555,0,0,0,0,208420,15244,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,228,1080,0,0,0,0,734,485,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,25,0,0,0,0,1009,105,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44633,409279,257491,29382,0,0,0,0,0
106181,905652,813391,67565,0,0,0,0,438,22708,1728,0,0,0,0,206931,15228,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,227,1076,0,0,0,0,729,496,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,157,25,0,0,0,0,1046,107,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48089,406128,257848,29667,0,0,0,0,0
117415,896180,814904,66992,0,0,0,0,427,25207,1877,0,0,0,0,205504,14960,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,229,1074,0,0,0,0,724,504,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,190,26,0,0,0,0,1012,118,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52987,402849,259155,29660,0,0,0,0,0
133083,881184,813033,66813,0,0,0,0,476,28285,2117,0,0,0,0,201917,14714,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,228,1070,0,0,0,0,715,508,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,190,31,0,0,0,0,989,106,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59434,395361,259152,29215,0,0,0,0,0
152938,865447,813040,66743,0,0,0,0,545,32669,2396,0,0,0,0,197648,14530,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,227,1047,0,0,0,0,704,514,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,234,31,0,0,0,0,967,103,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68200,386673,259654,29414,0,0,0,0,0
172729,848331,813349,67098,0,0,0,0,679,36856,2749,0,0,0,0,195580,13957,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,230,1046,0,0,0,0,693,527,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,277,36,0,0,0,0,970,109,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76792,381938,262212,29077,0,0,0,0,0
197402,827133,811861,67140,0,0,0,0,758,44604,3386,0,0,0,0,187280,13468,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,235,1030,0,0,0,0,671,542,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,254,43,0,0,0,0,972,103,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92210,365238,262390,29145,0,0,0,0,0
224232,803732,813479,67180,0,0,0,0,752,51062,3790,0,0,0,0,182232,13151,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,236,1019,0,0,0,0,655,557,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,300,39,0,0,0,0,916,105,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104710,354644,264832,29325,0,0,0,0,0
