Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 80.00 degrees [A] RIGHT WP at 80.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95808,917587,821195,57014,0,0,0,0,376,20885,1344,0,0,0,0,211009,13108,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,229,1065,0,0,0,0,733,477,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,150,26,0,0,0,0,1246,110,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44052,412681,258541,25439,0,0,0,0,0
94519,914159,822303,55764,0,0,0,0,384,20485,1196,0,0,0,0,211726,12415,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,226,1057,0,0,0,0,731,477,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,148,19,0,0,0,0,1017,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43245,413421,258098,24307,0,0,0,0,0
98155,913935,823494,55538,0,0,0,0,397,21368,1282,0,0,0,0,212711,12514,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,228,1059,0,0,0,0,730,479,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,18,0,0,0,0,1037,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45017,415305,260517,24472,0,0,0,0,0
104846,907470,822422,55609,0,0,0,0,440,23160,1396,0,0,0,0,209316,12432,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,225,1063,0,0,0,0,725,479,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,171,20,0,0,0,0,1000,100,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48603,408846,258923,24336,0,0,0,0,0
114307,899918,821824,55703,0,0,0,0,478,26168,1575,0,0,0,0,206833,12278,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,230,1049,0,0,0,0,720,485,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,166,26,0,0,0,0,1007,95,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54547,403447,260129,24370,0,0,0,0,0
128985,886156,822162,55613,0,0,0,0,519,29694,1771,0,0,0,0,203478,11998,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,229,1045,0,0,0,0,707,495,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,201,22,0,0,0,0,1001,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61903,396076,260669,24196,0,0,0,0,0
156236,861402,822733,55838,0,0,0,0,599,34152,2093,0,0,0,0,199748,12144,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,228,1035,0,0,0,0,696,508,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,230,30,0,0,0,0,990,89,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70806,389040,262214,24612,0,0,0,0,0
181022,842572,822388,55785,0,0,0,0,665,39678,2361,0,0,0,0,194571,11404,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,230,1038,0,0,0,0,684,515,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,259,31,0,0,0,0,1034,86,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81468,378190,262736,24099,0,0,0,0,0
206064,818297,821535,55718,0,0,0,0,675,45353,2771,0,0,0,0,189972,11145,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,233,1000,0,0,0,0,667,537,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,267,38,0,0,0,0,965,86,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92961,368145,264841,24132,0,0,0,0,0
234156,793665,821783,55473,0,0,0,0,814,51234,3137,0,0,0,0,184290,10827,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,233,1012,0,0,0,0,652,548,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,303,31,0,0,0,0,996,76,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104827,356802,265586,24035,0,0,0,0,0
