Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 82.00 degrees [A] RIGHT WP at 82.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96158,921676,830517,52181,0,0,0,0,401,20930,1117,0,0,0,0,216398,10946,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,229,1060,0,0,0,0,728,462,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,18,0,0,0,0,1084,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43954,421484,262883,21420,0,0,0,0,0
95611,921970,833360,49494,0,0,0,0,394,21259,1055,0,0,0,0,216458,11312,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,228,1054,0,0,0,0,729,470,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,20,0,0,0,0,1065,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44376,422206,263292,21952,0,0,0,0,0
98900,918887,835067,49386,0,0,0,0,415,21923,1093,0,0,0,0,214994,11099,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,229,1050,0,0,0,0,728,470,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,154,19,0,0,0,0,1021,89,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45557,419091,262675,21702,0,0,0,0,0
107577,912109,833716,49288,0,0,0,0,405,23485,1222,0,0,0,0,213749,11167,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,226,1055,0,0,0,0,724,478,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,147,23,0,0,0,0,1017,99,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49372,415944,263412,21780,0,0,0,0,0
120202,900924,833362,49226,0,0,0,0,487,26609,1435,0,0,0,0,211389,10829,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,226,1032,0,0,0,0,715,485,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,187,22,0,0,0,0,1065,88,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55204,411272,264484,21662,0,0,0,0,0
137114,886566,833530,48952,0,0,0,0,528,30192,1627,0,0,0,0,208096,10591,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,231,1040,0,0,0,0,705,489,0,0,0,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,181,23,0,0,0,0,963,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62424,404459,265109,21501,0,0,0,0,0
157541,869049,834268,49024,0,0,0,0,583,34971,1846,0,0,0,0,203462,10562,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,229,1033,0,0,0,0,695,491,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,212,25,0,0,0,0,987,85,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72020,394700,266172,21749,0,0,0,0,0
181497,847488,834288,49061,0,0,0,0,711,40187,2129,0,0,0,0,198894,10149,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,232,1003,0,0,0,0,679,501,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,236,27,0,0,0,0,997,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82322,385532,267228,21397,0,0,0,0,0
207315,823680,834205,48996,0,0,0,0,759,46230,2472,0,0,0,0,194894,9928,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,233,995,0,0,0,0,664,521,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,260,30,0,0,0,0,929,84,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94216,376862,270473,21649,0,0,0,0,0
234789,800314,833930,48924,0,0,0,0,832,52297,2622,0,0,0,0,188454,9719,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,234,976,0,0,0,0,649,537,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,306,31,0,0,0,0,882,73,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105471,364495,270642,21360,0,0,0,0,0
265473,774438,834217,49178,0,0,0,0,918,58889,3130,0,0,0,0,182671,9439,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,237,966,0,0,0,0,633,547,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,341,34,0,0,0,0,908,69,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118743,352479,272694,21578,0,0,0,0,0
295808,745118,834323,49572,0,0,0,0,951,65816,3457,0,0,0,0,175494,9109,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,240,951,0,0,0,0,613,569,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,363,35,0,0,0,0,950,65,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131926,338349,272807,21674,0,0,0,0,0
327806,716661,833975,49204,0,0,0,0,1065,73456,3904,0,0,0,0,168873,8732,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,244,933,0,0,0,0,596,589,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,440,51,0,0,0,0,861,72,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145738,325982,275047,21672,0,0,0,0,0
360132,688097,837595,48989,0,0,0,0,1116,80223,4117,0,0,0,0,162756,8165,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,250,917,0,0,0,0,575,603,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,473,38,0,0,0,0,788,70,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158681,313086,276239,21388,0,0,0,0,0
389289,659194,835747,49006,0,0,0,0,1102,86761,4528,0,0,0,0,155895,8081,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,255,910,0,0,0,0,560,613,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,484,48,0,0,0,0,796,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171287,299809,276644,21654,0,0,0,0,0
419124,634093,835571,49113,0,0,0,0,1156,93263,4911,0,0,0,0,149861,7577,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,258,887,0,0,0,0,544,639,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,506,50,0,0,0,0,783,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183560,288254,277296,21349,0,0,0,0,0
