Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 84.00 degrees [A] RIGHT WP at 84.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96253,921209,833368,47295,0,0,0,0,386,21220,1109,0,0,0,0,216023,10630,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,229,1044,0,0,0,0,728,459,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,143,19,0,0,0,0,1058,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44449,420802,262432,20689,0,0,0,0,0
94415,921202,832644,47267,0,0,0,0,412,20882,1023,0,0,0,0,216498,10738,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,228,1069,0,0,0,0,730,464,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,140,18,0,0,0,0,1080,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43577,422078,262557,20890,0,0,0,0,0
98214,919889,833469,47170,0,0,0,0,386,21423,1111,0,0,0,0,215741,10511,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,229,1064,0,0,0,0,729,459,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,147,21,0,0,0,0,998,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44945,419792,262487,20706,0,0,0,0,0
107439,911722,834337,47098,0,0,0,0,437,23738,1247,0,0,0,0,213683,10559,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,226,1048,0,0,0,0,721,465,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,167,18,0,0,0,0,1000,92,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49483,415790,263268,20821,0,0,0,0,0
120364,900760,832267,47397,0,0,0,0,497,26569,1387,0,0,0,0,210984,10419,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,227,1051,0,0,0,0,715,475,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,155,18,0,0,0,0,1033,78,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55182,410132,263712,20938,0,0,0,0,0
136706,885304,832379,46689,0,0,0,0,530,30208,1531,0,0,0,0,206433,9949,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,230,1057,0,0,0,0,706,477,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,22,0,0,0,0,976,85,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62145,401013,262982,20203,0,0,0,0,0
157319,869945,834466,47390,0,0,0,0,623,34626,1824,0,0,0,0,203687,9915,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,230,1004,0,0,0,0,697,495,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,219,29,0,0,0,0,1072,81,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71177,395012,265439,20697,0,0,0,0,0
180639,848962,832123,46562,0,0,0,0,687,39857,1978,0,0,0,0,199364,9606,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,231,1014,0,0,0,0,683,498,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,255,23,0,0,0,0,1025,74,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81574,386110,266920,20113,0,0,0,0,0
205224,824226,832914,46987,0,0,0,0,756,45553,2330,0,0,0,0,193374,9464,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,231,997,0,0,0,0,666,518,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,280,29,0,0,0,0,1103,86,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92519,374151,267510,20607,0,0,0,0,0
233303,802577,832816,47082,0,0,0,0,815,51430,2539,0,0,0,0,187901,9336,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,236,988,0,0,0,0,653,530,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,316,33,0,0,0,0,1003,100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103697,363073,268878,20683,0,0,0,0,0
