Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 86.00 degrees [A] RIGHT WP at 86.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95684,917398,826410,48379,0,0,0,0,391,20930,1116,0,0,0,0,212929,10730,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,227,1069,0,0,0,0,729,472,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,165,19,0,0,0,0,1023,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43672,415271,258925,20807,0,0,0,0,0
95272,918946,824909,49787,0,0,0,0,389,20780,1174,0,0,0,0,213144,11167,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,226,1044,0,0,0,0,731,477,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,142,16,0,0,0,0,1013,95,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43530,415909,259237,21693,0,0,0,0,0
97027,915155,824712,50278,0,0,0,0,392,21561,1177,0,0,0,0,212140,11286,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,226,1062,0,0,0,0,728,477,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,152,17,0,0,0,0,1049,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44972,413958,259300,21827,0,0,0,0,0
103058,913455,824558,50069,0,0,0,0,462,23440,1236,0,0,0,0,211791,11192,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,227,1053,0,0,0,0,725,471,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,149,26,0,0,0,0,1015,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49134,412507,261230,21870,0,0,0,0,0
119291,897347,824302,50258,0,0,0,0,485,26219,1442,0,0,0,0,208505,10989,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,228,1038,0,0,0,0,719,479,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,154,19,0,0,0,0,1019,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54725,405876,260817,21891,0,0,0,0,0
135795,882539,825978,49992,0,0,0,0,546,30000,1590,0,0,0,0,204743,10659,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,230,1037,0,0,0,0,706,491,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,193,24,0,0,0,0,1027,76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62073,397514,261720,21716,0,0,0,0,0
156964,864354,824944,49825,0,0,0,0,596,34464,1747,0,0,0,0,200722,10548,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,231,1037,0,0,0,0,695,503,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,217,26,0,0,0,0,982,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70976,389387,262637,21695,0,0,0,0,0
180267,844091,825693,49987,0,0,0,0,685,39511,2196,0,0,0,0,196388,10283,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,229,1025,0,0,0,0,680,508,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,222,30,0,0,0,0,952,83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81325,380409,264126,21653,0,0,0,0,0
207265,821834,826019,50100,0,0,0,0,737,45627,2439,0,0,0,0,190440,10047,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,233,1006,0,0,0,0,665,529,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,272,34,0,0,0,0,968,74,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92974,368342,265165,21742,0,0,0,0,0
235125,795494,824572,49729,0,0,0,0,870,52225,2730,0,0,0,0,184501,9829,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,234,1000,0,0,0,0,649,538,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,289,28,0,0,0,0,901,77,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105748,356882,266469,21700,0,0,0,0,0
264084,768589,824245,50186,0,0,0,0,906,58611,3090,0,0,0,0,178958,9385,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,236,981,0,0,0,0,632,559,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,326,35,0,0,0,0,905,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117792,345727,268084,21548,0,0,0,0,0
296491,739394,823737,50245,0,0,0,0,1046,65287,3530,0,0,0,0,171468,9064,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,242,958,0,0,0,0,613,567,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,389,39,0,0,0,0,811,73,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131066,330823,267936,21658,0,0,0,0,0
328486,710966,824846,49830,0,0,0,0,1069,72835,3974,0,0,0,0,164361,8452,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,246,940,0,0,0,0,595,594,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,404,42,0,0,0,0,796,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144871,316819,269248,21449,0,0,0,0,0
358993,682175,823506,50140,0,0,0,0,1089,78990,4367,0,0,0,0,159469,8210,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,249,925,0,0,0,0,576,610,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,413,50,0,0,0,0,808,74,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157427,306619,271011,21589,0,0,0,0,0
389330,652881,824450,50437,0,0,0,0,1188,86268,4688,0,0,0,0,152236,7985,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,255,909,0,0,0,0,556,628,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,522,46,0,0,0,0,760,68,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170594,293093,271873,21808,0,0,0,0,0
418698,628054,824223,49532,0,0,0,0,1223,93054,4973,0,0,0,0,146472,7736,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,260,897,0,0,0,0,543,646,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,492,58,0,0,0,0,783,60,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183573,281932,273479,21554,0,0,0,0,0
446242,601354,825416,49774,0,0,0,0,1190,98339,5392,0,0,0,0,140362,7344,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,266,874,0,0,0,0,523,669,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,540,62,0,0,0,0,693,76,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193321,269791,273471,21559,0,0,0,0,0
469657,579170,826531,49708,0,0,0,0,1221,103764,5629,0,0,0,0,135924,7120,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,272,864,0,0,0,0,513,684,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,575,46,0,0,0,0,714,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203573,261182,274694,21858,0,0,0,0,0
490423,559051,823615,50025,0,0,0,0,1168,108136,5879,0,0,0,0,129689,6941,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,276,854,0,0,0,0,500,696,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,525,58,0,0,0,0,665,64,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211731,249579,272688,21743,0,0,0,0,0
506085,544403,824118,50012,0,0,0,0,1235,112338,5945,0,0,0,0,126976,6734,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,279,846,0,0,0,0,494,711,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,570,52,0,0,0,0,671,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218875,244899,274387,21746,0,0,0,0,0
520286,530913,826428,49486,0,0,0,0,1246,114551,6215,0,0,0,0,123918,6427,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,283,837,0,0,0,0,485,716,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,637,61,0,0,0,0,652,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223254,238454,273993,21537,0,0,0,0,0
530462,520920,823443,50109,0,0,0,0,1255,117294,6332,0,0,0,0,121601,6483,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,287,828,0,0,0,0,479,721,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,628,63,0,0,0,0,629,60,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228823,234382,274298,21621,0,0,0,0,0
537362,512936,823698,50036,0,0,0,0,1219,119015,6348,0,0,0,0,119520,6334,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,287,824,0,0,0,0,474,729,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,602,63,0,0,0,0,579,49,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231886,230084,273953,21643,0,0,0,0,0
541030,510151,824315,49652,0,0,0,0,1200,119381,6431,0,0,0,0,118669,6188,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,289,819,0,0,0,0,473,733,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,615,64,0,0,0,0,620,58,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232731,228478,273162,21403,0,0,0,0,0
539366,511925,823952,49737,0,0,0,0,1242,118935,6485,0,0,0,0,118719,6369,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,288,818,0,0,0,0,472,728,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,596,77,0,0,0,0,615,65,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232147,228494,273221,21661,0,0,0,0,0
534996,517783,824033,49985,0,0,0,0,1153,117415,6286,0,0,0,0,120974,6391,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,287,823,0,0,0,0,476,721,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,629,60,0,0,0,0,637,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229354,232617,273503,21353,0,0,0,0,0
524209,524873,822233,49822,0,0,0,0,1221,114725,6133,0,0,0,0,122929,6387,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,282,841,0,0,0,0,482,719,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,601,49,0,0,0,0,610,50,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223914,236631,272678,21182,0,0,0,0,0
511337,537000,824353,50054,0,0,0,0,1201,111841,5946,0,0,0,0,126477,6654,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,281,844,0,0,0,0,489,707,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,608,53,0,0,0,0,634,53,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218645,243198,273269,21501,0,0,0,0,0
487229,558900,823982,49757,0,0,0,0,1275,107217,5816,0,0,0,0,129565,6720,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,277,847,0,0,0,0,500,693,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,552,53,0,0,0,0,666,66,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209989,249597,271042,21393,0,0,0,0,0
466552,578721,824083,49773,0,0,0,0,1230,103035,5512,0,0,0,0,134449,7088,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,271,849,0,0,0,0,511,678,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,603,65,0,0,0,0,765,54,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201991,258719,271711,21557,0,0,0,0,0
440808,603539,824542,49911,0,0,0,0,1241,97517,5260,0,0,0,0,140454,7334,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,266,883,0,0,0,0,527,666,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,524,50,0,0,0,0,705,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191957,270276,271902,21515,0,0,0,0,0
415472,627525,822913,49974,0,0,0,0,1112,92141,4962,0,0,0,0,145347,7617,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,264,884,0,0,0,0,541,652,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,489,52,0,0,0,0,754,68,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181396,279897,270912,21570,0,0,0,0,0
386907,651775,822500,49815,0,0,0,0,1109,85951,4768,0,0,0,0,151409,8045,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,256,894,0,0,0,0,556,622,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,456,56,0,0,0,0,732,64,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170215,291547,270535,21802,0,0,0,0,0
356115,681910,822578,49728,0,0,0,0,1128,78761,4295,0,0,0,0,157724,8213,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,253,928,0,0,0,0,574,615,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,488,43,0,0,0,0,814,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156842,303468,268789,21532,0,0,0,0,0
