Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 88.00 degrees [A] RIGHT WP at 88.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.250V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94693,913623,811500,57925,0,0,0,0,363,20372,1297,0,0,0,0,207513,12859,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,228,1064,0,0,0,0,734,488,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,158,21,0,0,0,0,1011,116,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42939,405971,253907,24881,0,0,0,0,0
94324,913896,810643,57572,0,0,0,0,406,20400,1251,0,0,0,0,208050,12870,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,232,1079,0,0,0,0,736,483,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,146,23,0,0,0,0,1039,114,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42899,406967,254578,24927,0,0,0,0,0
97981,912237,811610,57886,0,0,0,0,390,21060,1404,0,0,0,0,208451,13025,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,229,1065,0,0,0,0,733,479,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,138,19,0,0,0,0,1018,104,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44417,407905,255881,25295,0,0,0,0,0
106215,904752,812229,57574,0,0,0,0,435,22667,1461,0,0,0,0,206997,12776,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,228,1064,0,0,0,0,728,489,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,156,25,0,0,0,0,1031,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47898,404453,256025,25062,0,0,0,0,0
118457,894643,811887,56947,0,0,0,0,483,25366,1627,0,0,0,0,205134,12356,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,228,1064,0,0,0,0,723,494,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,171,20,0,0,0,0,1023,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53347,400488,256924,24601,0,0,0,0,0
134791,881212,812695,57582,0,0,0,0,544,29148,1852,0,0,0,0,202613,12395,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,227,1062,0,0,0,0,712,506,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,194,25,0,0,0,0,1023,98,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60761,395196,259034,25063,0,0,0,0,0
153987,863207,812136,57391,0,0,0,0,542,33145,2129,0,0,0,0,198195,12360,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,230,1033,0,0,0,0,700,508,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,236,33,0,0,0,0,982,90,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68683,386235,259575,25164,0,0,0,0,0
177105,841722,811823,57333,0,0,0,0,645,38382,2399,0,0,0,0,193750,11943,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,231,1052,0,0,0,0,686,525,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,249,29,0,0,0,0,948,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79185,376486,261039,25107,0,0,0,0,0
202347,820273,810052,57891,0,0,0,0,732,43364,2765,0,0,0,0,187676,11665,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,238,1033,0,0,0,0,673,541,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,270,35,0,0,0,0,930,91,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88904,364939,260150,24989,0,0,0,0,0
229105,797046,811138,57438,0,0,0,0,845,49433,3054,0,0,0,0,183019,11439,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,236,1003,0,0,0,0,659,548,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,302,31,0,0,0,0,959,102,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100719,355558,262420,25087,0,0,0,0,0
252499,776024,811733,57863,0,0,0,0,830,57375,3609,0,0,0,0,175625,10942,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,239,992,0,0,0,0,636,569,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,309,43,0,0,0,0,842,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116260,340471,263771,25050,0,0,0,0,0
281749,748713,810199,57751,0,0,0,0,958,64602,4114,0,0,0,0,169115,10413,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,243,966,0,0,0,0,617,584,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,350,50,0,0,0,0,821,86,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130091,327774,265172,24882,0,0,0,0,0
