Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 0.00 degrees [A] RIGHT WP at 0.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95220,910309,865857,53517,0,0,0,0,438,20516,1132,0,0,0,0,210691,11093,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,226,1069,0,0,0,0,713,465,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,20,0,0,0,0,1038,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43235,409683,256664,22476,0,0,0,0,0
94248,911269,866032,53097,0,0,0,0,393,20355,1110,0,0,0,0,209953,10889,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,227,1050,0,0,0,0,714,469,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,15,0,0,0,0,1004,77,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42673,408129,255556,22204,0,0,0,0,0
97267,909831,866939,53089,0,0,0,0,370,21090,1107,0,0,0,0,210410,11040,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,229,1049,0,0,0,0,712,464,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,149,20,0,0,0,0,1057,84,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43930,409106,257313,22170,0,0,0,0,0
106036,902017,866913,53288,0,0,0,0,371,22912,1287,0,0,0,0,207786,10924,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,227,1068,0,0,0,0,708,474,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,176,23,0,0,0,0,965,85,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47737,403611,256564,22350,0,0,0,0,0
117742,890976,866651,52905,0,0,0,0,445,25164,1366,0,0,0,0,205861,10830,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,225,1051,0,0,0,0,700,481,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,170,20,0,0,0,0,1043,86,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52493,399417,257312,22275,0,0,0,0,0
135495,876849,867427,53424,0,0,0,0,569,28971,1592,0,0,0,0,202648,10634,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,226,1050,0,0,0,0,690,483,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,164,27,0,0,0,0,984,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60201,392591,258543,22391,0,0,0,0,0
154796,859690,866238,52433,0,0,0,0,605,33110,1744,0,0,0,0,198872,10446,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,232,1037,0,0,0,0,678,495,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,217,25,0,0,0,0,986,79,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68672,384503,259508,22152,0,0,0,0,0
176244,840769,865308,53109,0,0,0,0,671,37480,1997,0,0,0,0,194311,10192,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,229,1002,0,0,0,0,664,507,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,235,22,0,0,0,0,958,84,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77428,374901,259883,22184,0,0,0,0,0
200907,818059,865051,53223,0,0,0,0,742,43331,2406,0,0,0,0,189917,10110,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,229,1014,0,0,0,0,652,521,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,268,33,0,0,0,0,964,86,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88702,366176,262669,22354,0,0,0,0,0
228935,793713,865076,52909,0,0,0,0,756,49084,2602,0,0,0,0,183946,9574,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,231,1005,0,0,0,0,635,538,0,0,0,0,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,323,37,0,0,0,0,889,76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99751,353772,262950,21849,0,0,0,0,0
