Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 2.00 degrees [A] RIGHT WP at 2.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95602,911064,861666,58055,0,0,0,0,398,20327,1223,0,0,0,0,209514,11876,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,227,1050,0,0,0,0,713,478,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,136,16,0,0,0,0,993,95,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42855,407860,255751,24001,0,0,0,0,0
94538,911346,861102,58957,0,0,0,0,382,20240,1198,0,0,0,0,209203,12409,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,232,1069,0,0,0,0,714,475,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,131,19,0,0,0,0,1124,90,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42757,407348,255812,24861,0,0,0,0,0
96889,910338,860955,59154,0,0,0,0,391,20901,1222,0,0,0,0,209944,12437,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,226,1061,0,0,0,0,713,477,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,132,19,0,0,0,0,975,96,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43894,408891,257547,24967,0,0,0,0,0
104591,905210,860265,59345,0,0,0,0,430,22275,1379,0,0,0,0,207768,12336,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,228,1052,0,0,0,0,710,474,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,167,22,0,0,0,0,973,103,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47021,404541,256640,25016,0,0,0,0,0
116304,892928,860731,58804,0,0,0,0,432,24708,1438,0,0,0,0,204801,11990,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,229,1073,0,0,0,0,703,488,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,192,23,0,0,0,0,1065,88,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51672,398091,256283,24595,0,0,0,0,0
131346,881134,860757,59156,0,0,0,0,488,28087,1642,0,0,0,0,202489,11987,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,228,1041,0,0,0,0,694,489,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,218,23,0,0,0,0,998,103,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58358,393467,258027,24752,0,0,0,0,0
150393,862914,861659,59114,0,0,0,0,605,33532,2071,0,0,0,0,197605,11702,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,226,1033,0,0,0,0,679,504,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,216,26,0,0,0,0,1129,90,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69485,383130,259633,24775,0,0,0,0,0
169669,847137,857937,58850,0,0,0,0,687,39026,2346,0,0,0,0,193353,11141,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,230,1022,0,0,0,0,664,515,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,290,24,0,0,0,0,971,78,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80182,373959,261405,24618,0,0,0,0,0
194663,825220,861136,59213,0,0,0,0,727,44313,2697,0,0,0,0,187539,10971,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,231,1017,0,0,0,0,650,530,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,278,32,0,0,0,0,920,96,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90607,362132,261742,24682,0,0,0,0,0
233726,790941,860155,58759,0,0,0,0,915,50710,3052,0,0,0,0,182549,10820,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,233,1006,0,0,0,0,635,545,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,321,37,0,0,0,0,890,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103418,352144,264231,24705,0,0,0,0,0
