Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 6.00 degrees [A] RIGHT WP at 6.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95269,912599,836563,85599,0,0,0,0,402,19758,1828,0,0,0,0,204739,18257,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,226,1093,0,0,0,0,728,507,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139,27,0,0,0,0,998,131,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42548,402731,254380,36127,0,0,0,0,0
94416,914793,835988,86610,0,0,0,0,342,19704,1778,0,0,0,0,204133,18512,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,219,1101,0,0,0,0,732,500,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,22,0,0,0,0,950,147,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42146,401917,253733,36496,0,0,0,0,0
97866,913115,836202,86666,0,0,0,0,404,20367,1892,0,0,0,0,204505,18299,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,227,1103,0,0,0,0,729,504,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,140,24,0,0,0,0,970,130,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43631,402590,254537,36472,0,0,0,0,0
106545,904970,835022,86701,0,0,0,0,443,22262,2098,0,0,0,0,202206,18285,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,227,1113,0,0,0,0,725,511,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,145,31,0,0,0,0,1008,126,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47352,398281,254484,36535,0,0,0,0,0
118467,894100,837275,86193,0,0,0,0,490,24773,2365,0,0,0,0,200101,17919,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,225,1088,0,0,0,0,718,514,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,154,34,0,0,0,0,935,139,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52899,393286,255222,36417,0,0,0,0,0
135464,880275,834483,86054,0,0,0,0,560,28452,2637,0,0,0,0,196630,17655,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,227,1077,0,0,0,0,709,518,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,182,34,0,0,0,0,1027,129,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59921,386787,255559,36267,0,0,0,0,0
156038,862539,836722,85765,0,0,0,0,615,32609,2989,0,0,0,0,193778,17147,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,228,1070,0,0,0,0,696,534,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,213,34,0,0,0,0,976,144,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69076,379822,257593,35671,0,0,0,0,0
179799,842228,837569,86057,0,0,0,0,667,37430,3510,0,0,0,0,188263,16946,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,228,1063,0,0,0,0,681,547,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,228,46,0,0,0,0,962,118,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78997,368404,257604,36176,0,0,0,0,0
204623,818921,835093,85679,0,0,0,0,754,43080,3818,0,0,0,0,183341,16331,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,229,1053,0,0,0,0,666,557,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,272,44,0,0,0,0,874,126,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89374,358908,258766,35682,0,0,0,0,0
232335,793490,836816,86192,0,0,0,0,773,48561,4396,0,0,0,0,177918,15964,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,234,1040,0,0,0,0,648,570,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,269,44,0,0,0,0,861,117,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101001,347239,259430,35840,0,0,0,0,0
