Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 8.00 degrees [A] RIGHT WP at 8.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95851,915491,818289,106377,0,0,0,0,358,19508,2396,0,0,0,0,201185,22664,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,223,1111,0,0,0,0,740,522,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,133,33,0,0,0,0,1002,164,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42682,399006,252897,44799,0,0,0,0,0
94802,917724,818729,106796,0,0,0,0,380,19493,2361,0,0,0,0,201393,22980,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,225,1125,0,0,0,0,742,521,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,133,27,0,0,0,0,961,145,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42672,399571,253323,45225,0,0,0,0,0
98285,912217,817897,106584,0,0,0,0,421,19927,2360,0,0,0,0,200000,22801,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,223,1119,0,0,0,0,739,526,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,134,33,0,0,0,0,986,147,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43818,396272,252427,45045,0,0,0,0,0
106780,906445,817819,106733,0,0,0,0,434,21812,2511,0,0,0,0,198303,22828,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,226,1119,0,0,0,0,736,529,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,155,33,0,0,0,0,931,143,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47262,393786,252662,44874,0,0,0,0,0
118202,894813,817354,106073,0,0,0,0,455,24180,2898,0,0,0,0,196821,22401,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,230,1108,0,0,0,0,728,534,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,171,30,0,0,0,0,971,157,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52357,390253,253925,44684,0,0,0,0,0
135247,882178,818942,106704,0,0,0,0,519,27736,3195,0,0,0,0,193699,21919,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,225,1113,0,0,0,0,720,545,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,167,39,0,0,0,0,950,158,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59500,383262,254662,44762,0,0,0,0,0
155522,864672,816113,106707,0,0,0,0,576,31771,3640,0,0,0,0,190699,21845,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,228,1107,0,0,0,0,708,550,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,209,46,0,0,0,0,888,132,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68458,377016,255983,45101,0,0,0,0,0
177208,843409,817565,106636,0,0,0,0,623,36593,4265,0,0,0,0,185796,21183,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,232,1093,0,0,0,0,694,565,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,227,49,0,0,0,0,922,154,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77669,367350,256475,44795,0,0,0,0,0
201800,821496,816449,106097,0,0,0,0,818,41327,4846,0,0,0,0,181099,20509,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,235,1071,0,0,0,0,681,574,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,266,50,0,0,0,0,890,141,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87968,357829,256386,44502,0,0,0,0,0
229185,797650,817349,106244,0,0,0,0,737,46879,5391,0,0,0,0,175511,19800,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,236,1067,0,0,0,0,662,589,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,298,49,0,0,0,0,888,159,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98776,346012,256919,44148,0,0,0,0,0
