Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 10.00 degrees [A] RIGHT WP at 10.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96206,916098,796631,127257,0,0,0,0,389,19459,2715,0,0,0,0,196399,27033,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,227,1148,0,0,0,0,753,545,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,45,0,0,0,0,941,215,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42632,393062,250260,53210,0,0,0,0,0
94154,915617,794771,131033,0,0,0,0,362,18670,2827,0,0,0,0,195287,28266,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,220,1150,0,0,0,0,754,543,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,39,0,0,0,0,969,170,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41514,391816,248854,55299,0,0,0,0,0
98303,912795,793102,130866,0,0,0,0,404,19534,2843,0,0,0,0,194476,27867,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,224,1153,0,0,0,0,752,543,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,141,29,0,0,0,0,934,191,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43185,389733,248735,54881,0,0,0,0,0
105341,905644,792556,131364,0,0,0,0,386,20821,3198,0,0,0,0,192887,28222,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,223,1156,0,0,0,0,750,551,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,145,35,0,0,0,0,953,180,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46325,387162,248816,55478,0,0,0,0,0
115331,896478,791479,130752,0,0,0,0,430,23053,3349,0,0,0,0,190953,27795,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,226,1139,0,0,0,0,742,555,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,170,39,0,0,0,0,887,176,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50747,383129,249156,55001,0,0,0,0,0
130258,884461,793456,131027,0,0,0,0,510,25764,3968,0,0,0,0,189105,27186,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,227,1129,0,0,0,0,733,565,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,182,41,0,0,0,0,931,164,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56671,379058,250181,55024,0,0,0,0,0
156093,862383,793247,131249,0,0,0,0,609,31612,4787,0,0,0,0,183639,26773,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,227,1131,0,0,0,0,719,575,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,207,42,0,0,0,0,848,156,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68848,368419,251243,55055,0,0,0,0,0
180096,841000,793254,131006,0,0,0,0,705,36007,5356,0,0,0,0,179172,26129,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,232,1108,0,0,0,0,704,589,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,222,49,0,0,0,0,826,173,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78151,358639,251609,54856,0,0,0,0,0
206691,818873,795157,130665,0,0,0,0,775,41466,6203,0,0,0,0,173927,25335,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,232,1100,0,0,0,0,689,601,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,246,52,0,0,0,0,891,197,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89593,348160,251824,54737,0,0,0,0,0
234339,791813,792332,130370,0,0,0,0,825,47416,6913,0,0,0,0,169487,24605,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,236,1096,0,0,0,0,672,616,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,283,54,0,0,0,0,793,157,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101554,339264,253651,54379,0,0,0,0,0
