Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 12.00 degrees [A] RIGHT WP at 12.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94967,911313,765777,158082,0,0,0,0,378,18263,3465,0,0,0,0,187511,34136,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,222,1189,0,0,0,0,769,572,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,141,40,0,0,0,0,902,203,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41578,381323,243656,66171,0,0,0,0,0
94168,913785,765882,158663,0,0,0,0,408,18200,3482,0,0,0,0,187837,34460,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,226,1186,0,0,0,0,770,566,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,36,0,0,0,0,871,219,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41449,382615,244133,66529,0,0,0,0,0
97597,911091,765728,157971,0,0,0,0,392,18972,3469,0,0,0,0,187761,34118,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,227,1181,0,0,0,0,769,573,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,154,41,0,0,0,0,938,193,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43132,381546,244671,66258,0,0,0,0,0
106083,902873,764849,157419,0,0,0,0,465,20497,3867,0,0,0,0,185825,33848,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,228,1168,0,0,0,0,766,573,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,143,36,0,0,0,0,938,249,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46612,378032,244230,66107,0,0,0,0,0
119346,893583,765269,158049,0,0,0,0,467,23059,4220,0,0,0,0,183804,33684,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,225,1176,0,0,0,0,757,581,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,42,0,0,0,0,931,211,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51956,373880,244970,66329,0,0,0,0,0
135903,877989,764677,158366,0,0,0,0,570,26250,4788,0,0,0,0,180257,33077,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,229,1167,0,0,0,0,747,590,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,179,56,0,0,0,0,870,215,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59116,366740,244455,66024,0,0,0,0,0
156341,859915,764176,157656,0,0,0,0,617,30246,5610,0,0,0,0,177363,32164,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,231,1150,0,0,0,0,735,598,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,197,51,0,0,0,0,870,199,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67528,360398,245774,65534,0,0,0,0,0
178800,839555,764514,157745,0,0,0,0,656,34593,6442,0,0,0,0,172549,31190,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,234,1138,0,0,0,0,719,616,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,232,61,0,0,0,0,815,195,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76783,350349,245039,65518,0,0,0,0,0
205523,816533,764290,157453,0,0,0,0,738,39769,7386,0,0,0,0,167791,30247,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,234,1133,0,0,0,0,703,626,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,248,68,0,0,0,0,839,186,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87756,340577,245832,64963,0,0,0,0,0
233552,792849,766133,157835,0,0,0,0,785,45672,8573,0,0,0,0,163706,29472,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,238,1119,0,0,0,0,689,643,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,273,77,0,0,0,0,850,195,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99853,332670,248003,65408,0,0,0,0,0
