Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 16.00 degrees [A] RIGHT WP at 16.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95541,910133,704143,219954,0,0,0,0,375,16845,4813,0,0,0,0,172934,47606,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,231,1232,0,0,0,0,805,631,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120,50,0,0,0,0,813,296,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40696,364250,233284,91409,0,0,0,0,0
94118,911968,701502,220338,0,0,0,0,392,16686,4744,0,0,0,0,172450,47495,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,227,1242,0,0,0,0,807,626,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,119,40,0,0,0,0,879,258,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40387,363095,232475,91304,0,0,0,0,0
97251,910879,703317,220080,0,0,0,0,423,17300,4932,0,0,0,0,173397,47742,0,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,229,1250,0,0,0,0,805,625,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,131,52,0,0,0,0,851,273,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41812,365479,234385,91642,0,0,0,0,0
105923,902997,701794,220222,0,0,0,0,450,18894,5141,0,0,0,0,170118,47572,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,229,1237,0,0,0,0,802,630,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,120,48,0,0,0,0,805,299,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45329,359327,232307,91525,0,0,0,0,0
118542,889987,704137,219782,0,0,0,0,483,21164,5854,0,0,0,0,168724,46549,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,232,1221,0,0,0,0,792,637,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,156,55,0,0,0,0,864,273,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50614,355499,233329,90870,0,0,0,0,0
135453,877389,702957,219861,0,0,0,0,519,24037,6947,0,0,0,0,165363,45679,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,233,1217,0,0,0,0,781,645,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,156,63,0,0,0,0,795,256,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57524,349146,232173,90700,0,0,0,0,0
156115,857948,702538,219724,0,0,0,0,618,27863,7919,0,0,0,0,162774,44349,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,235,1205,0,0,0,0,769,657,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,168,71,0,0,0,0,779,292,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65977,343077,233041,90243,0,0,0,0,0
179311,838274,703638,219673,0,0,0,0,658,32407,8940,0,0,0,0,158521,43930,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,242,1204,0,0,0,0,755,668,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,176,61,0,0,0,0,787,235,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75817,335166,233833,90439,0,0,0,0,0
204960,814745,702277,219984,0,0,0,0,701,36805,10372,0,0,0,0,154277,42690,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,244,1182,0,0,0,0,741,688,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,236,84,0,0,0,0,755,244,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85993,326327,233497,90692,0,0,0,0,0
233368,790021,703010,219762,0,0,0,0,816,42122,11948,0,0,0,0,150060,41227,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,249,1174,0,0,0,0,722,701,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,269,88,0,0,0,0,733,254,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97424,318002,234671,90197,0,0,0,0,0
262372,762257,702144,220299,0,0,0,0,907,47099,13316,0,0,0,0,145056,39715,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,253,1150,0,0,0,0,703,727,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,267,89,0,0,0,0,700,253,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108984,306705,234368,89959,0,0,0,0,0
293140,734799,702111,219073,0,0,0,0,1010,52902,14879,0,0,0,0,139344,38268,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,262,1135,0,0,0,0,686,742,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,339,111,0,0,0,0,707,279,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121504,295969,234143,89287,0,0,0,0,0
323911,706153,701361,219559,0,0,0,0,985,57810,16170,0,0,0,0,133167,36917,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,265,1121,0,0,0,0,667,763,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,308,116,0,0,0,0,663,203,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131852,283456,232694,88988,0,0,0,0,0
351192,683102,701792,219119,0,0,0,0,1091,62764,17489,0,0,0,0,129699,35508,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,275,1107,0,0,0,0,651,778,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,353,122,0,0,0,0,697,213,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142293,276305,233983,88845,0,0,0,0,0
380962,656491,702203,219219,0,0,0,0,1109,68593,19213,0,0,0,0,124400,34344,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,280,1086,0,0,0,0,631,795,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,361,117,0,0,0,0,629,215,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154336,265566,235343,89470,0,0,0,0,0
409780,629460,704938,218864,0,0,0,0,1121,73853,20679,0,0,0,0,120020,32843,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,286,1074,0,0,0,0,614,816,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,424,126,0,0,0,0,566,203,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165488,256615,235915,89307,0,0,0,0,0
434807,605254,702859,219652,0,0,0,0,1151,78088,21902,0,0,0,0,115063,31715,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,293,1056,0,0,0,0,598,835,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,436,159,0,0,0,0,612,211,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174440,246815,235033,89284,0,0,0,0,0
457972,584209,702170,220357,0,0,0,0,1195,82047,23186,0,0,0,0,111194,30865,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,301,1046,0,0,0,0,585,849,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,418,159,0,0,0,0,590,188,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183281,238790,235321,89709,0,0,0,0,0
480311,563666,701892,219348,0,0,0,0,1145,87250,24697,0,0,0,0,105832,28920,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,308,1031,0,0,0,0,565,875,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,454,156,0,0,0,0,556,161,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193665,227452,235365,88950,0,0,0,0,0
504782,539400,702924,219587,0,0,0,0,1162,90354,25688,0,0,0,0,102716,28268,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,315,1014,0,0,0,0,554,885,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,451,158,0,0,0,0,491,170,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200572,220756,235397,89573,0,0,0,0,0
518653,526868,702530,219335,0,0,0,0,1190,93580,26252,0,0,0,0,99885,27873,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,318,1007,0,0,0,0,546,891,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,520,168,0,0,0,0,520,183,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206477,216288,235616,89492,0,0,0,0,0
529855,515174,703261,220344,0,0,0,0,1240,94912,26753,0,0,0,0,97841,27024,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,321,999,0,0,0,0,539,900,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,518,160,0,0,0,0,535,174,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209477,211311,235180,89187,0,0,0,0,0
536341,509594,702322,219953,0,0,0,0,1239,96292,27158,0,0,0,0,96823,26733,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,323,998,0,0,0,0,535,904,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,512,177,0,0,0,0,543,170,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212062,209282,235598,89394,0,0,0,0,0
538392,506319,704470,219436,0,0,0,0,1184,97051,27139,0,0,0,0,96418,26601,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,323,1000,0,0,0,0,532,906,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,543,185,0,0,0,0,502,176,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213121,208602,235935,89170,0,0,0,0,0
535723,508582,701818,219879,0,0,0,0,1280,96073,26977,0,0,0,0,96154,26556,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,326,987,0,0,0,0,533,905,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,464,159,0,0,0,0,479,166,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211593,207877,234432,88958,0,0,0,0,0
