Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 18.00 degrees [A] RIGHT WP at 18.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95255,911690,687951,237433,0,0,0,0,401,16035,5561,0,0,0,0,164979,55059,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,230,1254,0,0,0,0,822,654,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,53,0,0,0,0,831,328,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40369,355567,227309,104994,0,0,0,0,0
93932,912037,670970,253294,0,0,0,0,399,16006,5477,0,0,0,0,164527,55519,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,233,1266,0,0,0,0,824,656,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,53,0,0,0,0,835,320,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40087,355010,227147,105658,0,0,0,0,0
97623,909133,671823,252451,0,0,0,0,414,16467,5570,0,0,0,0,165152,55019,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,232,1268,0,0,0,0,822,654,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124,50,0,0,0,0,796,291,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41404,355804,227787,105004,0,0,0,0,0
106257,901745,671211,252887,0,0,0,0,454,18074,6178,0,0,0,0,162707,54252,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,235,1267,0,0,0,0,817,659,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,120,66,0,0,0,0,774,328,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45301,350702,226590,104414,0,0,0,0,0
118936,890751,671186,252341,0,0,0,0,441,20307,6915,0,0,0,0,161013,53592,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,234,1259,0,0,0,0,810,666,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,148,62,0,0,0,0,773,296,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50288,347068,227022,104541,0,0,0,0,0
136090,876378,670114,252869,0,0,0,0,542,23142,8063,0,0,0,0,158634,53049,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,237,1256,0,0,0,0,800,677,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,170,66,0,0,0,0,835,307,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57616,342795,227155,104679,0,0,0,0,0
156183,858787,671996,252686,0,0,0,0,612,26672,8996,0,0,0,0,155224,51736,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,239,1247,0,0,0,0,787,690,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,165,73,0,0,0,0,777,322,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65556,335620,226596,103924,0,0,0,0,0
178561,838047,670441,252738,0,0,0,0,649,30435,10142,0,0,0,0,151818,50958,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,240,1230,0,0,0,0,773,700,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,217,81,0,0,0,0,741,298,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74255,328434,227148,104317,0,0,0,0,0
204246,818501,671557,253148,0,0,0,0,727,34710,11807,0,0,0,0,148085,49204,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,248,1216,0,0,0,0,761,720,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,207,93,0,0,0,0,757,301,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84141,320548,227282,103711,0,0,0,0,0
231795,793153,670395,253044,0,0,0,0,820,40078,13353,0,0,0,0,143521,48003,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,253,1202,0,0,0,0,742,729,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,262,105,0,0,0,0,754,274,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96052,311624,227832,103867,0,0,0,0,0
260100,766332,670000,252149,0,0,0,0,899,44578,15113,0,0,0,0,138555,46229,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,260,1187,0,0,0,0,725,747,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,252,134,0,0,0,0,730,256,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106556,301484,227019,102971,0,0,0,0,0
290732,738432,671177,251997,0,0,0,0,972,49789,16921,0,0,0,0,134173,44588,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,265,1172,0,0,0,0,706,771,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,315,128,0,0,0,0,680,265,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118485,292311,227526,102899,0,0,0,0,0
321976,710823,669390,252382,0,0,0,0,1000,54625,18668,0,0,0,0,128637,42634,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,273,1150,0,0,0,0,685,785,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,344,129,0,0,0,0,637,244,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129394,280366,226489,102387,0,0,0,0,0
351897,684680,672136,253455,0,0,0,0,1116,60591,20388,0,0,0,0,124709,41670,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,281,1136,0,0,0,0,670,805,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,393,142,0,0,0,0,656,245,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141888,273222,229122,103180,0,0,0,0,0
