Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 22.00 degrees [A] RIGHT WP at 22.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95813,913718,609527,319031,0,0,0,0,399,14800,6834,0,0,0,0,150779,69862,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,243,1333,0,0,0,0,863,709,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,110,78,0,0,0,0,791,363,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40245,341776,215832,132745,0,0,0,0,0
94663,914768,609073,320436,0,0,0,0,401,14544,6768,0,0,0,0,149826,70396,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,245,1328,0,0,0,0,866,708,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,106,56,0,0,0,0,729,392,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39604,340569,214856,133207,0,0,0,0,0
98097,913556,609329,320420,0,0,0,0,460,15227,7148,0,0,0,0,150680,70115,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,241,1322,0,0,0,0,865,710,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,123,64,0,0,0,0,715,405,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41465,342293,216346,133260,0,0,0,0,0
106229,905742,608354,319853,0,0,0,0,417,16434,7653,0,0,0,0,148791,69392,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,240,1320,0,0,0,0,858,715,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,80,0,0,0,0,692,363,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44272,338090,215322,132842,0,0,0,0,0
117895,894549,609044,319139,0,0,0,0,446,18147,8654,0,0,0,0,147817,68738,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,247,1306,0,0,0,0,850,719,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,123,95,0,0,0,0,732,378,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49490,336020,215925,132360,0,0,0,0,0
134379,881851,609761,320815,0,0,0,0,519,20877,9891,0,0,0,0,145980,68161,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,248,1313,0,0,0,0,841,729,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,133,82,0,0,0,0,719,371,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56331,332600,216597,133129,0,0,0,0,0
155749,865557,609704,319205,0,0,0,0,562,24285,11240,0,0,0,0,142730,66047,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,250,1301,0,0,0,0,831,742,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,190,95,0,0,0,0,784,369,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64236,325076,215939,131790,0,0,0,0,0
176380,846349,609843,320625,0,0,0,0,665,27207,12992,0,0,0,0,140336,65764,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,253,1290,0,0,0,0,817,757,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,192,95,0,0,0,0,742,370,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72843,321080,216607,132840,0,0,0,0,0
201726,822428,611143,321299,0,0,0,0,725,31464,14960,0,0,0,0,135991,63680,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,257,1279,0,0,0,0,799,772,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,196,112,0,0,0,0,670,360,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82996,311702,215934,132248,0,0,0,0,0
230077,798693,610758,320087,0,0,0,0,759,35814,16740,0,0,0,0,132034,61042,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,266,1267,0,0,0,0,783,786,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,213,118,0,0,0,0,664,361,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93221,302880,214896,130480,0,0,0,0,0
