Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 28.00 degrees [A] RIGHT WP at 28.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96394,920711,528688,407302,0,0,0,0,397,13046,9059,0,0,0,0,131751,90779,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,255,1413,0,0,0,0,916,785,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,70,0,0,0,0,680,492,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40483,326365,199045,172023,0,0,0,0,0
95357,921343,522318,412320,0,0,0,0,399,12597,8932,0,0,0,0,129462,91667,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,254,1410,0,0,0,0,921,785,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95,69,0,0,0,0,620,467,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39735,322982,196209,172949,0,0,0,0,0
98131,919977,523178,412083,0,0,0,0,390,13168,9099,0,0,0,0,129733,91972,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,256,1414,0,0,0,0,918,785,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,94,82,0,0,0,0,669,462,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40883,324162,197272,173422,0,0,0,0,0
104862,912984,523236,411241,0,0,0,0,474,14057,9935,0,0,0,0,129518,91199,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,257,1414,0,0,0,0,913,791,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,72,0,0,0,0,629,441,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43938,323254,198040,173086,0,0,0,0,0
115595,906001,522148,412850,0,0,0,0,462,15203,11096,0,0,0,0,127959,90156,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,260,1408,0,0,0,0,909,795,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,105,91,0,0,0,0,681,463,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48011,319834,196624,172910,0,0,0,0,0
130185,891110,521721,411872,0,0,0,0,518,17378,12248,0,0,0,0,125583,88456,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,261,1404,0,0,0,0,899,804,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,133,87,0,0,0,0,628,446,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53704,314625,195647,171327,0,0,0,0,0
148787,875056,522570,412161,0,0,0,0,538,19895,14112,0,0,0,0,123467,86787,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,264,1397,0,0,0,0,889,817,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,145,93,0,0,0,0,666,473,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60836,310111,195519,170572,0,0,0,0,0
182203,847882,523295,412740,0,0,0,0,681,24463,17442,0,0,0,0,120521,84447,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,270,1379,0,0,0,0,868,837,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,151,119,0,0,0,0,618,421,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74728,303306,196306,170992,0,0,0,0,0
207835,824303,522373,412314,0,0,0,0,782,27826,19663,0,0,0,0,116712,82174,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,277,1364,0,0,0,0,854,856,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,181,117,0,0,0,0,621,478,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84006,295189,195170,169783,0,0,0,0,0
235278,799309,523239,411963,0,0,0,0,846,31729,22242,0,0,0,0,112991,79223,0,0,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,287,1348,0,0,0,0,835,870,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,203,139,0,0,0,0,582,432,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94077,286900,194372,168591,0,0,0,0,0
