Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 30.00 degrees [A] RIGHT WP at 30.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96599,920064,497531,436295,0,0,0,0,404,12172,9675,0,0,0,0,123655,96724,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,264,1436,0,0,0,0,934,809,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,89,82,0,0,0,0,639,557,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40025,317298,190326,183084,0,0,0,0,0
95350,921980,496704,437982,0,0,0,0,380,12083,9510,0,0,0,0,124321,97883,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,254,1439,0,0,0,0,933,810,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,103,72,0,0,0,0,674,509,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39681,319656,191275,184799,0,0,0,0,0
98636,918330,498245,437503,0,0,0,0,412,12421,9822,0,0,0,0,123565,97575,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,261,1438,0,0,0,0,932,810,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,99,67,0,0,0,0,591,532,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40889,318221,190339,184704,0,0,0,0,0
107377,910730,496784,437609,0,0,0,0,415,13577,10758,0,0,0,0,121852,96721,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,260,1433,0,0,0,0,927,815,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,99,0,0,0,0,598,523,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44281,315028,189441,183879,0,0,0,0,0
119657,901998,497927,436172,0,0,0,0,446,15423,11866,0,0,0,0,121189,95675,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,267,1430,0,0,0,0,920,819,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,105,96,0,0,0,0,625,508,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49425,313253,190342,183483,0,0,0,0,0
135631,887687,498334,436261,0,0,0,0,528,17432,13398,0,0,0,0,119579,94046,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,264,1421,0,0,0,0,913,831,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,113,0,0,0,0,627,469,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55758,309399,190269,182285,0,0,0,0,0
156318,870003,496330,436815,0,0,0,0,623,20019,15536,0,0,0,0,117773,91844,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,272,1411,0,0,0,0,901,843,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,148,103,0,0,0,0,655,494,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63564,304992,189571,181915,0,0,0,0,0
179548,849742,496721,436730,0,0,0,0,679,22939,18067,0,0,0,0,114518,89830,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,275,1400,0,0,0,0,885,858,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,150,130,0,0,0,0,558,469,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72868,297905,188721,181355,0,0,0,0,0
205457,827674,497554,436406,0,0,0,0,775,26609,20461,0,0,0,0,111512,87576,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,281,1385,0,0,0,0,868,873,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,155,113,0,0,0,0,542,423,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82778,291832,188780,180195,0,0,0,0,0
233289,801164,496750,437341,0,0,0,0,811,30110,23453,0,0,0,0,107792,84529,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,292,1371,0,0,0,0,849,890,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,183,166,0,0,0,0,556,455,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92728,283491,187195,179108,0,0,0,0,0
