Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 32.00 degrees [A] RIGHT WP at 32.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95572,921444,475104,456908,0,0,0,0,398,11488,10074,0,0,0,0,118539,102041,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,260,1461,0,0,0,0,949,827,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,75,0,0,0,0,618,530,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39730,313639,184383,192707,0,0,0,0,0
94904,920276,473519,458812,0,0,0,0,379,11359,9971,0,0,0,0,118600,102610,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,268,1455,0,0,0,0,947,824,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,81,0,0,0,0,634,559,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39335,313815,184647,193837,0,0,0,0,0
98457,918916,475818,458602,0,0,0,0,454,12008,10301,0,0,0,0,118575,101977,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,266,1456,0,0,0,0,949,827,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,88,0,0,0,0,576,498,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41162,313227,184778,193584,0,0,0,0,0
106177,913112,475327,457792,0,0,0,0,387,12797,11143,0,0,0,0,117600,101372,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,266,1456,0,0,0,0,942,832,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99,79,0,0,0,0,584,522,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43762,311188,184587,193040,0,0,0,0,0
116330,904713,474687,458263,0,0,0,0,535,14120,12386,0,0,0,0,116307,100250,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,271,1445,0,0,0,0,939,839,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,83,0,0,0,0,594,508,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48191,308737,184220,192499,0,0,0,0,0
132356,890573,474527,459677,0,0,0,0,508,16103,14039,0,0,0,0,114738,99127,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,274,1445,0,0,0,0,927,849,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,116,0,0,0,0,588,521,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54355,305491,183983,192564,0,0,0,0,0
151361,872177,474919,457513,0,0,0,0,627,18398,15829,0,0,0,0,112193,96698,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,278,1424,0,0,0,0,915,858,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,129,131,0,0,0,0,572,502,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61522,299322,182605,190469,0,0,0,0,0
173681,854185,474249,458444,0,0,0,0,659,21283,18399,0,0,0,0,109735,94396,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,285,1416,0,0,0,0,901,875,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,171,146,0,0,0,0,599,527,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70195,294181,182387,189556,0,0,0,0,0
198519,831781,474208,457914,0,0,0,0,730,24120,21121,0,0,0,0,106910,92107,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,289,1405,0,0,0,0,886,889,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,142,130,0,0,0,0,563,456,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79500,287821,181388,188978,0,0,0,0,0
224473,809813,473409,458217,0,0,0,0,840,27524,23864,0,0,0,0,103768,89616,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,296,1396,0,0,0,0,869,908,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,201,168,0,0,0,0,544,460,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89668,281038,180727,188066,0,0,0,0,0
