Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 36.00 degrees [A] RIGHT WP at 36.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96199,923501,447130,487690,0,0,0,0,409,10986,10816,0,0,0,0,111179,109717,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,273,1480,0,0,0,0,963,856,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,86,89,0,0,0,0,613,573,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40062,307897,176540,207581,0,0,0,0,0
95733,923261,442529,490144,0,0,0,0,395,10814,10840,0,0,0,0,110514,109704,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,273,1486,0,0,0,0,967,854,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,95,90,0,0,0,0,588,563,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39623,306756,175721,207439,0,0,0,0,0
97741,921329,442599,490337,0,0,0,0,384,11053,11093,0,0,0,0,110124,109827,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,273,1491,0,0,0,0,966,857,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,89,87,0,0,0,0,571,548,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40748,305957,175066,208484,0,0,0,0,0
104660,912842,442242,489263,0,0,0,0,442,11890,11572,0,0,0,0,109635,108614,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,276,1484,0,0,0,0,962,861,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,97,0,0,0,0,565,546,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43160,304451,175272,206384,0,0,0,0,0
120176,901060,442737,489838,0,0,0,0,447,12905,13035,0,0,0,0,108897,107830,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,275,1475,0,0,0,0,954,866,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,95,118,0,0,0,0,547,562,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47496,302693,175021,206799,0,0,0,0,0
137201,887681,441909,489811,0,0,0,0,550,15438,15509,0,0,0,0,107045,106132,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,279,1470,0,0,0,0,944,880,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,112,115,0,0,0,0,534,541,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56258,298808,175271,206484,0,0,0,0,0
157345,868743,440786,489143,0,0,0,0,627,17812,17528,0,0,0,0,104468,103408,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,289,1456,0,0,0,0,932,891,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,132,135,0,0,0,0,529,516,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63474,292538,173689,204468,0,0,0,0,0
181542,845603,442484,487646,0,0,0,0,718,20866,20578,0,0,0,0,101643,100925,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,293,1444,0,0,0,0,912,907,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,155,141,0,0,0,0,547,509,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73262,287369,173219,202990,0,0,0,0,0
206647,821628,441427,487886,0,0,0,0,770,23892,23259,0,0,0,0,98528,97874,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,298,1439,0,0,0,0,896,924,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,162,138,0,0,0,0,572,479,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82471,279182,172564,201603,0,0,0,0,0
235385,797602,441117,486948,0,0,0,0,857,26606,26558,0,0,0,0,96016,95005,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,306,1419,0,0,0,0,879,941,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,178,159,0,0,0,0,497,480,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92189,273525,171650,200466,0,0,0,0,0
