Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 38.00 degrees [A] RIGHT WP at 38.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96484,923915,432039,498237,0,0,0,0,376,10812,11132,0,0,0,0,108080,112103,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,275,1494,0,0,0,0,975,861,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,88,77,0,0,0,0,567,623,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40304,304880,172726,212414,0,0,0,0,0
95383,921990,433308,497152,0,0,0,0,388,10675,10991,0,0,0,0,108226,111889,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,272,1495,0,0,0,0,974,862,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,74,91,0,0,0,0,533,597,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39765,304567,172683,212149,0,0,0,0,0
98913,919933,432355,497366,0,0,0,0,416,11098,11211,0,0,0,0,108113,111740,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,277,1489,0,0,0,0,974,860,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,84,0,0,0,0,556,563,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41026,304627,172914,211898,0,0,0,0,0
106759,914377,432693,498147,0,0,0,0,429,11845,12190,0,0,0,0,107667,110687,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,273,1490,0,0,0,0,969,866,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,91,92,0,0,0,0,538,576,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43783,303509,172728,211091,0,0,0,0,0
119482,903288,432673,498678,0,0,0,0,481,13273,13638,0,0,0,0,105940,110534,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,280,1476,0,0,0,0,959,875,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,103,99,0,0,0,0,561,552,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49219,301056,172319,211740,0,0,0,0,0
135675,889797,434203,497046,0,0,0,0,545,15321,15608,0,0,0,0,105085,107352,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,284,1472,0,0,0,0,953,886,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,118,118,0,0,0,0,509,557,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55709,297030,172344,209489,0,0,0,0,0
154810,871304,432424,498020,0,0,0,0,601,17197,17856,0,0,0,0,102766,106097,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,289,1468,0,0,0,0,937,899,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,134,108,0,0,0,0,527,604,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62962,292526,171672,209244,0,0,0,0,0
178286,852207,433121,498099,0,0,0,0,686,20094,20478,0,0,0,0,100028,103621,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,296,1457,0,0,0,0,922,912,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,147,151,0,0,0,0,506,569,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72023,286407,170471,208433,0,0,0,0,0
204104,829615,433606,498539,0,0,0,0,765,23173,23516,0,0,0,0,98140,100310,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,300,1443,0,0,0,0,906,929,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,180,151,0,0,0,0,513,554,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81647,281196,171089,206438,0,0,0,0,0
230794,803623,432534,497642,0,0,0,0,868,25846,27053,0,0,0,0,95024,97734,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,312,1429,0,0,0,0,888,946,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,161,172,0,0,0,0,501,536,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91772,274670,169682,206047,0,0,0,0,0
256737,781449,432103,497490,0,0,0,0,852,29037,29728,0,0,0,0,92176,94881,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,317,1410,0,0,0,0,873,962,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,185,204,0,0,0,0,537,505,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100456,268262,169812,204250,0,0,0,0,0
286588,753669,432016,496749,0,0,0,0,961,32261,33038,0,0,0,0,88928,91224,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,324,1394,0,0,0,0,852,983,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,185,173,0,0,0,0,409,366,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110802,259819,168594,202700,0,0,0,0,0
328213,715331,432448,498224,0,0,0,0,1071,36722,38304,0,0,0,0,84631,86948,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,341,1371,0,0,0,0,825,1010,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,218,234,0,0,0,0,444,474,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125375,249529,168146,202725,0,0,0,0,0
360922,687940,434362,497399,0,0,0,0,1103,40943,41647,0,0,0,0,81654,83095,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,353,1355,0,0,0,0,805,1027,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,221,265,0,0,0,0,438,451,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136725,241903,168556,200813,0,0,0,0,0
392609,657601,433754,498263,0,0,0,0,1148,44138,45797,0,0,0,0,78281,79886,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,361,1337,0,0,0,0,785,1050,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,260,273,0,0,0,0,472,407,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146682,234027,168225,201431,0,0,0,0,0
421907,630630,432649,499685,0,0,0,0,1194,47417,49110,0,0,0,0,74446,77015,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,371,1324,0,0,0,0,766,1074,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,285,271,0,0,0,0,423,444,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156227,225450,167250,201344,0,0,0,0,0
447335,604921,432766,498567,0,0,0,0,1261,49996,52756,0,0,0,0,71603,72911,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,380,1308,0,0,0,0,745,1091,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,275,294,0,0,0,0,402,400,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164147,216625,166613,200629,0,0,0,0,0
469898,582363,433586,496617,0,0,0,0,1240,52992,54648,0,0,0,0,69206,70153,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,390,1293,0,0,0,0,735,1105,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,296,314,0,0,0,0,407,369,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171492,210405,166789,198696,0,0,0,0,0
491750,562749,434748,497647,0,0,0,0,1268,55424,57437,0,0,0,0,66643,67811,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,399,1280,0,0,0,0,715,1122,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,301,323,0,0,0,0,362,355,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177947,204296,166770,199275,0,0,0,0,0
508278,547944,433843,496931,0,0,0,0,1241,56940,59670,0,0,0,0,65481,65909,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,406,1269,0,0,0,0,706,1133,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,347,332,0,0,0,0,390,343,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183141,200513,167359,199387,0,0,0,0,0
523050,535072,432368,497449,0,0,0,0,1290,58627,61327,0,0,0,0,63401,64747,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,412,1262,0,0,0,0,698,1144,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,326,338,0,0,0,0,355,343,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187765,196219,167088,199697,0,0,0,0,0
534768,519743,432626,496953,0,0,0,0,1261,59501,62751,0,0,0,0,62120,62984,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,416,1253,0,0,0,0,689,1153,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,344,330,0,0,0,0,325,347,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190606,192389,166257,199112,0,0,0,0,0
541282,515742,432988,497938,0,0,0,0,1275,60369,63420,0,0,0,0,61104,62680,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,422,1250,0,0,0,0,683,1163,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,319,362,0,0,0,0,343,354,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192454,190311,166483,199829,0,0,0,0,0
543378,512333,431275,497259,0,0,0,0,1174,60551,63265,0,0,0,0,60447,61942,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,424,1247,0,0,0,0,682,1166,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,316,331,0,0,0,0,324,348,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192089,188480,165441,198800,0,0,0,0,0
539532,516847,431842,497420,0,0,0,0,1243,60670,63184,0,0,0,0,61116,62204,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,420,1248,0,0,0,0,682,1156,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,323,360,0,0,0,0,351,349,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192218,190079,166428,199245,0,0,0,0,0
533622,520693,431546,497653,0,0,0,0,1271,59372,62766,0,0,0,0,61993,62486,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,418,1253,0,0,0,0,684,1159,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,322,323,0,0,0,0,364,335,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190135,191448,165895,198966,0,0,0,0,0
522747,532107,431795,496714,0,0,0,0,1213,58005,60997,0,0,0,0,62959,64365,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,416,1259,0,0,0,0,694,1147,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,309,307,0,0,0,0,350,348,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186123,194922,165618,198491,0,0,0,0,0
506696,543121,430712,496425,0,0,0,0,1255,56528,59276,0,0,0,0,64221,65973,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,409,1267,0,0,0,0,706,1140,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,277,328,0,0,0,0,334,324,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181709,198409,165401,198782,0,0,0,0,0
