Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 46.00 degrees [A] RIGHT WP at 46.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95880,921652,440237,485548,0,0,0,0,401,10829,10875,0,0,0,0,110756,110498,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,274,1474,0,0,0,0,967,850,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,79,0,0,0,0,565,556,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39972,308315,176141,208340,0,0,0,0,0
95066,923244,443103,485662,0,0,0,0,392,10930,10650,0,0,0,0,111647,110328,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,273,1477,0,0,0,0,966,850,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,94,85,0,0,0,0,585,552,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39638,309638,177222,208169,0,0,0,0,0
98705,921239,441219,485223,0,0,0,0,402,11239,11044,0,0,0,0,111013,109587,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,277,1481,0,0,0,0,965,852,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,87,84,0,0,0,0,557,574,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41007,307848,176531,207163,0,0,0,0,0
105772,915471,441177,486221,0,0,0,0,453,12170,11934,0,0,0,0,110199,109558,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,275,1475,0,0,0,0,963,855,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92,84,0,0,0,0,565,581,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44072,306881,176336,208359,0,0,0,0,0
115996,904413,441256,485625,0,0,0,0,463,13271,13006,0,0,0,0,108718,107924,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,277,1467,0,0,0,0,955,862,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,95,100,0,0,0,0,584,543,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47855,303170,175443,206470,0,0,0,0,0
130345,891178,441582,485610,0,0,0,0,520,15172,14828,0,0,0,0,107011,106787,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,280,1472,0,0,0,0,948,873,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,119,117,0,0,0,0,544,516,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54262,299982,175093,206199,0,0,0,0,0
149212,876464,441199,486134,0,0,0,0,619,16939,17009,0,0,0,0,105693,104922,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,289,1459,0,0,0,0,936,883,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,127,127,0,0,0,0,566,545,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61585,296055,174712,205735,0,0,0,0,0
171255,857787,442829,486585,0,0,0,0,701,19901,19573,0,0,0,0,104250,102287,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,293,1440,0,0,0,0,920,896,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,167,139,0,0,0,0,582,610,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70307,291986,175594,205017,0,0,0,0,0
208670,824773,441278,485711,0,0,0,0,718,22576,22389,0,0,0,0,100965,99224,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,295,1434,0,0,0,0,906,910,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,169,158,0,0,0,0,532,562,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79300,284762,173636,202595,0,0,0,0,0
237033,799131,441282,486074,0,0,0,0,822,25904,25388,0,0,0,0,98225,96240,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,304,1417,0,0,0,0,887,928,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,172,166,0,0,0,0,537,473,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89228,278699,173267,201149,0,0,0,0,0
267216,772358,441970,485801,0,0,0,0,896,30793,30654,0,0,0,0,93931,92236,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,321,1394,0,0,0,0,860,957,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,191,186,0,0,0,0,494,514,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104933,268986,173224,201150,0,0,0,0,0
298307,744663,441348,485117,0,0,0,0,943,34156,34250,0,0,0,0,90256,88753,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,329,1378,0,0,0,0,844,977,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,203,211,0,0,0,0,467,463,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115449,260467,172150,199721,0,0,0,0,0
330547,716417,441230,485166,0,0,0,0,1065,37937,37787,0,0,0,0,86622,85484,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,338,1358,0,0,0,0,822,997,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,203,234,0,0,0,0,435,447,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126703,252081,171509,199041,0,0,0,0,0
360404,687650,442310,483929,0,0,0,0,1116,41684,41030,0,0,0,0,83959,81244,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,350,1339,0,0,0,0,801,1018,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,244,246,0,0,0,0,470,398,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137054,243981,172036,196568,0,0,0,0,0
390894,659373,441410,484354,0,0,0,0,1186,45140,44807,0,0,0,0,80221,78141,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,360,1323,0,0,0,0,781,1036,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,258,267,0,0,0,0,422,405,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147680,235305,171360,196737,0,0,0,0,0
417839,633818,441763,485265,0,0,0,0,1145,47898,48035,0,0,0,0,77250,74778,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,371,1308,0,0,0,0,764,1060,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,282,286,0,0,0,0,410,369,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155334,227974,170629,195929,0,0,0,0,0
445605,607854,440519,486344,0,0,0,0,1196,51817,51474,0,0,0,0,73347,72143,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,385,1290,0,0,0,0,744,1081,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,300,296,0,0,0,0,373,383,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165525,219574,170718,196840,0,0,0,0,0
468708,584096,440690,484865,0,0,0,0,1285,53949,53919,0,0,0,0,70823,69039,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,390,1276,0,0,0,0,727,1097,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,299,295,0,0,0,0,399,392,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172251,211800,170027,195451,0,0,0,0,0
490090,565046,441598,484803,0,0,0,0,1215,56599,56480,0,0,0,0,68432,66863,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,400,1264,0,0,0,0,714,1109,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,329,295,0,0,0,0,380,366,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178567,206176,170594,196019,0,0,0,0,0
511364,544182,440802,483422,0,0,0,0,1264,57848,57978,0,0,0,0,66805,65150,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,405,1258,0,0,0,0,705,1119,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,332,318,0,0,0,0,403,359,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182452,202232,170059,194986,0,0,0,0,0
526885,529803,440340,484151,0,0,0,0,1241,60309,60567,0,0,0,0,64150,62139,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,412,1239,0,0,0,0,691,1135,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,331,317,0,0,0,0,378,356,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188805,195186,169169,194683,0,0,0,0,0
536416,520676,440311,483577,0,0,0,0,1254,61498,61771,0,0,0,0,62962,61347,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,419,1240,0,0,0,0,687,1141,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,341,362,0,0,0,0,329,319,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192547,192207,169667,194522,0,0,0,0,0
541542,516092,441147,484630,0,0,0,0,1265,61873,62094,0,0,0,0,62678,60932,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,418,1233,0,0,0,0,678,1146,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,332,341,0,0,0,0,316,328,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193585,190793,169762,195025,0,0,0,0,0
542245,513617,440222,484782,0,0,0,0,1274,62166,62984,0,0,0,0,62266,60806,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,421,1232,0,0,0,0,678,1148,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,320,352,0,0,0,0,311,359,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194507,190547,169846,196268,0,0,0,0,0
539921,514876,440911,483665,0,0,0,0,1229,62012,62376,0,0,0,0,62262,60494,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,424,1234,0,0,0,0,683,1142,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,323,339,0,0,0,0,342,324,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193693,189863,169400,194779,0,0,0,0,0
533545,521765,440898,484134,0,0,0,0,1240,61043,61231,0,0,0,0,63222,61637,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,417,1236,0,0,0,0,680,1139,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,355,336,0,0,0,0,339,338,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190964,192309,169623,194771,0,0,0,0,0
521052,532689,439594,484208,0,0,0,0,1261,59275,59890,0,0,0,0,64170,63215,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,415,1241,0,0,0,0,691,1134,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,344,313,0,0,0,0,331,355,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187056,195687,168216,194874,0,0,0,0,0
508440,544532,439651,483238,0,0,0,0,1284,58647,58102,0,0,0,0,66091,64790,0,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,409,1250,0,0,0,0,701,1126,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,339,310,0,0,0,0,366,375,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184279,200490,169946,194826,0,0,0,0,0
491184,559543,439163,483954,0,0,0,0,1210,56314,56085,0,0,0,0,67813,65830,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,404,1259,0,0,0,0,712,1111,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,318,303,0,0,0,0,357,375,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177879,203801,168542,194124,0,0,0,0,0
470254,578230,439597,483347,0,0,0,0,1209,53981,53952,0,0,0,0,70351,68385,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,393,1272,0,0,0,0,723,1102,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,290,301,0,0,0,0,370,394,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171375,210938,169622,194304,0,0,0,0,0
442633,605419,439010,483333,0,0,0,0,1186,50914,50891,0,0,0,0,73241,71724,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,386,1288,0,0,0,0,743,1081,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,303,327,0,0,0,0,479,367,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163527,218324,169214,195391,0,0,0,0,0
415744,629645,439903,482890,0,0,0,0,1144,47756,47641,0,0,0,0,76249,74416,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,376,1300,0,0,0,0,760,1063,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,239,273,0,0,0,0,377,369,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154191,225810,169337,194750,0,0,0,0,0
386397,656837,439934,483477,0,0,0,0,1155,44093,44453,0,0,0,0,79614,77250,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,363,1317,0,0,0,0,778,1040,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,250,232,0,0,0,0,389,376,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144495,233193,169194,195508,0,0,0,0,0
357182,683235,438285,482126,0,0,0,0,1047,40983,40886,0,0,0,0,82324,80341,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,353,1333,0,0,0,0,798,1019,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,245,246,0,0,0,0,448,424,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135215,240169,168971,194953,0,0,0,0,0
325449,712355,438983,482883,0,0,0,0,991,37526,37015,0,0,0,0,86059,84323,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,345,1355,0,0,0,0,823,999,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,231,233,0,0,0,0,445,446,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124533,249262,170250,196335,0,0,0,0,0
295849,740495,439857,481971,0,0,0,0,1012,33985,33578,0,0,0,0,89255,87972,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,333,1368,0,0,0,0,837,977,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,200,215,0,0,0,0,457,445,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114295,257656,170384,197706,0,0,0,0,0
