Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 48.00 degrees [A] RIGHT WP at 48.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95517,911494,444606,468169,0,0,0,0,397,11052,10309,0,0,0,0,110752,104460,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,275,1459,0,0,0,0,955,843,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97,83,0,0,0,0,614,564,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39634,302185,174632,197078,0,0,0,0,0
93946,911885,449106,465107,0,0,0,0,373,10818,10079,0,0,0,0,111891,104553,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,273,1461,0,0,0,0,953,842,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,73,0,0,0,0,599,563,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38662,304186,175999,196957,0,0,0,0,0
96593,911314,448132,463367,0,0,0,0,382,11224,10344,0,0,0,0,111649,103827,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,272,1461,0,0,0,0,954,840,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,91,0,0,0,0,577,530,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39944,303188,175968,195913,0,0,0,0,0
103645,906684,449056,463938,0,0,0,0,403,12052,11315,0,0,0,0,111400,103327,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,274,1457,0,0,0,0,952,842,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,89,0,0,0,0,576,519,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42795,303126,176181,196080,0,0,0,0,0
114483,895164,448462,464414,0,0,0,0,435,13257,12444,0,0,0,0,110088,101980,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,276,1460,0,0,0,0,944,850,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,117,103,0,0,0,0,585,534,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47186,299090,175629,195218,0,0,0,0,0
128500,881054,448097,463225,0,0,0,0,479,15010,13974,0,0,0,0,108172,100584,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,285,1442,0,0,0,0,933,858,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127,119,0,0,0,0,543,554,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52653,295488,175037,194099,0,0,0,0,0
147107,866169,448435,464129,0,0,0,0,562,17465,15988,0,0,0,0,106844,98988,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,285,1435,0,0,0,0,922,870,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139,132,0,0,0,0,522,536,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60020,292521,175360,194312,0,0,0,0,0
179767,837997,449070,462983,0,0,0,0,649,20045,18303,0,0,0,0,104153,96471,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,288,1418,0,0,0,0,911,882,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,136,144,0,0,0,0,520,512,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68338,286237,174387,192397,0,0,0,0,0
205292,814645,447987,462937,0,0,0,0,749,23051,21166,0,0,0,0,100892,93425,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,299,1416,0,0,0,0,892,903,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,182,151,0,0,0,0,540,520,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77457,278897,173316,190763,0,0,0,0,0
233655,791065,449273,463327,0,0,0,0,833,27406,25634,0,0,0,0,98142,89820,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,308,1391,0,0,0,0,871,923,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,168,165,0,0,0,0,504,464,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92049,271901,173810,190301,0,0,0,0,0
264178,763258,448844,464929,0,0,0,0,934,31173,28940,0,0,0,0,94560,86534,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,316,1371,0,0,0,0,852,945,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,207,183,0,0,0,0,475,453,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102787,263648,173150,189384,0,0,0,0,0
295237,735702,447932,464572,0,0,0,0,981,34472,32598,0,0,0,0,90708,83463,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,329,1362,0,0,0,0,831,964,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,209,199,0,0,0,0,475,448,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113766,255370,171826,188184,0,0,0,0,0
325177,706445,450060,464041,0,0,0,0,986,38565,35672,0,0,0,0,87499,80160,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,336,1344,0,0,0,0,810,989,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,225,202,0,0,0,0,457,458,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124253,247531,172070,187264,0,0,0,0,0
356760,679317,449239,464463,0,0,0,0,1126,42079,39409,0,0,0,0,83786,77660,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,347,1323,0,0,0,0,789,1006,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,256,227,0,0,0,0,443,393,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134790,240161,171477,188259,0,0,0,0,0
386748,650452,449104,464326,0,0,0,0,1132,45551,42804,0,0,0,0,80241,74328,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,359,1305,0,0,0,0,771,1031,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,245,250,0,0,0,0,436,393,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145008,231484,170908,187282,0,0,0,0,0
416110,625019,448854,464140,0,0,0,0,1188,48400,45866,0,0,0,0,77178,70819,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,370,1288,0,0,0,0,750,1048,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,276,275,0,0,0,0,451,373,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153572,222826,170287,186144,0,0,0,0,0
441401,600222,449853,464226,0,0,0,0,1211,51890,48921,0,0,0,0,74406,67804,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,378,1277,0,0,0,0,734,1064,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,298,284,0,0,0,0,417,408,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162180,216191,170845,186119,0,0,0,0,0
465093,577244,448949,463314,0,0,0,0,1194,54819,51180,0,0,0,0,71608,65836,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,384,1259,0,0,0,0,716,1082,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,296,288,0,0,0,0,372,368,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170032,209604,171033,185732,0,0,0,0,0
488187,558179,450030,464448,0,0,0,0,1227,57953,53922,0,0,0,0,69131,63221,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,394,1249,0,0,0,0,703,1096,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,342,307,0,0,0,0,368,341,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177747,203168,172033,186000,0,0,0,0,0
501449,543910,449186,465486,0,0,0,0,1181,59149,55726,0,0,0,0,67697,61975,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,401,1240,0,0,0,0,695,1107,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,342,312,0,0,0,0,356,309,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181665,199604,171420,186969,0,0,0,0,0
