Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 50.00 degrees [A] RIGHT WP at 50.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95932,918727,464820,458884,0,0,0,0,393,11637,10176,0,0,0,0,118027,104018,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,271,1451,0,0,0,0,951,830,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,81,71,0,0,0,0,597,540,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40255,314633,184289,196321,0,0,0,0,0
95038,921444,472281,450521,0,0,0,0,368,11587,10070,0,0,0,0,119280,102265,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,267,1446,0,0,0,0,949,820,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,87,89,0,0,0,0,630,521,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39933,315492,185329,192735,0,0,0,0,0
97515,920840,472322,450493,0,0,0,0,396,11791,10253,0,0,0,0,119088,102112,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,271,1447,0,0,0,0,948,821,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,82,94,0,0,0,0,609,524,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40871,314874,185311,192439,0,0,0,0,0
103235,914203,470858,449705,0,0,0,0,428,12556,11019,0,0,0,0,117903,101282,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,272,1446,0,0,0,0,945,824,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,105,0,0,0,0,577,518,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43053,312392,184555,192202,0,0,0,0,0
119858,901768,472360,450814,0,0,0,0,500,14770,12545,0,0,0,0,116841,100608,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,268,1439,0,0,0,0,935,833,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,94,85,0,0,0,0,589,528,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49978,310649,185129,192675,0,0,0,0,0
136881,887075,472965,450516,0,0,0,0,526,16939,14392,0,0,0,0,115245,99060,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,273,1433,0,0,0,0,924,844,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,120,102,0,0,0,0,567,499,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56729,306989,185492,191871,0,0,0,0,0
158161,869899,472907,450991,0,0,0,0,575,19720,16775,0,0,0,0,112949,97773,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,277,1419,0,0,0,0,912,856,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,124,125,0,0,0,0,596,511,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65267,302991,185527,192279,0,0,0,0,0
182148,848390,473327,452350,0,0,0,0,673,22578,19314,0,0,0,0,110416,94258,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,284,1415,0,0,0,0,898,872,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,134,138,0,0,0,0,573,481,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74479,295803,184446,189736,0,0,0,0,0
207522,822735,471956,452037,0,0,0,0,774,25771,21887,0,0,0,0,106502,91423,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,296,1396,0,0,0,0,878,893,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,171,150,0,0,0,0,590,536,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83508,287231,182871,188257,0,0,0,0,0
236496,799761,473543,452099,0,0,0,0,762,29198,25126,0,0,0,0,103952,88379,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,301,1382,0,0,0,0,861,907,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,182,175,0,0,0,0,559,468,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94407,280891,182650,187014,0,0,0,0,0
