Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 54.00 degrees [A] RIGHT WP at 54.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96199,918742,509778,408553,0,0,0,0,446,12961,9133,0,0,0,0,128977,92268,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,261,1411,0,0,0,0,921,787,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,73,0,0,0,0,647,484,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40647,323568,196349,173428,0,0,0,0,0
95057,922727,516860,402996,0,0,0,0,399,12692,9092,0,0,0,0,131359,91754,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,255,1413,0,0,0,0,921,783,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,77,0,0,0,0,662,501,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40127,327175,198338,172870,0,0,0,0,0
97322,918618,516794,403146,0,0,0,0,395,13050,9379,0,0,0,0,130753,91456,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,256,1411,0,0,0,0,919,785,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,102,81,0,0,0,0,603,477,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41215,326081,198184,172405,0,0,0,0,0
104629,912954,515206,402309,0,0,0,0,427,14047,9902,0,0,0,0,128983,91346,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,258,1410,0,0,0,0,914,787,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,111,84,0,0,0,0,649,484,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44043,323379,197090,172153,0,0,0,0,0
114461,903168,514662,402291,0,0,0,0,417,15618,10944,0,0,0,0,127854,89676,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,257,1407,0,0,0,0,907,794,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,89,0,0,0,0,631,490,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48483,319928,196638,171120,0,0,0,0,0
130067,890136,515232,402319,0,0,0,0,501,17668,12298,0,0,0,0,126306,88288,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,261,1399,0,0,0,0,896,803,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,135,107,0,0,0,0,700,519,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54773,315624,196873,170481,0,0,0,0,0
157563,866195,515964,401808,0,0,0,0,597,20388,14204,0,0,0,0,123647,86614,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,264,1390,0,0,0,0,884,818,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,142,101,0,0,0,0,713,551,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62094,310480,196170,170122,0,0,0,0,0
180904,846475,515262,402587,0,0,0,0,692,24580,17477,0,0,0,0,120371,84821,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,272,1373,0,0,0,0,868,836,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,153,130,0,0,0,0,589,430,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74710,304483,196562,170569,0,0,0,0,0
206092,823571,515124,401699,0,0,0,0,777,27796,19658,0,0,0,0,117109,81739,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,279,1356,0,0,0,0,850,848,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,178,122,0,0,0,0,632,423,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83827,296584,195292,167953,0,0,0,0,0
235677,797768,515540,402387,0,0,0,0,870,32287,22556,0,0,0,0,113841,79712,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,287,1342,0,0,0,0,831,870,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,207,143,0,0,0,0,632,414,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95985,289604,196084,168839,0,0,0,0,0
265116,770518,515817,401079,0,0,0,0,891,36150,25640,0,0,0,0,110109,76121,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,293,1326,0,0,0,0,815,889,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,208,167,0,0,0,0,534,406,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106942,280330,195237,166783,0,0,0,0,0
296013,742978,516286,402814,0,0,0,0,1018,39930,28255,0,0,0,0,105487,74013,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,304,1313,0,0,0,0,794,909,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,240,179,0,0,0,0,559,392,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117392,271054,193934,166258,0,0,0,0,0
328817,714699,515825,402608,0,0,0,0,1056,44647,31855,0,0,0,0,101642,70343,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,313,1296,0,0,0,0,772,932,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,260,193,0,0,0,0,547,369,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129672,262587,193736,165269,0,0,0,0,0
355385,688312,515613,401711,0,0,0,0,1061,48333,34562,0,0,0,0,98178,68069,0,0,0,0,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,321,1278,0,0,0,0,752,950,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,277,231,0,0,0,0,559,371,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139266,254456,194200,165352,0,0,0,0,0
385753,659183,516227,401092,0,0,0,0,1163,52891,37377,0,0,0,0,93892,64615,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,329,1262,0,0,0,0,733,971,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,288,221,0,0,0,0,502,387,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150156,244536,193550,164075,0,0,0,0,0
