Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 56.00 degrees [A] RIGHT WP at 56.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95904,917857,532839,382529,0,0,0,0,380,13346,8595,0,0,0,0,135113,86660,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,248,1396,0,0,0,0,901,768,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,104,68,0,0,0,0,672,501,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40434,329348,202479,162544,0,0,0,0,0
94667,917791,540322,373600,0,0,0,0,403,13362,8247,0,0,0,0,136472,84713,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,250,1392,0,0,0,0,902,761,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,89,79,0,0,0,0,677,455,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39882,330289,203009,159028,0,0,0,0,0
96963,916047,541789,373700,0,0,0,0,428,13763,8623,0,0,0,0,136966,84902,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,253,1386,0,0,0,0,898,766,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,72,0,0,0,0,726,478,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41192,331034,204233,159992,0,0,0,0,0
106415,907656,541173,373477,0,0,0,0,452,14977,9297,0,0,0,0,136451,84582,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,249,1386,0,0,0,0,892,771,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,109,77,0,0,0,0,680,499,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44956,329988,204622,160323,0,0,0,0,0
119703,896460,540564,373787,0,0,0,0,488,16881,10530,0,0,0,0,133784,83095,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,253,1383,0,0,0,0,883,778,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,122,85,0,0,0,0,679,429,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50286,324215,203424,158793,0,0,0,0,0
136334,884149,541617,374132,0,0,0,0,572,19247,12000,0,0,0,0,131844,82038,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,256,1375,0,0,0,0,875,786,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,130,91,0,0,0,0,660,461,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56957,320220,203466,159119,0,0,0,0,0
156683,864402,541104,373024,0,0,0,0,612,22133,14019,0,0,0,0,129080,79418,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,261,1357,0,0,0,0,861,798,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,141,102,0,0,0,0,665,412,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65117,313870,202216,157062,0,0,0,0,0
179519,844894,540656,373206,0,0,0,0,687,25805,15847,0,0,0,0,126180,78268,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,265,1348,0,0,0,0,849,814,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,160,114,0,0,0,0,632,485,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74744,307877,202704,157545,0,0,0,0,0
206618,820080,541665,373842,0,0,0,0,802,29597,18230,0,0,0,0,122804,76227,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,271,1343,0,0,0,0,829,830,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,170,156,0,0,0,0,591,388,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84754,301254,202433,157039,0,0,0,0,0
234492,796799,540870,373640,0,0,0,0,881,33432,21141,0,0,0,0,118898,73920,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,278,1324,0,0,0,0,813,844,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,202,131,0,0,0,0,591,397,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96188,292807,201633,156551,0,0,0,0,0
