Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 64.00 degrees [A] RIGHT WP at 64.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96282,914625,647233,255473,0,0,0,0,384,16700,5686,0,0,0,0,165205,57385,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,231,1267,0,0,0,0,830,658,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,132,66,0,0,0,0,867,352,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41744,359063,229236,107916,0,0,0,0,0
94198,914709,655152,244606,0,0,0,0,390,16245,5451,0,0,0,0,166663,56162,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,237,1269,0,0,0,0,833,651,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,120,54,0,0,0,0,845,332,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40853,360716,229946,105166,0,0,0,0,0
97126,912665,656450,244891,0,0,0,0,381,16715,5682,0,0,0,0,166367,55907,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,234,1275,0,0,0,0,826,650,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,53,0,0,0,0,894,309,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42033,360255,229767,105067,0,0,0,0,0
103796,907628,656766,245060,0,0,0,0,408,17931,6243,0,0,0,0,165537,55777,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,234,1267,0,0,0,0,825,657,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,155,61,0,0,0,0,763,304,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45222,358635,230261,105584,0,0,0,0,0
114262,898239,656463,245510,0,0,0,0,484,20010,6830,0,0,0,0,163912,55309,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,240,1264,0,0,0,0,818,664,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,156,64,0,0,0,0,859,306,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49884,355862,230592,105192,0,0,0,0,0
129162,886794,656869,245986,0,0,0,0,534,22747,7762,0,0,0,0,161451,54345,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,239,1253,0,0,0,0,808,672,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,175,83,0,0,0,0,888,333,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56439,350136,230852,105167,0,0,0,0,0
157106,862979,656214,246216,0,0,0,0,625,27372,9193,0,0,0,0,157473,52971,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,237,1245,0,0,0,0,795,686,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,182,70,0,0,0,0,812,339,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67292,341969,230873,104526,0,0,0,0,0
180024,841079,656965,244886,0,0,0,0,671,31127,10750,0,0,0,0,153861,51382,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,244,1232,0,0,0,0,779,701,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,192,84,0,0,0,0,755,312,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76769,334079,230504,103959,0,0,0,0,0
205901,818419,657749,245162,0,0,0,0,763,36012,12177,0,0,0,0,149630,50084,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,250,1221,0,0,0,0,762,718,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,218,96,0,0,0,0,804,291,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87392,325644,230690,104186,0,0,0,0,0
233883,793035,657036,245090,0,0,0,0,843,40888,14019,0,0,0,0,145265,48030,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,254,1201,0,0,0,0,744,732,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,261,123,0,0,0,0,725,273,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99092,315816,230396,103678,0,0,0,0,0
265426,766915,655627,245676,0,0,0,0,895,46238,15723,0,0,0,0,140231,47067,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,263,1185,0,0,0,0,728,749,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,278,119,0,0,0,0,691,256,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110522,306950,231128,103898,0,0,0,0,0
295279,739901,657147,246061,0,0,0,0,1015,51572,17623,0,0,0,0,135013,45221,0,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,269,1163,0,0,0,0,707,768,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,281,163,0,0,0,0,641,276,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123055,295948,230892,103236,0,0,0,0,0
326455,709928,655085,245720,0,0,0,0,1012,56797,19400,0,0,0,0,130111,43462,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,275,1150,0,0,0,0,688,791,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,313,139,0,0,0,0,636,290,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134465,285345,230933,103342,0,0,0,0,0
356124,683794,656851,244678,0,0,0,0,1086,62222,21331,0,0,0,0,124661,41920,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,282,1128,0,0,0,0,669,814,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,345,142,0,0,0,0,661,243,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146610,274665,231180,103151,0,0,0,0,0
385718,656407,658162,245320,0,0,0,0,1147,67299,23091,0,0,0,0,120231,39827,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,290,1112,0,0,0,0,650,829,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,359,142,0,0,0,0,590,248,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158114,264687,231350,102382,0,0,0,0,0
414758,630044,657475,244877,0,0,0,0,1104,72752,24770,0,0,0,0,115654,38437,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,298,1096,0,0,0,0,633,850,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,408,155,0,0,0,0,579,241,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168894,255639,232339,103049,0,0,0,0,0
437812,607585,657224,245740,0,0,0,0,1178,76885,26145,0,0,0,0,110870,36960,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,305,1084,0,0,0,0,617,864,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,415,171,0,0,0,0,577,254,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178047,245878,231506,102529,0,0,0,0,0
462412,584569,656045,245007,0,0,0,0,1174,81243,27941,0,0,0,0,107022,35831,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,313,1069,0,0,0,0,601,885,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,430,160,0,0,0,0,571,253,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187988,237948,232284,103268,0,0,0,0,0
