Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 68.00 degrees [A] RIGHT WP at 68.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95159,910300,709997,182058,0,0,0,0,394,17451,4457,0,0,0,0,177690,44790,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,230,1219,0,0,0,0,801,611,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,125,47,0,0,0,0,906,332,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41679,372593,237717,83999,0,0,0,0,0
94301,911190,711634,182020,0,0,0,0,404,17863,4055,0,0,0,0,180284,41296,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,230,1206,0,0,0,0,796,598,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,37,0,0,0,0,885,269,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41754,374526,239209,77775,0,0,0,0,0
97823,909193,710274,181400,0,0,0,0,355,18197,4323,0,0,0,0,179835,41111,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,227,1205,0,0,0,0,791,599,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,130,50,0,0,0,0,901,249,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42873,373245,239115,77810,0,0,0,0,0
106053,902157,711277,181222,0,0,0,0,404,20166,4595,0,0,0,0,178568,40933,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,228,1208,0,0,0,0,788,603,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,47,0,0,0,0,873,239,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46890,370697,239796,78106,0,0,0,0,0
119183,891224,710380,180607,0,0,0,0,464,22361,5190,0,0,0,0,176034,40223,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,230,1198,0,0,0,0,781,615,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,53,0,0,0,0,860,246,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51880,365654,239139,77667,0,0,0,0,0
135481,877831,710623,182247,0,0,0,0,529,25345,5810,0,0,0,0,174483,39642,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,234,1186,0,0,0,0,770,622,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,162,54,0,0,0,0,874,252,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58668,361893,240837,77606,0,0,0,0,0
155745,859344,710295,181626,0,0,0,0,574,29033,6797,0,0,0,0,170366,38834,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,237,1173,0,0,0,0,758,630,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,184,57,0,0,0,0,995,233,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67221,353618,240001,77537,0,0,0,0,0
179429,838222,708616,180754,0,0,0,0,683,33827,7891,0,0,0,0,165735,37664,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,240,1176,0,0,0,0,744,644,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,199,74,0,0,0,0,975,223,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77605,344377,239851,77000,0,0,0,0,0
206164,814271,710717,180445,0,0,0,0,738,38783,8983,0,0,0,0,161537,36754,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,243,1152,0,0,0,0,727,660,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,238,74,0,0,0,0,812,233,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88453,335886,240806,76717,0,0,0,0,0
234052,791065,711034,180874,0,0,0,0,800,44251,10454,0,0,0,0,157278,35623,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,246,1144,0,0,0,0,710,673,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,253,77,0,0,0,0,812,216,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100471,327232,241982,77116,0,0,0,0,0
261554,765409,710885,180925,0,0,0,0,842,49446,11587,0,0,0,0,152630,34403,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,250,1125,0,0,0,0,693,694,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,270,86,0,0,0,0,756,235,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111249,317607,242288,76889,0,0,0,0,0
293963,736071,710548,181791,0,0,0,0,975,55386,13064,0,0,0,0,146271,33560,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,257,1105,0,0,0,0,673,717,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,307,105,0,0,0,0,766,204,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124268,304718,242607,77543,0,0,0,0,0
325427,707803,712082,181894,0,0,0,0,1040,61393,14295,0,0,0,0,140722,31912,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,263,1085,0,0,0,0,654,735,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,342,96,0,0,0,0,735,204,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136620,293445,242816,76697,0,0,0,0,0
351974,684471,710740,181605,0,0,0,0,1030,67401,15654,0,0,0,0,135177,30844,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,271,1068,0,0,0,0,639,749,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,380,114,0,0,0,0,675,200,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148533,283257,243198,76744,0,0,0,0,0
382805,655924,710436,181364,0,0,0,0,1136,73053,16992,0,0,0,0,129689,29857,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,276,1058,0,0,0,0,619,774,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,404,110,0,0,0,0,747,176,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160590,272111,243847,76868,0,0,0,0,0
410189,629138,710303,181363,0,0,0,0,1101,78170,18088,0,0,0,0,124307,28222,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,286,1032,0,0,0,0,601,793,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,421,124,0,0,0,0,644,161,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170811,261053,242717,76568,0,0,0,0,0
437708,603372,711964,180288,0,0,0,0,1170,83632,19589,0,0,0,0,119701,26716,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,292,1019,0,0,0,0,582,806,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,493,123,0,0,0,0,635,189,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182296,251408,244015,76072,0,0,0,0,0
459190,580389,706795,181077,0,0,0,0,1194,87570,20454,0,0,0,0,114882,26517,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,298,1008,0,0,0,0,573,822,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,479,130,0,0,0,0,569,186,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190373,242775,243322,76726,0,0,0,0,0
482513,562981,709060,181044,0,0,0,0,1219,91388,21379,0,0,0,0,111645,25341,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,305,996,0,0,0,0,561,836,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,522,130,0,0,0,0,598,177,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198372,235260,243937,76651,0,0,0,0,0
498858,544354,710412,180942,0,0,0,0,1254,95028,22167,0,0,0,0,107674,24452,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,308,985,0,0,0,0,547,852,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,492,138,0,0,0,0,568,160,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205232,227372,243806,76587,0,0,0,0,0
513700,530736,710405,181136,0,0,0,0,1258,97903,22553,0,0,0,0,105557,23995,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,312,980,0,0,0,0,539,859,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,526,147,0,0,0,0,526,159,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211021,223178,244489,76478,0,0,0,0,0
528971,515271,710111,181634,0,0,0,0,1151,100163,23248,0,0,0,0,103027,23093,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,318,967,0,0,0,0,531,870,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,504,153,0,0,0,0,519,176,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215061,217772,244436,76079,0,0,0,0,0
534148,507941,709548,180453,0,0,0,0,1260,100884,23380,0,0,0,0,101072,23043,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,318,965,0,0,0,0,525,873,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,506,175,0,0,0,0,543,138,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217152,214107,242831,76123,0,0,0,0,0
537589,506793,709012,180978,0,0,0,0,1237,101837,23797,0,0,0,0,101073,22513,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,319,966,0,0,0,0,525,879,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,549,152,0,0,0,0,510,151,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218480,213502,244000,76575,0,0,0,0,0
535021,509352,709796,181053,0,0,0,0,1225,101029,23658,0,0,0,0,100987,22818,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,321,966,0,0,0,0,526,879,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,542,163,0,0,0,0,537,142,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217631,213461,243273,76134,0,0,0,0,0
