Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 70.00 degrees [A] RIGHT WP at 70.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95571,913541,734225,156362,0,0,0,0,395,18614,3423,0,0,0,0,187643,35049,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,229,1180,0,0,0,0,779,574,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127,37,0,0,0,0,939,218,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42240,383735,244206,66545,0,0,0,0,0
93902,914600,737210,152379,0,0,0,0,384,18258,3525,0,0,0,0,188677,34810,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,230,1181,0,0,0,0,784,570,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,126,47,0,0,0,0,925,240,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41758,385568,244890,66071,0,0,0,0,0
97778,912425,738770,153140,0,0,0,0,390,19357,3584,0,0,0,0,187900,34854,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,226,1167,0,0,0,0,779,577,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,133,34,0,0,0,0,942,214,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43849,383954,245272,66509,0,0,0,0,0
104747,905900,737299,153198,0,0,0,0,434,20476,3997,0,0,0,0,186502,34877,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,228,1170,0,0,0,0,775,574,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,35,0,0,0,0,922,236,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46884,381318,245605,66346,0,0,0,0,0
114406,896310,736612,153746,0,0,0,0,491,22751,4406,0,0,0,0,183988,34217,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,228,1175,0,0,0,0,768,583,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,177,49,0,0,0,0,913,195,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51705,375771,245032,66363,0,0,0,0,0
129356,883525,737987,153091,0,0,0,0,523,25496,4887,0,0,0,0,182336,33576,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,230,1168,0,0,0,0,759,595,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,183,49,0,0,0,0,898,229,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57925,372183,245908,65754,0,0,0,0,0
156676,861800,739380,152645,0,0,0,0,568,29552,5585,0,0,0,0,179439,33073,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,232,1157,0,0,0,0,747,600,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,210,59,0,0,0,0,927,215,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66231,366449,247463,65964,0,0,0,0,0
180146,840836,739729,153004,0,0,0,0,632,33824,6160,0,0,0,0,176122,32522,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,232,1153,0,0,0,0,737,610,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,272,61,0,0,0,0,863,229,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75153,359797,248289,65881,0,0,0,0,0
206680,815240,738056,152643,0,0,0,0,739,40540,7614,0,0,0,0,169243,31110,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,238,1123,0,0,0,0,713,639,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,225,62,0,0,0,0,784,226,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89899,345282,248209,65579,0,0,0,0,0
235066,792744,741419,153165,0,0,0,0,839,46235,8822,0,0,0,0,164698,30408,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,242,1108,0,0,0,0,694,651,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,238,90,0,0,0,0,883,192,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102177,336304,249926,65807,0,0,0,0,0
264217,767687,739452,153673,0,0,0,0,864,52246,9730,0,0,0,0,158199,29475,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,246,1097,0,0,0,0,679,664,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,288,82,0,0,0,0,827,174,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114430,323111,249554,65625,0,0,0,0,0
