Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 72.00 degrees [A] RIGHT WP at 72.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95943,921881,766724,130819,0,0,0,0,392,19478,3017,0,0,0,0,198315,29822,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,224,1144,0,0,0,0,767,549,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,36,0,0,0,0,1102,197,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43522,400099,254021,56592,0,0,0,0,0
94974,923749,771183,127566,0,0,0,0,393,19408,2950,0,0,0,0,199773,29433,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,227,1148,0,0,0,0,766,543,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,141,32,0,0,0,0,956,181,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43200,402440,255105,56282,0,0,0,0,0
97740,921352,769585,126925,0,0,0,0,403,19842,2958,0,0,0,0,198531,29377,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,227,1154,0,0,0,0,766,542,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,158,40,0,0,0,0,1063,188,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44356,399997,254381,55789,0,0,0,0,0
105727,914923,770460,128196,0,0,0,0,405,21673,3351,0,0,0,0,196735,29425,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,229,1144,0,0,0,0,761,552,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,34,0,0,0,0,988,174,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48110,396750,254639,56504,0,0,0,0,0
117785,904297,769628,128187,0,0,0,0,473,24057,3719,0,0,0,0,194897,28905,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,227,1154,0,0,0,0,754,554,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,162,39,0,0,0,0,957,180,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53761,392163,255190,56137,0,0,0,0,0
133899,888240,770182,127276,0,0,0,0,547,27730,4150,0,0,0,0,191436,28061,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,229,1127,0,0,0,0,742,565,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,185,45,0,0,0,0,889,162,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60992,384931,255385,55657,0,0,0,0,0
153337,874418,771895,127927,0,0,0,0,622,31811,4801,0,0,0,0,187955,27876,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,230,1127,0,0,0,0,731,574,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,220,44,0,0,0,0,945,169,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69589,378333,256723,55683,0,0,0,0,0
173815,856994,770927,127938,0,0,0,0,623,35962,5471,0,0,0,0,184185,27336,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,232,1106,0,0,0,0,719,585,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,249,56,0,0,0,0,870,181,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78777,370183,257015,55878,0,0,0,0,0
199027,833578,768694,127733,0,0,0,0,720,41329,6171,0,0,0,0,179306,26544,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,234,1101,0,0,0,0,704,597,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,274,58,0,0,0,0,905,181,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89846,360178,257629,55744,0,0,0,0,0
225441,808316,771433,127584,0,0,0,0,844,46735,7159,0,0,0,0,174232,25826,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,239,1086,0,0,0,0,685,611,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,287,72,0,0,0,0,911,165,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101166,349941,258501,55798,0,0,0,0,0
254665,782666,769260,127802,0,0,0,0,887,52887,8046,0,0,0,0,167671,25090,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,243,1069,0,0,0,0,671,631,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,305,85,0,0,0,0,813,174,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113403,337715,258101,55586,0,0,0,0,0
