Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 76.00 degrees [A] RIGHT WP at 76.00 degrees LCC WP [1] at 2.25 degrees LCC WP [1] voltage 2.255V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95790,912895,797628,83615,0,0,0,0,391,19841,2142,0,0,0,0,201641,21141,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,226,1116,0,0,0,0,748,520,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,145,33,0,0,0,0,1022,206,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43156,399855,252566,40772,0,0,0,0,0
94083,914055,796819,82528,0,0,0,0,428,19824,1806,0,0,0,0,204412,18838,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,229,1099,0,0,0,0,745,508,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,149,28,0,0,0,0,994,172,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42674,403919,253759,36144,0,0,0,0,0
97791,910554,797109,83098,0,0,0,0,369,20751,2023,0,0,0,0,203832,18625,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,226,1103,0,0,0,0,743,508,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,149,27,0,0,0,0,1048,124,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44548,402598,254241,36207,0,0,0,0,0
105851,903912,797520,82776,0,0,0,0,421,22461,2201,0,0,0,0,202781,18721,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,227,1096,0,0,0,0,738,514,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151,30,0,0,0,0,1003,135,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48376,400265,255497,36320,0,0,0,0,0
118082,893095,797246,82676,0,0,0,0,499,24931,2345,0,0,0,0,198782,18400,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,230,1092,0,0,0,0,729,520,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,164,26,0,0,0,0,996,144,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53239,392389,253921,35890,0,0,0,0,0
134569,878917,797072,82476,0,0,0,0,558,28727,2593,0,0,0,0,195991,18064,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,229,1091,0,0,0,0,720,525,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,182,33,0,0,0,0,982,138,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60890,386372,255389,35878,0,0,0,0,0
155415,861123,796117,82794,0,0,0,0,576,33160,3113,0,0,0,0,192124,17704,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,229,1081,0,0,0,0,710,542,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,213,39,0,0,0,0,912,141,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70116,378200,256483,36021,0,0,0,0,0
175397,843358,797643,83097,0,0,0,0,703,37703,3463,0,0,0,0,188604,17156,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,230,1067,0,0,0,0,696,551,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,224,38,0,0,0,0,975,137,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79303,370676,257652,35882,0,0,0,0,0
200680,821110,797556,83440,0,0,0,0,731,43205,4025,0,0,0,0,183516,17048,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,233,1049,0,0,0,0,680,564,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,270,43,0,0,0,0,875,120,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90245,360910,258904,36216,0,0,0,0,0
228745,797515,796774,82726,0,0,0,0,773,49386,4626,0,0,0,0,177423,16278,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,237,1030,0,0,0,0,663,578,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,269,46,0,0,0,0,875,126,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102521,348688,259083,35858,0,0,0,0,0
