Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 0.00 degrees [A] RIGHT WP at 0.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95903,911982,869861,53503,0,0,0,0,396,20542,1121,0,0,0,0,211240,11269,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,226,1053,0,0,0,0,711,472,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,143,20,0,0,0,0,1004,99,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43303,410766,257627,22536,0,0,0,0,0
94164,913190,868448,53581,0,0,0,0,369,20269,1113,0,0,0,0,211201,11224,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,226,1063,0,0,0,0,710,471,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,140,17,0,0,0,0,1050,83,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42320,411132,257004,22508,0,0,0,0,0
97741,909977,869654,53305,0,0,0,0,380,20832,1078,0,0,0,0,210720,10792,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,224,1047,0,0,0,0,711,470,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,19,0,0,0,0,1036,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43738,409005,257036,22062,0,0,0,0,0
106506,903791,868638,53205,0,0,0,0,436,23050,1249,0,0,0,0,209529,10997,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,231,1031,0,0,0,0,705,478,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,150,19,0,0,0,0,1033,97,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48243,406929,258809,22337,0,0,0,0,0
117541,893534,869029,53227,0,0,0,0,492,25543,1462,0,0,0,0,206815,10757,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,229,1043,0,0,0,0,697,477,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,188,23,0,0,0,0,985,76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53387,401088,258883,22265,0,0,0,0,0
133862,879600,868333,53294,0,0,0,0,554,29209,1628,0,0,0,0,203433,10609,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,227,1020,0,0,0,0,687,494,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,209,26,0,0,0,0,1001,86,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60592,394152,259657,22317,0,0,0,0,0
154055,863068,868693,53298,0,0,0,0,611,33692,1803,0,0,0,0,199197,10524,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,229,1029,0,0,0,0,677,499,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,235,22,0,0,0,0,993,80,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69815,385257,260554,22211,0,0,0,0,0
175472,843861,868968,53000,0,0,0,0,703,38700,2006,0,0,0,0,195167,10079,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,229,1010,0,0,0,0,663,512,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,241,25,0,0,0,0,953,80,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79559,376632,262249,22016,0,0,0,0,0
200189,822821,867801,53144,0,0,0,0,695,44174,2360,0,0,0,0,189644,9954,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,232,1008,0,0,0,0,651,517,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,266,38,0,0,0,0,954,73,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90136,365413,263148,22258,0,0,0,0,0
226531,796796,869093,53086,0,0,0,0,866,50293,2723,0,0,0,0,184645,9516,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,234,979,0,0,0,0,632,538,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,327,33,0,0,0,0,918,80,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102183,354876,265178,22221,0,0,0,0,0
