Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 2.00 degrees [A] RIGHT WP at 2.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95588,914188,861595,58815,0,0,0,0,383,20564,1224,0,0,0,0,210175,12138,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,226,1068,0,0,0,0,717,473,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,15,0,0,0,0,1003,92,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43153,409515,256709,24566,0,0,0,0,0
94404,912438,862351,59472,0,0,0,0,382,20232,1211,0,0,0,0,210366,12469,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,227,1077,0,0,0,0,715,474,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,22,0,0,0,0,1008,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42455,409955,257018,25040,0,0,0,0,0
98002,911435,859945,59484,0,0,0,0,449,21157,1279,0,0,0,0,209391,12629,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,229,1049,0,0,0,0,717,476,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,140,20,0,0,0,0,1018,110,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44384,408340,257230,25274,0,0,0,0,0
106294,904262,862725,59052,0,0,0,0,421,22795,1377,0,0,0,0,208477,12159,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,225,1059,0,0,0,0,709,481,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,143,23,0,0,0,0,1013,110,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47898,405540,258005,24703,0,0,0,0,0
118032,895331,863473,58936,0,0,0,0,489,25558,1476,0,0,0,0,205651,12237,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,224,1034,0,0,0,0,702,483,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,171,19,0,0,0,0,1024,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53456,400282,258121,24853,0,0,0,0,0
134255,877759,860345,58993,0,0,0,0,526,28677,1793,0,0,0,0,202184,11865,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,225,1049,0,0,0,0,694,492,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,193,26,0,0,0,0,950,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59905,392829,258229,24662,0,0,0,0,0
155596,862111,863370,59189,0,0,0,0,594,33995,1961,0,0,0,0,198384,11667,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,226,1038,0,0,0,0,680,502,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,224,25,0,0,0,0,963,80,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69710,385432,260429,24695,0,0,0,0,0
175326,843650,860452,59406,0,0,0,0,648,38286,2331,0,0,0,0,193677,11397,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,227,1040,0,0,0,0,669,515,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,245,30,0,0,0,0,940,107,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79209,374846,260826,24614,0,0,0,0,0
200651,822639,862365,59184,0,0,0,0,761,44186,2565,0,0,0,0,189638,11190,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,229,1021,0,0,0,0,653,525,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,268,26,0,0,0,0,884,78,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90383,366446,263829,24845,0,0,0,0,0
228099,797287,862843,59228,0,0,0,0,855,50105,3117,0,0,0,0,182536,10750,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,232,1005,0,0,0,0,637,544,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,263,30,0,0,0,0,893,100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101912,352344,263460,24767,0,0,0,0,0
256655,770840,862927,59050,0,0,0,0,929,56689,3444,0,0,0,0,176856,10358,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,234,971,0,0,0,0,620,557,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,310,40,0,0,0,0,877,84,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114334,340925,265410,24614,0,0,0,0,0
285989,744139,862316,58909,0,0,0,0,887,63757,3757,0,0,0,0,169800,9994,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,239,956,0,0,0,0,600,574,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,331,38,0,0,0,0,898,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127469,327196,265881,24434,0,0,0,0,0
325205,708951,862051,59246,0,0,0,0,1019,69682,4273,0,0,0,0,164007,9486,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,242,949,0,0,0,0,581,588,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,370,41,0,0,0,0,755,84,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139761,315080,266498,24536,0,0,0,0,0
357622,679529,862419,59148,0,0,0,0,1076,75352,4547,0,0,0,0,158511,9389,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,245,928,0,0,0,0,569,611,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,494,48,0,0,0,0,801,73,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150181,304801,267370,24634,0,0,0,0,0
388049,650080,861919,58904,0,0,0,0,1114,81370,4921,0,0,0,0,151903,8929,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,249,912,0,0,0,0,552,616,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,463,44,0,0,0,0,743,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161310,291814,267500,24462,0,0,0,0,0
416816,625082,861154,58804,0,0,0,0,1152,87893,5331,0,0,0,0,146810,8800,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,255,894,0,0,0,0,534,644,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,494,54,0,0,0,0,736,69,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174024,282021,269582,24674,0,0,0,0,0
442797,597567,862319,58978,0,0,0,0,1143,96144,5811,0,0,0,0,137864,8229,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,261,882,0,0,0,0,511,670,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,525,65,0,0,0,0,681,81,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188948,264688,269688,24674,0,0,0,0,0
467667,576746,860521,58563,0,0,0,0,1199,101170,6119,0,0,0,0,132359,7746,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,270,858,0,0,0,0,500,681,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,522,53,0,0,0,0,679,58,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198536,254211,268963,24451,0,0,0,0,0
487386,555406,860643,58623,0,0,0,0,1156,105669,6216,0,0,0,0,127821,7502,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,271,845,0,0,0,0,486,695,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,566,54,0,0,0,0,658,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206950,245239,269124,24171,0,0,0,0,0
505881,540462,860321,59337,0,0,0,0,1215,109571,6713,0,0,0,0,124770,7459,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,275,840,0,0,0,0,479,710,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,572,55,0,0,0,0,630,71,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215280,238759,270813,24709,0,0,0,0,0
519209,526791,861511,58877,0,0,0,0,1235,112978,6704,0,0,0,0,120702,7099,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,279,839,0,0,0,0,469,717,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,560,63,0,0,0,0,651,65,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220135,231854,270193,24254,0,0,0,0,0
529818,516498,859669,58751,0,0,0,0,1201,114727,6942,0,0,0,0,118582,6956,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,281,827,0,0,0,0,464,721,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,585,67,0,0,0,0,613,69,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223792,227868,269625,24232,0,0,0,0,0
