Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 4.00 degrees [A] RIGHT WP at 4.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95147,911859,851157,69544,0,0,0,0,377,20242,1520,0,0,0,0,206917,14794,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,226,1084,0,0,0,0,719,490,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,158,21,0,0,0,0,991,130,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43096,404688,254883,29485,0,0,0,0,0
94556,912073,849836,70163,0,0,0,0,366,20059,1441,0,0,0,0,207465,14742,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,227,1096,0,0,0,0,721,489,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,151,20,0,0,0,0,1020,128,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42608,405915,255053,29342,0,0,0,0,0
97755,909041,850500,69890,0,0,0,0,391,20921,1472,0,0,0,0,206392,14709,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,228,1083,0,0,0,0,720,488,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,23,0,0,0,0,995,93,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44102,404092,254934,29208,0,0,0,0,0
105744,903776,850033,70244,0,0,0,0,420,22517,1632,0,0,0,0,205285,14658,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,224,1064,0,0,0,0,715,494,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,136,23,0,0,0,0,995,113,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47662,401370,255657,29573,0,0,0,0,0
116884,892601,851327,70152,0,0,0,0,495,25206,1823,0,0,0,0,203486,14306,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,223,1053,0,0,0,0,707,498,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,152,25,0,0,0,0,960,111,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53254,396781,257127,29422,0,0,0,0,0
131485,881163,850262,69970,0,0,0,0,526,28374,2143,0,0,0,0,199699,14262,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,229,1071,0,0,0,0,698,507,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,223,24,0,0,0,0,984,100,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59522,389542,257098,29465,0,0,0,0,0
151453,863734,850023,69715,0,0,0,0,612,33119,2285,0,0,0,0,196008,13884,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,228,1042,0,0,0,0,685,516,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,205,26,0,0,0,0,975,116,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68664,381885,258549,29204,0,0,0,0,0
171372,847058,851223,70422,0,0,0,0,643,37879,2735,0,0,0,0,192186,13710,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,228,1037,0,0,0,0,674,528,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,241,34,0,0,0,0,963,107,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78502,374055,260224,29250,0,0,0,0,0
196189,827266,851474,70314,0,0,0,0,730,43193,3135,0,0,0,0,187174,13264,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,230,1042,0,0,0,0,660,537,0,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,287,30,0,0,0,0,920,107,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89132,363592,261080,29250,0,0,0,0,0
223100,803065,850001,70275,0,0,0,0,833,48503,3596,0,0,0,0,181964,12981,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,234,1011,0,0,0,0,645,554,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,297,38,0,0,0,0,900,105,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100066,352799,261904,29291,0,0,0,0,0
