Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 6.00 degrees [A] RIGHT WP at 6.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96035,921643,844058,83639,0,0,0,0,418,20206,1870,0,0,0,0,208051,18374,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,230,1079,0,0,0,0,734,497,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,153,28,0,0,0,0,997,136,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43456,409730,258012,36360,0,0,0,0,0
95179,921801,843192,87084,0,0,0,0,373,19904,1880,0,0,0,0,207955,18496,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,229,1104,0,0,0,0,731,491,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,119,24,0,0,0,0,1030,127,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42806,409117,257909,36804,0,0,0,0,0
97990,919501,841409,87057,0,0,0,0,439,20499,1861,0,0,0,0,206680,18839,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,229,1098,0,0,0,0,732,499,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,136,28,0,0,0,0,968,151,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44219,407277,257340,36914,0,0,0,0,0
106102,911752,841359,86893,0,0,0,0,446,22539,2040,0,0,0,0,205679,18382,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,226,1096,0,0,0,0,727,502,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,162,26,0,0,0,0,1162,133,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48071,404697,258614,36733,0,0,0,0,0
117536,900806,841721,87068,0,0,0,0,437,24833,2205,0,0,0,0,203346,18366,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,224,1074,0,0,0,0,720,506,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,30,0,0,0,0,974,128,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52970,399632,258950,36735,0,0,0,0,0
132964,889447,842916,86549,0,0,0,0,533,28448,2601,0,0,0,0,200960,17870,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,227,1079,0,0,0,0,711,517,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,178,32,0,0,0,0,976,109,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60742,394153,260468,36682,0,0,0,0,0
152332,872456,843573,87188,0,0,0,0,569,32863,3042,0,0,0,0,196429,17870,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,230,1054,0,0,0,0,697,521,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,196,32,0,0,0,0,941,136,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68982,385931,261054,37152,0,0,0,0,0
175188,852376,842191,86688,0,0,0,0,670,38265,3480,0,0,0,0,192878,17423,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,230,1056,0,0,0,0,683,535,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,255,39,0,0,0,0,875,126,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80210,378011,263726,36995,0,0,0,0,0
196031,833810,843632,86568,0,0,0,0,752,42386,4081,0,0,0,0,187920,16715,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,231,1041,0,0,0,0,671,547,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,264,46,0,0,0,0,904,127,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88844,367620,263015,36731,0,0,0,0,0
235685,800132,844441,86520,0,0,0,0,818,48765,4500,0,0,0,0,182345,16328,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,233,1027,0,0,0,0,655,564,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,305,47,0,0,0,0,933,117,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101517,356277,264643,36496,0,0,0,0,0
266720,770996,842829,87251,0,0,0,0,901,54632,4990,0,0,0,0,176356,15897,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,237,1010,0,0,0,0,638,580,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,362,49,0,0,0,0,872,122,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112511,344995,265111,36500,0,0,0,0,0
297560,743489,845266,86576,0,0,0,0,950,60937,5701,0,0,0,0,170110,15010,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,239,993,0,0,0,0,617,597,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,344,51,0,0,0,0,922,99,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125583,331155,265570,36487,0,0,0,0,0
329732,715487,844942,86440,0,0,0,0,1061,67757,6312,0,0,0,0,164346,14733,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,243,976,0,0,0,0,603,613,0,0,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,414,56,0,0,0,0,864,117,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138731,320500,267471,36617,0,0,0,0,0
361408,686394,843401,86906,0,0,0,0,1070,74006,6819,0,0,0,0,157947,13934,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,247,958,0,0,0,0,581,627,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,428,64,0,0,0,0,785,99,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151254,307066,267567,36033,0,0,0,0,0
392201,657610,846544,86818,0,0,0,0,1105,81027,7364,0,0,0,0,151461,13607,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,253,941,0,0,0,0,566,649,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,462,62,0,0,0,0,778,96,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163815,295191,268960,36334,0,0,0,0,0
421984,630280,845498,87307,0,0,0,0,1282,89763,8290,0,0,0,0,142971,12663,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,261,918,0,0,0,0,539,672,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,438,68,0,0,0,0,671,100,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180820,278418,269781,36435,0,0,0,0,0
447241,606038,845002,86930,0,0,0,0,1196,95360,8820,0,0,0,0,137115,12320,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,265,907,0,0,0,0,527,695,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,467,81,0,0,0,0,662,86,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191502,267003,270036,36540,0,0,0,0,0
471466,583183,845201,86588,0,0,0,0,1242,100577,9194,0,0,0,0,131825,11679,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,270,893,0,0,0,0,514,714,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,594,64,0,0,0,0,769,82,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200686,257087,270367,36055,0,0,0,0,0
491834,562402,845276,86746,0,0,0,0,1241,104633,9687,0,0,0,0,127402,11422,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,275,882,0,0,0,0,499,724,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,584,81,0,0,0,0,788,86,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209345,247899,270223,36395,0,0,0,0,0
511848,545873,846260,87243,0,0,0,0,1239,109313,9757,0,0,0,0,123828,11231,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,279,867,0,0,0,0,489,745,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,555,88,0,0,0,0,658,95,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217509,241855,271124,36205,0,0,0,0,0
526201,532156,844219,87025,0,0,0,0,1297,111895,10347,0,0,0,0,120580,10855,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,284,869,0,0,0,0,479,752,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,563,93,0,0,0,0,626,84,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222735,235001,271262,36441,0,0,0,0,0
536671,523067,845283,87154,0,0,0,0,1225,114256,10480,0,0,0,0,117748,10533,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,287,861,0,0,0,0,475,751,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,586,88,0,0,0,0,587,84,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226347,230103,270472,36538,0,0,0,0,0
541511,515494,843570,86727,0,0,0,0,1253,115078,10846,0,0,0,0,117268,10558,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,289,853,0,0,0,0,471,758,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,585,87,0,0,0,0,559,72,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229495,228637,270777,36674,0,0,0,0,0
