Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 10.00 degrees [A] RIGHT WP at 10.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95232,911284,790590,129951,0,0,0,0,385,19099,2562,0,0,0,0,195289,25702,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,222,1143,0,0,0,0,748,535,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,120,40,0,0,0,0,946,196,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42103,390009,247963,50189,0,0,0,0,0
94580,911782,791762,130067,0,0,0,0,411,18469,2689,0,0,0,0,192455,27959,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,227,1153,0,0,0,0,753,543,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,121,34,0,0,0,0,931,186,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41264,385968,245427,54480,0,0,0,0,0
97730,908475,789830,130349,0,0,0,0,383,18986,2847,0,0,0,0,192452,27888,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,227,1136,0,0,0,0,755,540,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,138,33,0,0,0,0,985,174,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42245,386438,245819,54330,0,0,0,0,0
106305,900864,788782,129684,0,0,0,0,443,21004,2959,0,0,0,0,191031,27591,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,222,1147,0,0,0,0,750,550,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,142,43,0,0,0,0,890,175,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46518,383007,246612,54135,0,0,0,0,0
118880,891889,791211,129772,0,0,0,0,476,23569,3420,0,0,0,0,188730,27057,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,226,1128,0,0,0,0,743,553,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,152,39,0,0,0,0,937,190,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51809,378255,246918,54064,0,0,0,0,0
135269,878327,791397,129948,0,0,0,0,534,26915,4032,0,0,0,0,187398,26819,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,229,1128,0,0,0,0,732,565,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,165,41,0,0,0,0,889,176,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59294,374926,249596,54565,0,0,0,0,0
155257,858317,790386,130500,0,0,0,0,588,31049,4525,0,0,0,0,182078,26279,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,228,1115,0,0,0,0,718,575,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,228,39,0,0,0,0,929,185,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67762,364466,248374,54147,0,0,0,0,0
178986,838661,790320,130040,0,0,0,0,659,35892,5155,0,0,0,0,178520,25341,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,232,1103,0,0,0,0,707,587,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,216,49,0,0,0,0,852,140,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77756,357191,249608,53286,0,0,0,0,0
205271,816559,790175,129723,0,0,0,0,797,41707,6088,0,0,0,0,172838,24757,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,234,1091,0,0,0,0,689,600,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,259,55,0,0,0,0,879,152,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89476,345917,250410,53765,0,0,0,0,0
233294,790992,791265,129781,0,0,0,0,743,46949,6960,0,0,0,0,167757,23973,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,238,1079,0,0,0,0,671,620,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,270,57,0,0,0,0,779,162,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100486,335467,250823,53611,0,0,0,0,0
262386,764759,790302,130131,0,0,0,0,867,52504,7751,0,0,0,0,162337,23312,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,240,1061,0,0,0,0,654,634,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,274,63,0,0,0,0,869,164,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112232,324357,251393,53467,0,0,0,0,0
292034,738618,790836,129036,0,0,0,0,964,58966,8526,0,0,0,0,156393,22319,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,245,1043,0,0,0,0,637,657,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,321,64,0,0,0,0,757,151,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124752,312557,251877,53260,0,0,0,0,0
323680,709154,788762,129734,0,0,0,0,1051,65297,9703,0,0,0,0,149962,21598,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,252,1019,0,0,0,0,618,674,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,340,80,0,0,0,0,757,131,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137912,299940,252369,53737,0,0,0,0,0
349391,685086,790897,129982,0,0,0,0,1078,71262,10649,0,0,0,0,144785,20749,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,256,1018,0,0,0,0,599,694,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,424,81,0,0,0,0,736,145,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149560,289387,253643,54027,0,0,0,0,0
378923,658154,791505,129997,0,0,0,0,1153,77198,11461,0,0,0,0,138924,19955,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,265,993,0,0,0,0,582,714,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,411,91,0,0,0,0,702,144,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160853,278541,253885,53795,0,0,0,0,0
409486,631662,791612,130353,0,0,0,0,1149,83792,12250,0,0,0,0,133817,19273,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,268,981,0,0,0,0,563,732,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,440,111,0,0,0,0,678,142,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173995,267680,256352,53877,0,0,0,0,0
434806,605656,792047,130731,0,0,0,0,1170,89201,12870,0,0,0,0,127537,18431,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,275,956,0,0,0,0,547,748,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,509,97,0,0,0,0,663,138,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183843,256148,255117,53603,0,0,0,0,0
458564,584935,791880,130219,0,0,0,0,1247,93584,13753,0,0,0,0,123510,17873,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,279,947,0,0,0,0,536,764,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,423,85,0,0,0,0,639,105,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192478,248536,255877,53836,0,0,0,0,0
489194,555125,790533,129876,0,0,0,0,1237,98248,14547,0,0,0,0,120005,17197,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,285,930,0,0,0,0,522,773,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,504,96,0,0,0,0,614,139,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201827,241506,257454,53987,0,0,0,0,0
505264,538779,792781,130025,0,0,0,0,1238,101682,15117,0,0,0,0,114757,16441,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,292,918,0,0,0,0,508,789,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,523,119,0,0,0,0,608,107,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208914,230909,255079,53718,0,0,0,0,0
519906,524284,790564,130339,0,0,0,0,1221,104019,15502,0,0,0,0,111748,16179,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,296,914,0,0,0,0,500,794,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,550,111,0,0,0,0,517,109,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213772,224528,255106,53708,0,0,0,0,0
530643,517002,790015,130110,0,0,0,0,1272,107208,15664,0,0,0,0,109391,15712,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,300,908,0,0,0,0,494,808,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,557,115,0,0,0,0,586,114,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219053,220407,255659,53607,0,0,0,0,0
534910,511299,792490,129851,0,0,0,0,1267,107615,15918,0,0,0,0,108712,15599,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,300,903,0,0,0,0,491,816,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,535,108,0,0,0,0,546,108,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220489,218719,255356,53686,0,0,0,0,0
537202,507945,791930,130090,0,0,0,0,1267,108068,16068,0,0,0,0,107854,15478,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,301,900,0,0,0,0,490,813,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,553,124,0,0,0,0,562,117,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221499,217496,254500,53609,0,0,0,0,0
537009,510510,791720,130265,0,0,0,0,1217,107605,15858,0,0,0,0,108887,15381,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,301,904,0,0,0,0,492,816,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,498,108,0,0,0,0,507,109,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220834,218738,255286,52999,0,0,0,0,0
530876,513960,791488,129919,0,0,0,0,1198,106651,15534,0,0,0,0,110072,15674,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,299,905,0,0,0,0,495,808,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,563,118,0,0,0,0,585,151,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218340,221445,255322,53163,0,0,0,0,0
521677,523897,791873,129921,0,0,0,0,1117,103914,15381,0,0,0,0,112198,15956,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,299,912,0,0,0,0,500,804,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,462,81,0,0,0,0,531,102,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213690,225153,254808,53069,0,0,0,0,0
503609,539723,791796,130021,0,0,0,0,1210,101613,14949,0,0,0,0,114418,16671,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,294,916,0,0,0,0,508,792,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,498,101,0,0,0,0,589,130,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209156,230223,254741,53407,0,0,0,0,0
486268,557364,792002,130217,0,0,0,0,1212,98808,14734,0,0,0,0,117003,16810,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,290,926,0,0,0,0,517,786,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,523,107,0,0,0,0,592,110,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203435,235249,254421,53546,0,0,0,0,0
463604,577733,790929,130262,0,0,0,0,1238,95053,14154,0,0,0,0,121157,17465,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,283,938,0,0,0,0,530,768,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,507,118,0,0,0,0,612,126,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196388,243226,254832,53782,0,0,0,0,0
440535,599189,792191,129818,0,0,0,0,1190,88787,13143,0,0,0,0,127180,18296,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,279,956,0,0,0,0,544,751,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,468,102,0,0,0,0,629,129,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183561,255582,254030,53695,0,0,0,0,0
412682,623638,791069,129714,0,0,0,0,1141,82848,12164,0,0,0,0,132906,19061,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,271,969,0,0,0,0,563,732,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,465,112,0,0,0,0,679,134,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172053,266313,253586,53403,0,0,0,0,0
