Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 14.00 degrees [A] RIGHT WP at 14.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95265,914682,739466,187657,0,0,0,0,370,17828,4150,0,0,0,0,181785,41050,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,229,1220,0,0,0,0,786,596,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,122,42,0,0,0,0,899,238,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41479,376037,240918,78874,0,0,0,0,0
94887,914735,736513,187787,0,0,0,0,358,17450,3890,0,0,0,0,181167,40238,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,221,1211,0,0,0,0,788,595,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127,39,0,0,0,0,868,237,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40748,373778,238765,77737,0,0,0,0,0
97795,911144,736798,187771,0,0,0,0,378,18143,4221,0,0,0,0,180638,40572,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,230,1222,0,0,0,0,787,596,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,126,45,0,0,0,0,901,230,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42414,373301,239379,78507,0,0,0,0,0
106327,903200,739355,187569,0,0,0,0,434,19728,4580,0,0,0,0,179334,40115,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,229,1201,0,0,0,0,778,600,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,124,53,0,0,0,0,861,232,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46191,370291,239584,78087,0,0,0,0,0
118794,894384,738159,187509,0,0,0,0,460,22162,4947,0,0,0,0,177710,39850,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,230,1201,0,0,0,0,774,603,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,159,50,0,0,0,0,862,252,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51108,367426,240481,78101,0,0,0,0,0
135449,879756,738881,187523,0,0,0,0,518,25493,5683,0,0,0,0,175226,39056,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,231,1195,0,0,0,0,763,617,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,148,67,0,0,0,0,845,241,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58632,361546,241333,78122,0,0,0,0,0
155320,861819,737769,187229,0,0,0,0,609,28981,6701,0,0,0,0,170481,38355,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,230,1183,0,0,0,0,751,629,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,194,59,0,0,0,0,873,246,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66756,352546,239842,77850,0,0,0,0,0
178847,841865,737920,187985,0,0,0,0,644,33897,7636,0,0,0,0,167576,37477,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,236,1166,0,0,0,0,735,643,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,202,76,0,0,0,0,781,219,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77003,346276,242391,77762,0,0,0,0,0
204292,818217,736709,187420,0,0,0,0,741,38622,8852,0,0,0,0,162621,36190,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,236,1155,0,0,0,0,723,655,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,234,75,0,0,0,0,777,202,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87313,336333,241840,77157,0,0,0,0,0
232649,795337,737102,187808,0,0,0,0,853,44063,10072,0,0,0,0,157504,35098,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,245,1139,0,0,0,0,704,673,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,236,75,0,0,0,0,790,255,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99683,325484,241956,77214,0,0,0,0,0
